market,architecture,strategy,sharpe_ratio,max_drawdown,var_95,n_trades
WDON,cnn,single_bar,-8.27584996502787,-3691.5,21.22499999999996,1752
WDON,cnn,multi_bar,-7.246335062167546,-4480.81693472094,22.969252601703374,1752
WDON,lstm,single_bar,-7.16119807318152,-3180.5,20.5,1752
WDON,lstm,multi_bar,-3.068737158799403,-2309.0146641437887,22.969252601703374,1752
WDON,hybrid,single_bar,-6.103637574896077,-2688.5,20.0,1752
WDON,hybrid,multi_bar,-4.467385568622639,-2995.4385052034067,22.969252601703374,1752
WINN,cnn,single_bar,-2.9678605661433464,-87725.00000000017,1140.9999999999993,1759
WINN,cnn,multi_bar,-7.164639642121739,-146592.1069997638,620.1579071411688,1759
WINN,lstm,single_bar,-2.9678605661433464,-87725.00000000017,1140.9999999999993,1759
WINN,lstm,multi_bar,-7.164639642121739,-146592.1069997638,620.1579071411688,1759
WINN,hybrid,single_bar,-2.9678605661433464,-87725.00000000017,1140.9999999999993,1759
WINN,hybrid,multi_bar,-7.164639642121739,-146592.1069997638,620.1579071411688,1759
