market,architecture,strategy,sharpe_ratio,max_drawdown,var_95,n_trades,p_value
WDON,cnn,single_bar,-7.592731679804152,-3424.5,21.0,1753,2.764826723827664e-11
WDON,cnn,multi_bar,-7.373733851273446,-4562.232702542883,22.968066232998353,1753,9.876045596217185e-11
WDON,lstm,single_bar,-7.482274296429264,-3355.0,20.5,1753,5.2769880728031685e-11
WDON,lstm,multi_bar,-4.574409321405269,-2969.894145476046,22.968066232998353,1753,5.630459048230826e-05
WDON,hybrid,single_bar,-7.482274296429264,-3355.0,20.5,1753,5.2769880728031685e-11
WDON,hybrid,multi_bar,-4.574409321405269,-2969.894145476046,22.968066232998353,1753,5.630459048230826e-05
WINN,cnn,single_bar,-1.1224405982948427,-51460.0,1105.0,1759,0.3211186559715258
WINN,cnn,multi_bar,-3.8064373859742586,-86267.70948733098,620.1573364761425,1759,0.0007802620349592994
WINN,lstm,single_bar,-2.0916140283509703,-72240.0,1141.9999999999984,1759,0.06457253304235462
WINN,lstm,multi_bar,-5.103159013414598,-117266.52032999496,620.1573364761425,1759,6.8434660682624675e-06
WINN,hybrid,single_bar,-2.419930764390409,-75840.0,1160.9999999999993,1759,0.03251965378150519
WINN,hybrid,multi_bar,-5.458274884704663,-119030.41897466197,620.1573364761425,1759,1.5126760222920324e-06
