market,architecture,strategy,sharpe_ratio,max_drawdown,var_95,n_trades,p_value
WDON,cnn,single_bar,-7.482274296429264,-3355.0,20.5,1753,5.2769880728031685e-11
WDON,cnn,multi_bar,-4.574409321405269,-2969.894145476046,22.968066232998353,1753,5.630459048230826e-05
WDON,lstm,single_bar,-7.482274296429264,-3355.0,20.5,1753,5.2769880728031685e-11
WDON,lstm,multi_bar,-4.574409321405269,-2969.894145476046,22.968066232998353,1753,5.630459048230826e-05
WDON,hybrid,single_bar,-7.482274296429264,-3355.0,20.5,1753,5.2769880728031685e-11
WDON,hybrid,multi_bar,-4.574409321405269,-2969.894145476046,22.968066232998353,1753,5.630459048230826e-05
WINN,cnn,single_bar,-1.8916663645925789,-72725.0,1105.4999999999995,1759,0.09458846905852522
WINN,cnn,multi_bar,-4.919422945434188,-105299.91219799698,620.1573364761425,1759,1.4416905362447856e-05
WINN,lstm,single_bar,-2.299788006253601,-74870.0,1160.9999999999993,1759,0.04215891514515816
WINN,lstm,multi_bar,-5.195326623423164,-117266.52032999496,620.1573364761425,1759,4.666055898498533e-06
WINN,hybrid,single_bar,-2.5553867848034084,-73630.0,1185.9999999999993,1759,0.023978829244640582
WINN,hybrid,multi_bar,-4.5957359350476805,-101139.28285209241,620.1573364761425,1759,5.047906861509607e-05
