market,architecture,strategy,confidence_pct,sharpe_ratio,max_drawdown,var_95,n_trades,p_value
WDON,cnn,single_bar,100,-7.304713952446411,-3246.5,20.5,1751,1.50038491751578e-10
WDON,cnn,single_bar,75,-7.4769883079851045,-2587.0,21.0,1315,1.3474292448908252e-08
WDON,cnn,single_bar,50,-7.612439895668907,-2492.5,21.0,1226,2.3723186946849378e-08
WDON,cnn,single_bar,25,-7.637198144407859,-954.5,22.5,438,0.0008195206427225869
WDON,cnn,single_bar,10,-2.009563532302994,-193.5,19.249999999999993,176,0.5748082853901849
WDON,cnn,single_bar,5,2.2136082035733553,-125.0,17.44999999999999,88,0.6626344199033986
WDON,cnn,multi_bar,100,-4.044643135276689,-2684.306726669831,22.963702036949144,1751,0.00036932315866279635
WDON,cnn,multi_bar,75,-4.493746516991808,-2208.016342965424,22.963702036949144,1315,0.0006100770462302131
WDON,cnn,multi_bar,50,-4.452349670833305,-2058.3348531501697,22.963702036949144,1226,0.0010428885340594343
WDON,cnn,multi_bar,25,-6.050013197336029,-1088.991828517288,22.963702036949144,438,0.007883363904084525
WDON,cnn,multi_bar,10,1.7240970620987428,-219.6733183325423,22.963702036949144,176,0.6302667552853773
WDON,cnn,multi_bar,5,11.859536350330796,-160.745914258644,22.963702036949144,88,0.021281348401731758
WDON,lstm,single_bar,100,-7.4625722765805005,-3316.5,20.5,1751,6.06623925739089e-11
WDON,lstm,single_bar,75,-7.468443095987523,-2362.0,19.199999999999974,1313,1.4345866215741203e-08
WDON,lstm,single_bar,50,-7.423077008939342,-1668.5,21.0,876,4.176207662889531e-06
WDON,lstm,single_bar,25,-6.074969215764735,-714.5,21.0,438,0.007632782596415281
WDON,lstm,single_bar,10,-7.254474955687599,-396.5,19.624999999999982,176,0.04397885489549248
WDON,lstm,single_bar,5,-7.137024889956894,-275.0,20.62499999999999,88,0.16167662878534558
WDON,lstm,multi_bar,100,-4.507818960069986,-2970.016342965424,22.963702036949144,1751,7.273661671791793e-05
WDON,lstm,multi_bar,75,-3.8366350300486696,-1834.734130743729,22.963702036949144,1313,0.003439041539557712
WDON,lstm,multi_bar,50,-4.191197994168153,-1455.6007224064406,22.963702036949144,876,0.009071956671283646
WDON,lstm,multi_bar,25,-5.84392397737247,-1063.0644244433897,22.963702036949144,438,0.010252146964885925
WDON,lstm,multi_bar,10,-7.619742953593508,-625.9555305542372,22.963702036949144,176,0.03447636284580811
WDON,lstm,multi_bar,5,-8.753277254078569,-480.4192325911863,22.963702036949144,88,0.08697993986507606
WDON,hybrid,single_bar,100,-7.4625722765805005,-3316.5,20.5,1751,6.06623925739089e-11
WDON,hybrid,single_bar,75,-6.822618082252275,-2400.5,21.199999999999974,1313,2.1695696174980674e-07
WDON,hybrid,single_bar,50,-6.111593709313382,-1589.0,21.0,876,0.00014667131593301558
WDON,hybrid,single_bar,25,-3.2393053213906087,-409.5,20.5,438,0.153656773292056
WDON,hybrid,single_bar,10,-0.2964803756129652,-161.5,17.749999999999993,176,0.9340096581365107
WDON,hybrid,single_bar,5,7.207170817646969,-68.0,14.824999999999998,88,0.15764023117271783
WDON,hybrid,multi_bar,100,-4.507818960069986,-2970.016342965424,22.963702036949144,1751,7.273661671791793e-05
WDON,hybrid,multi_bar,75,-4.694337419602696,-2428.1814898152543,22.963702036949144,1313,0.00034806508661023563
WDON,hybrid,multi_bar,50,-3.842332092068196,-1505.2177877783051,22.963702036949144,876,0.016716839597839667
WDON,hybrid,multi_bar,25,2.3914761797968564,-415.70961629559315,22.963702036949144,438,0.29194233008729575
WDON,hybrid,multi_bar,10,5.265962574703173,-174.31851018474572,22.963702036949144,176,0.14260210694615755
WDON,hybrid,multi_bar,5,12.327846090271109,-141.78221222169486,22.963702036949144,88,0.01680212563033379
WINN,cnn,single_bar,100,-1.5221796501106277,-62560.0,1161.999999999999,1757,0.1787606679233327
WINN,cnn,single_bar,75,-1.5175197145256691,-53155.0,1202.9999999999986,1318,0.24566910736975128
WINN,cnn,single_bar,50,-1.2913189244211143,-38980.0,1225.0,879,0.41981745091040534
WINN,cnn,single_bar,25,-5.364210572990365,-37325.0,1325.7499999999998,440,0.018115481199853012
WINN,cnn,single_bar,10,0.6086413076996884,-6760.0,1013.7499999999998,176,0.8650288546561906
WINN,cnn,single_bar,5,5.68629609891651,-5085.0,1178.9999999999998,88,0.26387203393920017
WINN,cnn,multi_bar,100,-4.747723133906308,-102110.02242152422,619.7533632286941,1757,2.859054225603957e-05
WINN,cnn,multi_bar,75,-4.720060823120824,-78909.21524663642,619.7533632286941,1318,0.00031460635214274264
WINN,cnn,multi_bar,50,-5.187618258672022,-57963.40807174862,619.7533632286941,879,0.0012298260164635645
WINN,cnn,multi_bar,25,-6.622466666165494,-36021.860986546904,619.7533632286941,440,0.0035825626286844292
WINN,cnn,multi_bar,10,-3.9304848147678326,-13720.8071748878,619.7533632286941,176,0.2731527761616266
WINN,cnn,multi_bar,5,-1.7029986743409273,-5418.76681614347,619.7533632286941,88,0.7370832568997092
WINN,lstm,single_bar,100,-2.2679652599380034,-75840.0,1161.999999999999,1757,0.04520692787178485
WINN,lstm,single_bar,75,-1.6922178607177898,-49035.0,1046.4999999999993,1318,0.1954927487115878
WINN,lstm,single_bar,50,-1.16251058680706,-36775.0,1010.9999999999995,879,0.4676598753308707
WINN,lstm,single_bar,25,-2.3078701620862807,-27955.0,1229.2499999999982,440,0.3080162236664538
WINN,lstm,single_bar,10,1.6812144412245722,-6760.0,1154.9999999999995,176,0.6387932871768769
WINN,lstm,single_bar,5,7.253181115498175,-3710.0,1014.4999999999991,88,0.1550351415732395
WINN,lstm,multi_bar,100,-5.4077903488935135,-121412.62331838504,619.7533632286941,1757,1.910707202505019e-06
WINN,lstm,multi_bar,75,-4.905680137017558,-86921.74887892336,619.7533632286941,1318,0.00018117306131720868
WINN,lstm,multi_bar,50,-5.414733401708019,-62906.68161434948,619.7533632286941,879,0.0007449749434338991
WINN,lstm,multi_bar,25,-4.774751595979113,-31790.627802690375,619.7533632286941,440,0.035296095650032465
WINN,lstm,multi_bar,10,5.611372870817289,-4179.260089686082,619.7533632286941,176,0.11836064824949165
WINN,lstm,multi_bar,5,10.470813826483202,-4838.520179372164,619.7533632286941,88,0.04134433399922629
WINN,hybrid,single_bar,100,-2.2679652599380034,-75840.0,1161.999999999999,1757,0.04520692787178485
WINN,hybrid,single_bar,75,-2.2881456975328356,-56140.0,1180.0,1318,0.0801342671606419
WINN,hybrid,single_bar,50,-2.4995794849181725,-40290.0,1121.999999999999,879,0.11857285098177289
WINN,hybrid,single_bar,25,-3.2625157370371,-35365.0,1139.9999999999993,441,0.14934457296919013
WINN,hybrid,single_bar,10,-2.54015667900699,-23200.0,1192.4999999999995,176,0.4783788644645133
WINN,hybrid,single_bar,5,0.58670949963758,-6220.0,953.4999999999997,88,0.9078955618104642
WINN,hybrid,multi_bar,100,-5.4077903488935135,-121412.62331838504,619.7533632286941,1757,1.910707202505019e-06
WINN,hybrid,multi_bar,75,-6.198453224087141,-105389.34977578418,619.7533632286941,1318,2.323016057032699e-06
WINN,hybrid,multi_bar,50,-6.272321735565819,-75770.26905829553,619.7533632286941,879,9.528126057215281e-05
WINN,hybrid,multi_bar,25,-3.8283345813906635,-33364.88789237646,619.7533632286941,441,0.09080648479194411
WINN,hybrid,multi_bar,10,-7.691350992124713,-25231.367713004292,619.7533632286941,176,0.03283697290172135
WINN,hybrid,multi_bar,5,-12.82104210723363,-16614.080717488658,619.7533632286941,88,0.013013574321657135
