market,architecture,strategy,confidence_pct,sharpe_ratio,max_drawdown,var_95,n_trades,p_value
WDON,cnn,single_bar,100,-7.482274296429264,-3355.0,20.5,1753,5.2769880728031685e-11
WDON,cnn,single_bar,75,-7.552595016409309,-3351.0,20.5,1733,4.5208854208420623e-11
WDON,cnn,single_bar,50,-7.552595016409309,-3351.0,20.5,1733,4.5208854208420623e-11
WDON,cnn,single_bar,25,-7.552595016409309,-3351.0,20.5,1733,4.5208854208420623e-11
WDON,cnn,single_bar,10,-7.552595016409309,-3351.0,20.5,1733,4.5208854208420623e-11
WDON,cnn,single_bar,5,-7.552595016409309,-3351.0,20.5,1733,4.5208854208420623e-11
WDON,cnn,multi_bar,100,-4.574409321405269,-2969.894145476046,22.968066232998353,1753,5.630459048230826e-05
WDON,cnn,multi_bar,75,-4.491932868325036,-2890.394145476046,22.968066232998353,1733,8.394255166815008e-05
WDON,cnn,multi_bar,50,-4.491932868325036,-2890.394145476046,22.968066232998353,1733,8.394255166815008e-05
WDON,cnn,multi_bar,25,-4.491932868325036,-2890.394145476046,22.968066232998353,1733,8.394255166815008e-05
WDON,cnn,multi_bar,10,-4.491932868325036,-2890.394145476046,22.968066232998353,1733,8.394255166815008e-05
WDON,cnn,multi_bar,5,-4.491932868325036,-2890.394145476046,22.968066232998353,1733,8.394255166815008e-05
WDON,lstm,single_bar,100,-7.482274296429264,-3355.0,20.5,1753,5.2769880728031685e-11
WDON,lstm,single_bar,75,-8.01966431664124,-2581.5,19.5,1315,1.1532223710328778e-09
WDON,lstm,single_bar,50,-8.027791470157299,-1789.0,21.0,877,6.520484272498574e-07
WDON,lstm,single_bar,25,-6.886969899373357,-825.5,21.5,439,0.002490782288219518
WDON,lstm,single_bar,10,-4.740837620154672,-272.0,20.749999999999993,176,0.186591408858913
WDON,lstm,single_bar,5,-0.2149519948523536,-119.0,20.62499999999999,88,0.9661895162795817
WDON,lstm,multi_bar,100,-4.574409321405269,-2969.894145476046,22.968066232998353,1753,5.630459048230826e-05
WDON,lstm,multi_bar,75,-3.2418582451083617,-1599.9050857480725,22.968066232998353,1315,0.013323342017665846
WDON,lstm,multi_bar,50,-4.233839790203559,-1538.3403311649918,22.968066232998353,877,0.008357419952163743
WDON,lstm,multi_bar,25,-7.1961012419587735,-1312.1697220579572,22.968066232998353,439,0.0015846787145378687
WDON,lstm,multi_bar,10,-5.648832335761462,-430.7125960969852,22.968066232998353,176,0.11594041146018363
WDON,lstm,multi_bar,5,-1.9092047673368748,-211.8722649319934,22.968066232998353,88,0.7066663099765023
WDON,hybrid,single_bar,100,-7.482274296429264,-3355.0,20.5,1753,5.2769880728031685e-11
WDON,hybrid,single_bar,75,-8.289175758177581,-2615.0,19.0,1315,3.2124133375476197e-10
WDON,hybrid,single_bar,50,-8.104099167705218,-1692.0,18.5,877,5.120375585691224e-07
WDON,hybrid,single_bar,25,-8.861528331697336,-777.0,15.59999999999998,439,0.00010512208093033191
WDON,hybrid,single_bar,10,-8.12444438972441,-318.5,14.0,176,0.024287292241623137
WDON,hybrid,single_bar,5,-2.6683340174363623,-80.5,13.649999999999995,88,0.5990481934610457
WDON,hybrid,multi_bar,100,-4.574409321405269,-2969.894145476046,22.968066232998353,1753,5.630459048230826e-05
WDON,hybrid,multi_bar,75,-4.592303733586023,-2212.298344175041,22.968066232998353,1315,0.0004619328288516586
WDON,hybrid,multi_bar,50,-3.3696990290459032,-1308.957125960972,22.968066232998353,877,0.0356824702896015
WDON,hybrid,multi_bar,25,-1.3241376417752522,-413.7125960969852,22.968066232998353,439,0.5589229105096051
WDON,hybrid,multi_bar,10,1.4554031587312768,-278.2764636309885,22.968066232998353,176,0.6844682680835819
WDON,hybrid,multi_bar,5,7.256784724002331,-102.84033116499177,22.968066232998353,88,0.15483251895363537
WINN,cnn,single_bar,100,-1.8916663645925789,-72725.0,1105.4999999999995,1759,0.09458846905852522
WINN,cnn,single_bar,75,-1.9764281776287498,-55995.0,1105.4999999999998,1319,0.13045459080641408
WINN,cnn,single_bar,50,-1.7956320301808608,-43735.0,1190.4999999999995,880,0.26175766382998855
WINN,cnn,single_bar,25,-1.761916116642942,-18980.0,1265.7499999999998,440,0.4363119714875211
WINN,cnn,single_bar,10,-5.70712664566925,-19145.0,1394.9999999999964,176,0.11225226164158758
WINN,cnn,single_bar,5,-1.073995611099874,-4185.0,1003.2499999999995,88,0.8322925732719065
WINN,cnn,multi_bar,100,-4.919422945434188,-105299.91219799698,620.1573364761425,1759,1.4416905362447856e-05
WINN,cnn,multi_bar,75,-4.7230850076291375,-81871.64289923455,620.1573364761425,1319,0.00031019787397047196
WINN,cnn,multi_bar,50,-5.102858722959202,-62879.28285209241,620.1573364761425,880,0.0014667624066862256
WINN,cnn,multi_bar,25,-6.984146220065328,-41312.237477902556,620.1573364761425,440,0.002139317397882997
WINN,cnn,multi_bar,10,-10.727381809598853,-23815.349440188846,620.1573364761425,176,0.0030913478813539403
WINN,cnn,multi_bar,5,-10.013039095350138,-12412.674720094423,620.1573364761425,88,0.05083760276590291
WINN,lstm,single_bar,100,-2.299788006253601,-74870.0,1160.9999999999993,1759,0.04215891514515816
WINN,lstm,single_bar,75,-1.37795882461419,-48370.0,1185.4999999999998,1319,0.2916021062540648
WINN,lstm,single_bar,50,-0.13323584186124465,-29550.0,1200.4999999999995,880,0.9336127304995474
WINN,lstm,single_bar,25,2.5801551895684685,-14090.0,1325.25,440,0.25449713836585686
WINN,lstm,single_bar,10,4.208047861846509,-5745.0,1526.2499999999993,176,0.24082702088558458
WINN,lstm,single_bar,5,0.7307301497419568,-6980.0,2232.249999999999,88,0.8854295892430564
WINN,lstm,multi_bar,100,-5.195326623423164,-117266.52032999496,620.1573364761425,1759,4.666055898498533e-06
WINN,lstm,multi_bar,75,-4.968734771737522,-86910.54154390155,620.1573364761425,1319,0.0001487073363118469
WINN,lstm,multi_bar,50,-4.923658369818253,-61858.81084266398,620.1573364761425,880,0.0021400665768618217
WINN,lstm,multi_bar,25,-0.7548044119045247,-20659.090748379705,620.1573364761425,440,0.7386996205627545
WINN,lstm,multi_bar,10,0.5029009668708763,-9461.730701237568,620.1573364761425,176,0.8883062135959243
WINN,lstm,multi_bar,5,-1.1091329882897252,-7961.573364761425,620.1573364761425,88,0.8268927722408503
WINN,hybrid,single_bar,100,-2.5553867848034084,-73630.0,1185.9999999999993,1759,0.023978829244640582
WINN,hybrid,single_bar,75,-1.9876687842488097,-50940.0,1170.9999999999993,1319,0.1282836343558058
WINN,hybrid,single_bar,50,-1.5934711762034066,-39310.0,1310.7499999999993,880,0.3192625867718315
WINN,hybrid,single_bar,25,0.5602313069752864,-16610.0,1325.7499999999998,440,0.8044486234462993
WINN,hybrid,single_bar,10,0.10887083061266056,-15435.0,1798.7499999999995,176,0.9757434648053683
