trade_index,pnl,cumulative_pnl
0,18.969252601703374,18.969252601703374
1,-22.969252601703374,-4.0
2,-22.969252601703374,-26.969252601703374
3,-22.969252601703374,-49.93850520340675
4,-22.969252601703374,-72.90775780511012
5,-22.969252601703374,-95.8770104068135
6,18.969252601703374,-76.90775780511012
7,-22.969252601703374,-99.8770104068135
8,18.969252601703374,-80.90775780511012
9,18.969252601703374,-61.93850520340675
10,18.969252601703374,-42.969252601703374
11,18.969252601703374,-24.0
12,-22.969252601703374,-46.969252601703374
13,18.969252601703374,-28.0
14,18.969252601703374,-9.030747398296626
15,-3.0,-12.030747398296626
16,-22.969252601703374,-35.0
17,18.969252601703374,-16.030747398296626
18,-22.969252601703374,-39.0
19,18.969252601703374,-20.030747398296626
20,-22.969252601703374,-43.0
21,18.969252601703374,-24.030747398296626
22,18.969252601703374,-5.0614947965932515
23,3.5,-1.5614947965932515
24,1.0,-0.5614947965932515
25,-15.0,-15.561494796593252
26,-22.969252601703374,-38.530747398296626
27,-22.969252601703374,-61.5
28,-22.969252601703374,-84.46925260170337
29,18.969252601703374,-65.5
30,18.969252601703374,-46.530747398296626
31,-22.969252601703374,-69.5
32,-22.969252601703374,-92.46925260170337
33,10.5,-81.96925260170337
34,-1.5,-83.46925260170337
35,18.969252601703374,-64.5
36,18.969252601703374,-45.530747398296626
37,18.969252601703374,-26.56149479659325
38,18.969252601703374,-7.592242194889877
39,18.969252601703374,11.377010406813497
40,-22.969252601703374,-11.592242194889877
41,-22.969252601703374,-34.56149479659325
42,-22.969252601703374,-57.530747398296626
43,-3.0,-60.530747398296626
44,-1.5,-62.030747398296626
45,-5.0,-67.03074739829663
46,-1.5,-68.53074739829663
47,-22.969252601703374,-91.5
48,-22.969252601703374,-114.46925260170337
49,-22.969252601703374,-137.43850520340675
50,-22.969252601703374,-160.40775780511012
51,18.969252601703374,-141.43850520340675
52,18.969252601703374,-122.46925260170337
53,18.969252601703374,-103.5
54,9.0,-94.5
55,18.969252601703374,-75.53074739829663
56,-22.969252601703374,-98.5
57,-22.969252601703374,-121.46925260170337
58,18.969252601703374,-102.5
59,-22.969252601703374,-125.46925260170337
60,18.969252601703374,-106.5
61,18.969252601703374,-87.53074739829663
62,15.0,-72.53074739829663
63,18.969252601703374,-53.56149479659325
64,11.0,-42.56149479659325
65,-1.5,-44.06149479659325
66,-22.969252601703374,-67.03074739829663
67,-22.969252601703374,-90.0
68,-22.969252601703374,-112.96925260170337
69,-22.969252601703374,-135.93850520340675
70,-22.969252601703374,-158.90775780511012
71,-22.969252601703374,-181.8770104068135
72,-22.969252601703374,-204.84626300851687
73,18.969252601703374,-185.8770104068135
74,-8.5,-194.3770104068135
75,-22.969252601703374,-217.34626300851687
76,-22.969252601703374,-240.31551561022025
77,-22.969252601703374,-263.2847682119236
78,-22.969252601703374,-286.254020813627
79,18.969252601703374,-267.2847682119236
80,-22.969252601703374,-290.254020813627
81,-22.969252601703374,-313.22327341533037
82,-22.969252601703374,-336.19252601703374
83,-1.5,-337.69252601703374
84,8.0,-329.69252601703374
85,-9.0,-338.69252601703374
86,-22.969252601703374,-361.6617786187371
87,-22.969252601703374,-384.6310312204405
88,-22.969252601703374,-407.60028382214387
89,-22.969252601703374,-430.56953642384724
90,18.969252601703374,-411.60028382214387
91,18.969252601703374,-392.6310312204405
92,18.969252601703374,-373.6617786187371
93,-12.0,-385.6617786187371
94,-8.0,-393.6617786187371
95,-9.0,-402.6617786187371
96,-22.969252601703374,-425.6310312204405
97,-22.969252601703374,-448.60028382214387
98,-22.969252601703374,-471.56953642384724
99,-22.969252601703374,-494.5387890255506
100,18.969252601703374,-475.56953642384724
101,-19.5,-495.06953642384724
102,-22.969252601703374,-518.0387890255506
103,-22.969252601703374,-541.008041627254
104,-22.969252601703374,-563.9772942289574
105,-16.5,-580.4772942289574
106,4.0,-576.4772942289574
107,-4.0,-580.4772942289574
108,18.969252601703374,-561.508041627254
109,18.969252601703374,-542.5387890255506
110,-22.969252601703374,-565.508041627254
111,-22.969252601703374,-588.4772942289574
112,-22.969252601703374,-611.4465468306607
113,-22.969252601703374,-634.4157994323641
114,-22.969252601703374,-657.3850520340675
115,-3.5,-660.8850520340675
116,-7.0,-667.8850520340675
117,3.5,-664.3850520340675
118,18.969252601703374,-645.4157994323641
119,18.969252601703374,-626.4465468306607
120,18.969252601703374,-607.4772942289574
121,18.969252601703374,-588.508041627254
122,18.969252601703374,-569.5387890255506
123,13.5,-556.0387890255506
124,9.0,-547.0387890255506
125,18.969252601703374,-528.0695364238472
126,18.969252601703374,-509.10028382214387
127,18.969252601703374,-490.1310312204405
128,18.969252601703374,-471.1617786187371
129,18.969252601703374,-452.19252601703374
130,18.969252601703374,-433.22327341533037
131,18.969252601703374,-414.254020813627
132,-6.0,-420.254020813627
133,-11.0,-431.254020813627
134,-6.0,-437.254020813627
135,-4.0,-441.254020813627
136,-22.969252601703374,-464.22327341533037
137,-22.969252601703374,-487.19252601703374
138,-22.969252601703374,-510.1617786187371
139,-22.969252601703374,-533.1310312204405
140,-15.0,-548.1310312204405
141,-7.5,-555.6310312204405
142,-7.0,-562.6310312204405
143,-6.5,-569.1310312204405
144,5.0,-564.1310312204405
145,6.5,-557.6310312204405
146,-22.969252601703374,-580.6002838221439
147,-22.969252601703374,-603.5695364238472
148,-22.969252601703374,-626.5387890255506
149,-22.969252601703374,-649.508041627254
150,18.969252601703374,-630.5387890255506
151,12.5,-618.0387890255506
152,-7.5,-625.5387890255506
153,9.5,-616.0387890255506
154,18.969252601703374,-597.0695364238472
155,-9.5,-606.5695364238472
156,18.969252601703374,-587.6002838221439
157,18.969252601703374,-568.6310312204405
158,-22.969252601703374,-591.6002838221439
159,-22.969252601703374,-614.5695364238472
160,-12.5,-627.0695364238472
161,18.969252601703374,-608.1002838221439
162,-22.969252601703374,-631.0695364238472
163,-22.969252601703374,-654.0387890255506
164,-0.5,-654.5387890255506
165,-6.5,-661.0387890255506
166,10.0,-651.0387890255506
167,18.969252601703374,-632.0695364238472
168,18.969252601703374,-613.1002838221439
169,18.969252601703374,-594.1310312204405
170,-22.969252601703374,-617.1002838221439
171,18.969252601703374,-598.1310312204405
172,-22.969252601703374,-621.1002838221439
173,-11.5,-632.6002838221439
174,-3.0,-635.6002838221439
175,13.5,-622.1002838221439
176,-4.0,-626.1002838221439
177,-22.969252601703374,-649.0695364238472
178,-22.969252601703374,-672.0387890255506
179,-22.969252601703374,-695.008041627254
180,-22.969252601703374,-717.9772942289574
181,-22.969252601703374,-740.9465468306607
182,2.5,-738.4465468306607
183,8.0,-730.4465468306607
184,2.5,-727.9465468306607
185,1.0,-726.9465468306607
186,5.0,-721.9465468306607
187,-4.0,-725.9465468306607
188,18.969252601703374,-706.9772942289574
189,18.969252601703374,-688.008041627254
190,6.0,-682.008041627254
191,12.0,-670.008041627254
192,-5.5,-675.508041627254
193,-9.5,-685.008041627254
194,-4.5,-689.508041627254
195,-9.0,-698.508041627254
196,-8.0,-706.508041627254
197,-2.5,-709.008041627254
198,-4.0,-713.008041627254
199,-1.5,-714.508041627254
200,3.0,-711.508041627254
201,-2.5,-714.008041627254
202,4.5,-709.508041627254
203,-2.5,-712.008041627254
204,-1.0,-713.008041627254
205,-1.5,-714.508041627254
206,7.0,-707.508041627254
207,-22.969252601703374,-730.4772942289574
208,-22.969252601703374,-753.4465468306607
209,-22.969252601703374,-776.4157994323641
210,-22.969252601703374,-799.3850520340675
211,-3.5,-802.8850520340675
212,-0.5,-803.3850520340675
213,9.0,-794.3850520340675
214,9.0,-785.3850520340675
215,5.0,-780.3850520340675
216,11.5,-768.8850520340675
217,8.5,-760.3850520340675
218,3.0,-757.3850520340675
219,18.969252601703374,-738.4157994323641
220,11.0,-727.4157994323641
221,7.0,-720.4157994323641
222,-3.5,-723.9157994323641
223,0.0,-723.9157994323641
224,4.5,-719.4157994323641
225,3.0,-716.4157994323641
226,4.0,-712.4157994323641
227,1.0,-711.4157994323641
228,-3.5,-714.9157994323641
229,1.0,-713.9157994323641
230,1.5,-712.4157994323641
231,6.5,-705.9157994323641
232,1.5,-704.4157994323641
233,-8.0,-712.4157994323641
234,8.5,-703.9157994323641
235,11.5,-692.4157994323641
236,-12.0,-704.4157994323641
237,-10.0,-714.4157994323641
238,18.969252601703374,-695.4465468306607
239,18.969252601703374,-676.4772942289574
240,18.969252601703374,-657.508041627254
241,18.969252601703374,-638.5387890255506
242,18.969252601703374,-619.5695364238472
243,-11.0,-630.5695364238472
244,18.969252601703374,-611.6002838221439
245,5.5,-606.1002838221439
246,-14.5,-620.6002838221439
247,-22.969252601703374,-643.5695364238472
248,-7.0,-650.5695364238472
249,-22.969252601703374,-673.5387890255506
250,-22.969252601703374,-696.508041627254
251,-22.969252601703374,-719.4772942289574
252,-22.969252601703374,-742.4465468306607
253,-4.5,-746.9465468306607
254,5.5,-741.4465468306607
255,1.5,-739.9465468306607
256,11.5,-728.4465468306607
257,7.0,-721.4465468306607
258,18.969252601703374,-702.4772942289574
259,18.969252601703374,-683.508041627254
260,18.969252601703374,-664.5387890255506
261,-3.0,-667.5387890255506
262,14.0,-653.5387890255506
263,8.0,-645.5387890255506
264,-3.5,-649.0387890255506
265,-9.0,-658.0387890255506
266,-1.5,-659.5387890255506
267,-11.5,-671.0387890255506
268,-6.5,-677.5387890255506
269,-13.0,-690.5387890255506
270,-22.969252601703374,-713.508041627254
271,-12.0,-725.508041627254
272,-22.969252601703374,-748.4772942289574
273,3.5,-744.9772942289574
274,9.5,-735.4772942289574
275,15.0,-720.4772942289574
276,18.969252601703374,-701.508041627254
277,18.969252601703374,-682.5387890255506
278,18.969252601703374,-663.5695364238472
279,-22.969252601703374,-686.5387890255506
280,-22.969252601703374,-709.508041627254
281,18.969252601703374,-690.5387890255506
282,-8.5,-699.0387890255506
283,18.969252601703374,-680.0695364238472
284,18.969252601703374,-661.1002838221439
285,3.5,-657.6002838221439
286,-22.969252601703374,-680.5695364238472
287,-22.969252601703374,-703.5387890255506
288,-22.969252601703374,-726.508041627254
289,-22.969252601703374,-749.4772942289574
290,-22.969252601703374,-772.4465468306607
291,-22.969252601703374,-795.4157994323641
292,-12.5,-807.9157994323641
293,-6.5,-814.4157994323641
294,-9.0,-823.4157994323641
295,-6.5,-829.9157994323641
296,-7.5,-837.4157994323641
297,3.5,-833.9157994323641
298,-5.5,-839.4157994323641
299,-22.969252601703374,-862.3850520340675
300,-22.969252601703374,-885.3543046357709
301,-22.969252601703374,-908.3235572374742
302,-22.969252601703374,-931.2928098391776
303,-13.0,-944.2928098391776
304,-9.5,-953.7928098391776
305,-7.5,-961.2928098391776
306,0.5,-960.7928098391776
307,7.0,-953.7928098391776
308,5.5,-948.2928098391776
309,-7.5,-955.7928098391776
310,6.5,-949.2928098391776
311,-22.969252601703374,-972.262062440881
312,-22.969252601703374,-995.2313150425844
313,1.5,-993.7313150425844
314,-22.969252601703374,-1016.7005676442877
315,-3.0,-1019.7005676442877
316,-22.969252601703374,-1042.669820245991
317,-22.969252601703374,-1065.6390728476945
318,-22.969252601703374,-1088.6083254493979
319,-22.969252601703374,-1111.5775780511012
320,-22.969252601703374,-1134.5468306528046
321,-22.969252601703374,-1157.516083254508
322,4.5,-1153.016083254508
323,18.969252601703374,-1134.0468306528046
324,7.5,-1126.5468306528046
325,10.5,-1116.0468306528046
326,-22.969252601703374,-1139.016083254508
327,-22.969252601703374,-1161.9853358562113
328,-22.969252601703374,-1184.9545884579147
329,-22.969252601703374,-1207.923841059618
330,-22.969252601703374,-1230.8930936613215
331,-22.969252601703374,-1253.8623462630248
332,-22.969252601703374,-1276.8315988647282
333,-22.969252601703374,-1299.8008514664316
334,-22.969252601703374,-1322.770104068135
335,-22.969252601703374,-1345.7393566698383
336,-22.969252601703374,-1368.7086092715417
337,-22.969252601703374,-1391.677861873245
338,-4.0,-1395.677861873245
339,18.969252601703374,-1376.7086092715417
340,18.969252601703374,-1357.7393566698383
341,18.969252601703374,-1338.770104068135
342,18.969252601703374,-1319.8008514664316
343,-5.5,-1325.3008514664316
344,-16.5,-1341.8008514664316
345,-18.0,-1359.8008514664316
346,-22.969252601703374,-1382.770104068135
347,-22.969252601703374,-1405.7393566698383
348,-22.969252601703374,-1428.7086092715417
349,-22.969252601703374,-1451.677861873245
350,-22.969252601703374,-1474.6471144749485
351,18.969252601703374,-1455.677861873245
352,18.969252601703374,-1436.7086092715417
353,18.969252601703374,-1417.7393566698383
354,-22.969252601703374,-1440.7086092715417
355,-22.969252601703374,-1463.677861873245
356,18.969252601703374,-1444.7086092715417
357,18.969252601703374,-1425.7393566698383
358,18.969252601703374,-1406.770104068135
359,18.969252601703374,-1387.8008514664316
360,-22.969252601703374,-1410.770104068135
361,18.969252601703374,-1391.8008514664316
362,-22.969252601703374,-1414.770104068135
363,-22.969252601703374,-1437.7393566698383
364,-22.969252601703374,-1460.7086092715417
365,-22.969252601703374,-1483.677861873245
366,8.5,-1475.177861873245
367,7.5,-1467.677861873245
368,18.969252601703374,-1448.7086092715417
369,18.969252601703374,-1429.7393566698383
370,18.969252601703374,-1410.770104068135
371,18.969252601703374,-1391.8008514664316
372,-4.0,-1395.8008514664316
373,3.0,-1392.8008514664316
374,-4.5,-1397.3008514664316
375,0.5,-1396.8008514664316
376,-22.969252601703374,-1419.770104068135
377,-22.969252601703374,-1442.7393566698383
378,-22.969252601703374,-1465.7086092715417
379,-22.969252601703374,-1488.677861873245
380,-22.969252601703374,-1511.6471144749485
381,18.969252601703374,-1492.677861873245
382,10.0,-1482.677861873245
383,18.969252601703374,-1463.7086092715417
384,18.969252601703374,-1444.7393566698383
385,18.969252601703374,-1425.770104068135
386,-22.969252601703374,-1448.7393566698383
387,18.969252601703374,-1429.770104068135
388,-22.969252601703374,-1452.7393566698383
389,-22.969252601703374,-1475.7086092715417
390,18.969252601703374,-1456.7393566698383
391,18.969252601703374,-1437.770104068135
392,9.0,-1428.770104068135
393,-1.5,-1430.270104068135
394,4.0,-1426.270104068135
395,11.0,-1415.270104068135
396,-11.0,-1426.270104068135
397,18.969252601703374,-1407.3008514664316
398,18.969252601703374,-1388.3315988647282
399,18.969252601703374,-1369.3623462630248
400,18.969252601703374,-1350.3930936613215
401,18.969252601703374,-1331.423841059618
402,18.969252601703374,-1312.4545884579147
403,18.969252601703374,-1293.4853358562113
404,-12.0,-1305.4853358562113
405,18.969252601703374,-1286.516083254508
406,18.969252601703374,-1267.5468306528046
407,18.969252601703374,-1248.5775780511012
408,-22.969252601703374,-1271.5468306528046
409,18.969252601703374,-1252.5775780511012
410,-22.969252601703374,-1275.5468306528046
411,-22.969252601703374,-1298.516083254508
412,-22.969252601703374,-1321.4853358562113
413,-22.969252601703374,-1344.4545884579147
414,-4.5,-1348.9545884579147
415,18.969252601703374,-1329.9853358562113
416,-22.969252601703374,-1352.9545884579147
417,-22.969252601703374,-1375.923841059618
418,-22.969252601703374,-1398.8930936613215
419,-22.969252601703374,-1421.8623462630248
420,-22.969252601703374,-1444.8315988647282
421,-22.969252601703374,-1467.8008514664316
422,1.0,-1466.8008514664316
423,18.969252601703374,-1447.8315988647282
424,-1.5,-1449.3315988647282
425,3.0,-1446.3315988647282
426,9.0,-1437.3315988647282
427,8.0,-1429.3315988647282
428,1.0,-1428.3315988647282
429,6.0,-1422.3315988647282
430,-22.969252601703374,-1445.3008514664316
431,2.5,-1442.8008514664316
432,3.5,-1439.3008514664316
433,-11.0,-1450.3008514664316
434,-5.0,-1455.3008514664316
435,-15.0,-1470.3008514664316
436,-22.969252601703374,-1493.270104068135
437,-22.969252601703374,-1516.2393566698383
438,-22.969252601703374,-1539.2086092715417
439,-22.969252601703374,-1562.177861873245
440,18.969252601703374,-1543.2086092715417
441,-6.5,-1549.7086092715417
442,-0.5,-1550.2086092715417
443,-3.0,-1553.2086092715417
444,6.0,-1547.2086092715417
445,1.5,-1545.7086092715417
446,-10.5,-1556.2086092715417
447,-22.969252601703374,-1579.177861873245
448,-22.969252601703374,-1602.1471144749485
449,-22.969252601703374,-1625.1163670766518
450,-22.969252601703374,-1648.0856196783552
451,18.969252601703374,-1629.1163670766518
452,18.969252601703374,-1610.1471144749485
453,18.969252601703374,-1591.177861873245
454,-22.969252601703374,-1614.1471144749485
455,-22.969252601703374,-1637.1163670766518
456,-22.969252601703374,-1660.0856196783552
457,18.969252601703374,-1641.1163670766518
458,-22.969252601703374,-1664.0856196783552
459,18.969252601703374,-1645.1163670766518
460,18.969252601703374,-1626.1471144749485
461,18.969252601703374,-1607.177861873245
462,18.969252601703374,-1588.2086092715417
463,4.0,-1584.2086092715417
464,-9.5,-1593.7086092715417
465,-7.0,-1600.7086092715417
466,-22.969252601703374,-1623.677861873245
467,-22.969252601703374,-1646.6471144749485
468,-22.969252601703374,-1669.6163670766518
469,-22.969252601703374,-1692.5856196783552
470,18.969252601703374,-1673.6163670766518
471,18.969252601703374,-1654.6471144749485
472,8.0,-1646.6471144749485
473,18.969252601703374,-1627.677861873245
474,-22.969252601703374,-1650.6471144749485
475,-22.969252601703374,-1673.6163670766518
476,-9.0,-1682.6163670766518
477,11.0,-1671.6163670766518
478,-7.5,-1679.1163670766518
479,10.0,-1669.1163670766518
480,-12.5,-1681.6163670766518
481,-22.969252601703374,-1704.5856196783552
482,-22.969252601703374,-1727.5548722800586
483,-22.969252601703374,-1750.524124881762
484,-22.969252601703374,-1773.4933774834653
485,-22.969252601703374,-1796.4626300851687
486,-22.969252601703374,-1819.431882686872
487,-22.969252601703374,-1842.4011352885755
488,-22.969252601703374,-1865.3703878902788
489,-12.0,-1877.3703878902788
490,-14.0,-1891.3703878902788
491,-22.969252601703374,-1914.3396404919822
492,0.5,-1913.8396404919822
493,-12.0,-1925.8396404919822
494,-22.969252601703374,-1948.8088930936856
495,-22.969252601703374,-1971.778145695389
496,-22.969252601703374,-1994.7473982970923
497,-22.969252601703374,-2017.7166508987957
498,18.969252601703374,-1998.7473982970923
499,12.5,-1986.2473982970923
500,9.0,-1977.2473982970923
501,9.0,-1968.2473982970923
502,3.5,-1964.7473982970923
503,6.5,-1958.2473982970923
504,2.0,-1956.2473982970923
505,-22.969252601703374,-1979.2166508987957
506,-22.969252601703374,-2002.185903500499
507,-22.969252601703374,-2025.1551561022025
508,-22.969252601703374,-2048.124408703906
509,-0.5,-2048.624408703906
510,5.5,-2043.1244087039058
511,5.0,-2038.1244087039058
512,-22.969252601703374,-2061.093661305609
513,-22.969252601703374,-2084.0629139073126
514,-22.969252601703374,-2107.032166509016
515,-22.969252601703374,-2130.0014191107193
516,18.969252601703374,-2111.032166509016
517,-22.969252601703374,-2134.0014191107193
518,-22.969252601703374,-2156.9706717124227
519,-22.969252601703374,-2179.939924314126
520,-14.5,-2194.439924314126
521,-8.5,-2202.939924314126
522,-3.0,-2205.939924314126
523,5.0,-2200.939924314126
524,18.969252601703374,-2181.9706717124227
525,18.969252601703374,-2163.0014191107193
526,18.969252601703374,-2144.032166509016
527,18.969252601703374,-2125.0629139073126
528,18.969252601703374,-2106.093661305609
529,18.969252601703374,-2087.124408703906
530,-17.0,-2104.124408703906
531,-22.969252601703374,-2127.093661305609
532,18.969252601703374,-2108.124408703906
533,18.969252601703374,-2089.1551561022025
534,18.969252601703374,-2070.185903500499
535,18.969252601703374,-2051.2166508987957
536,18.969252601703374,-2032.2473982970923
537,18.969252601703374,-2013.278145695389
538,18.969252601703374,-1994.3088930936856
539,4.0,-1990.3088930936856
540,-22.969252601703374,-2013.278145695389
541,-22.969252601703374,-2036.2473982970923
542,-22.969252601703374,-2059.2166508987957
543,18.969252601703374,-2040.2473982970923
544,18.969252601703374,-2021.278145695389
545,18.969252601703374,-2002.3088930936856
546,18.969252601703374,-1983.3396404919822
547,18.969252601703374,-1964.3703878902788
548,18.969252601703374,-1945.4011352885755
549,-22.969252601703374,-1968.3703878902788
550,-22.969252601703374,-1991.3396404919822
551,3.5,-1987.8396404919822
552,18.969252601703374,-1968.8703878902788
553,18.969252601703374,-1949.9011352885755
554,18.969252601703374,-1930.931882686872
555,18.969252601703374,-1911.9626300851687
556,-22.969252601703374,-1934.931882686872
557,-22.969252601703374,-1957.9011352885755
558,-22.969252601703374,-1980.8703878902788
559,18.969252601703374,-1961.9011352885755
560,18.969252601703374,-1942.931882686872
561,-22.969252601703374,-1965.9011352885755
562,18.969252601703374,-1946.931882686872
563,18.969252601703374,-1927.9626300851687
564,-22.969252601703374,-1950.931882686872
565,-22.969252601703374,-1973.9011352885755
566,-22.969252601703374,-1996.8703878902788
567,8.5,-1988.3703878902788
568,1.5,-1986.8703878902788
569,18.969252601703374,-1967.9011352885755
570,15.0,-1952.9011352885755
571,9.0,-1943.9011352885755
572,18.969252601703374,-1924.931882686872
573,18.969252601703374,-1905.9626300851687
574,18.969252601703374,-1886.9933774834653
575,18.969252601703374,-1868.024124881762
576,-22.969252601703374,-1890.9933774834653
577,18.969252601703374,-1872.024124881762
578,18.969252601703374,-1853.0548722800586
579,18.969252601703374,-1834.0856196783552
580,-22.969252601703374,-1857.0548722800586
581,-22.969252601703374,-1880.024124881762
