trade_index,pnl,cumulative_pnl
0,-22.968066232998353,-22.968066232998353
1,-22.968066232998353,-45.93613246599671
2,-22.968066232998353,-68.90419869899506
3,-22.968066232998353,-91.87226493199341
4,-22.968066232998353,-114.84033116499177
5,-22.968066232998353,-137.80839739799012
6,18.968066232998353,-118.84033116499177
7,18.968066232998353,-99.87226493199341
8,18.968066232998353,-80.90419869899506
9,18.968066232998353,-61.93613246599671
10,18.968066232998353,-42.96806623299835
11,18.968066232998353,-24.0
12,-22.968066232998353,-46.96806623299835
13,-22.968066232998353,-69.9361324659967
14,18.968066232998353,-50.96806623299835
15,18.968066232998353,-32.0
16,-3.0,-35.0
17,-22.968066232998353,-57.96806623299835
18,-22.968066232998353,-80.9361324659967
19,-22.968066232998353,-103.90419869899506
20,-22.968066232998353,-126.87226493199341
21,-22.968066232998353,-149.84033116499177
22,18.968066232998353,-130.8722649319934
23,18.968066232998353,-111.90419869899506
24,-7.5,-119.40419869899506
25,-5.0,-124.40419869899506
26,11.0,-113.40419869899506
27,18.968066232998353,-94.4361324659967
28,-22.968066232998353,-117.40419869899506
29,-22.968066232998353,-140.3722649319934
30,-22.968066232998353,-163.34033116499177
31,-22.968066232998353,-186.30839739799012
32,-22.968066232998353,-209.27646363098847
33,-22.968066232998353,-232.24452986398683
34,10.5,-221.74452986398683
35,-1.5,-223.24452986398683
36,18.968066232998353,-204.27646363098847
37,18.968066232998353,-185.30839739799012
38,18.968066232998353,-166.34033116499177
39,18.968066232998353,-147.3722649319934
40,18.968066232998353,-128.40419869899506
41,18.968066232998353,-109.4361324659967
42,18.968066232998353,-90.46806623299835
43,18.968066232998353,-71.5
44,-1.0,-72.5
45,-2.5,-75.0
46,1.0,-74.0
47,-2.5,-76.5
48,-22.968066232998353,-99.46806623299835
49,18.968066232998353,-80.5
50,18.968066232998353,-61.53193376700165
51,18.968066232998353,-42.56386753400329
52,-22.968066232998353,-65.53193376700165
53,-22.968066232998353,-88.5
54,18.968066232998353,-69.53193376700165
55,-13.0,-82.53193376700165
56,18.968066232998353,-63.56386753400329
57,18.968066232998353,-44.59580130100494
58,18.968066232998353,-25.627735068006587
59,18.968066232998353,-6.659668835008233
60,18.968066232998353,12.30839739799012
61,-22.968066232998353,-10.659668835008233
62,-22.968066232998353,-33.62773506800659
63,-19.0,-52.62773506800659
64,-22.968066232998353,-75.59580130100494
65,-15.0,-90.59580130100494
66,-1.5,-92.09580130100494
67,-22.968066232998353,-115.0638675340033
68,-22.968066232998353,-138.03193376700165
69,-22.968066232998353,-161.0
70,-22.968066232998353,-183.96806623299835
71,-22.968066232998353,-206.9361324659967
72,-22.968066232998353,-229.90419869899506
73,-22.968066232998353,-252.8722649319934
74,18.968066232998353,-233.90419869899506
75,4.5,-229.40419869899506
76,18.968066232998353,-210.4361324659967
77,-22.968066232998353,-233.40419869899506
78,-22.968066232998353,-256.3722649319934
79,-22.968066232998353,-279.34033116499177
80,18.968066232998353,-260.3722649319934
81,-22.968066232998353,-283.34033116499177
82,-22.968066232998353,-306.3083973979901
83,-22.968066232998353,-329.2764636309885
84,-2.5,-331.7764636309885
85,-12.0,-343.7764636309885
86,5.0,-338.7764636309885
87,18.968066232998353,-319.8083973979901
88,18.968066232998353,-300.84033116499177
89,18.968066232998353,-281.8722649319934
90,18.968066232998353,-262.90419869899506
91,18.968066232998353,-243.9361324659967
92,18.968066232998353,-224.96806623299835
93,18.968066232998353,-206.0
94,-12.0,-218.0
95,-8.0,-226.0
96,5.0,-221.0
97,-22.968066232998353,-243.96806623299835
98,18.968066232998353,-225.0
99,-22.968066232998353,-247.96806623299835
100,-22.968066232998353,-270.9361324659967
101,18.968066232998353,-251.96806623299835
102,-19.5,-271.46806623299835
103,-22.968066232998353,-294.4361324659967
104,-22.968066232998353,-317.40419869899506
105,-22.968066232998353,-340.3722649319934
106,12.5,-327.8722649319934
107,4.0,-323.8722649319934
108,0.0,-323.8722649319934
109,18.968066232998353,-304.90419869899506
110,18.968066232998353,-285.9361324659967
111,-22.968066232998353,-308.90419869899506
112,-22.968066232998353,-331.8722649319934
113,-22.968066232998353,-354.84033116499177
114,18.968066232998353,-335.8722649319934
115,-22.968066232998353,-358.84033116499177
116,-0.5,-359.34033116499177
117,-7.0,-366.34033116499177
118,3.5,-362.84033116499177
119,18.968066232998353,-343.8722649319934
120,18.968066232998353,-324.90419869899506
121,18.968066232998353,-305.9361324659967
122,18.968066232998353,-286.96806623299835
123,18.968066232998353,-268.0
124,13.5,-254.5
125,9.0,-245.5
126,-22.968066232998353,-268.46806623299835
127,-22.968066232998353,-291.4361324659967
128,18.968066232998353,-272.46806623299835
129,-22.968066232998353,-295.4361324659967
130,-22.968066232998353,-318.40419869899506
131,18.968066232998353,-299.4361324659967
132,18.968066232998353,-280.46806623299835
133,-6.0,-286.46806623299835
134,-11.0,-297.46806623299835
135,-6.0,-303.46806623299835
136,0.0,-303.46806623299835
137,-22.968066232998353,-326.4361324659967
138,18.968066232998353,-307.46806623299835
139,-22.968066232998353,-330.4361324659967
140,-22.968066232998353,-353.40419869899506
141,-15.0,-368.40419869899506
142,-7.5,-375.90419869899506
143,-7.0,-382.90419869899506
144,-6.5,-389.40419869899506
145,5.0,-384.40419869899506
146,-10.5,-394.90419869899506
147,-22.968066232998353,-417.8722649319934
148,18.968066232998353,-398.90419869899506
149,-22.968066232998353,-421.8722649319934
150,-22.968066232998353,-444.84033116499177
