trade_index,pnl,cumulative_pnl
0,9.0,9.0
1,-25.5,-16.5
2,-33.5,-50.0
3,-33.5,-83.5
4,-12.0,-95.5
5,-63.5,-159.0
6,41.0,-118.0
7,-21.5,-139.5
8,15.0,-124.5
9,21.0,-103.5
10,22.5,-81.0
11,31.5,-49.5
12,-24.5,-74.0
13,2.0,-72.0
14,12.0,-60.0
15,6.0,-54.0
16,-2.5,-56.5
17,9.0,-47.5
18,0.5,-47.0
19,33.0,-14.0
20,-5.5,-19.5
21,1.0,-18.5
22,32.5,14.0
23,2.0,16.0
24,8.0,24.0
25,-9.5,14.5
26,-3.0,11.5
27,-0.5,11.0
28,-8.0,3.0
29,7.0,10.0
30,15.5,25.5
31,-7.0,18.5
32,-15.0,3.5
33,4.5,8.0
34,-10.5,-2.5
35,-5.0,-7.5
36,15.5,8.0
37,-7.5,0.5
38,-2.0,-1.5
39,27.5,26.0
40,-18.0,8.0
41,-10.5,-2.5
42,-17.5,-20.0
43,-2.0,-22.0
44,5.0,-17.0
45,-15.5,-32.5
46,3.5,-29.0
47,-0.5,-29.5
48,1.5,-28.0
49,-12.0,-40.0
50,-15.5,-55.5
51,-6.0,-61.5
52,31.0,-30.5
53,7.5,-23.0
54,-7.5,-30.5
55,2.0,-28.5
56,4.0,-24.5
57,4.5,-20.0
58,3.5,-16.5
59,-28.5,-45.0
60,0.0,-45.0
61,14.5,-30.5
62,-6.5,-37.0
63,2.5,-34.5
64,7.0,-27.5
65,-10.0,-37.5
66,0.5,-37.0
67,-0.5,-37.5
68,2.5,-35.0
69,-20.0,-55.0
70,-9.5,-64.5
71,-9.5,-74.0
72,-19.0,-93.0
73,4.5,-88.5
74,-0.5,-89.0
75,-7.0,-96.0
76,-0.5,-96.5
77,-6.5,-103.0
78,-47.0,-150.0
79,19.0,-131.0
80,-8.5,-139.5
81,-2.5,-142.0
82,-23.5,-165.5
83,-4.0,-169.5
84,8.5,-161.0
85,-7.5,-168.5
86,-4.5,-173.0
87,5.5,-167.5
88,-8.5,-176.0
89,-36.0,-212.0
90,15.5,-196.5
91,6.5,-190.0
92,15.5,-174.5
93,-6.0,-180.5
94,-0.5,-181.0
95,-5.5,-186.5
96,-6.0,-192.5
97,-2.0,-194.5
98,-1.5,-196.0
99,-17.0,-213.0
100,24.5,-188.5
101,4.5,-184.0
102,-7.5,-191.5
103,-1.5,-193.0
104,-21.0,-214.0
105,-3.0,-217.0
106,-0.5,-217.5
107,-14.5,-232.0
108,-4.5,-236.5
109,17.5,-219.0
110,-8.5,-227.5
111,-13.0,-240.5
112,-17.5,-258.0
113,-21.0,-279.0
114,-11.5,-290.5
115,4.5,-286.0
116,-3.0,-289.0
117,-9.0,-298.0
118,-2.0,-300.0
119,1.0,-299.0
120,7.5,-291.5
121,23.0,-268.5
122,7.5,-261.0
123,4.5,-256.5
124,-3.5,-260.0
125,1.0,-259.0
126,-9.5,-268.5
127,-4.0,-272.5
128,-7.5,-280.0
129,27.5,-252.5
130,0.5,-252.0
131,11.0,-241.0
132,2.5,-238.5
133,-5.5,-244.0
134,-4.0,-248.0
135,-5.0,-253.0
136,-2.5,-255.5
137,-0.5,-256.0
138,-2.0,-258.0
139,-23.0,-281.0
140,-11.0,-292.0
141,0.5,-291.5
142,4.5,-287.0
143,-15.0,-302.0
144,-3.5,-305.5
145,1.0,-304.5
146,5.0,-299.5
147,-3.5,-303.0
148,-2.0,-305.0
149,9.5,-295.5
150,18.0,-277.5
151,2.0,-275.5
152,0.5,-275.0
153,-2.5,-277.5
154,11.5,-266.0
155,3.0,-263.0
156,1.5,-261.5
157,8.0,-253.5
158,-1.0,-254.5
159,-49.5,-304.0
160,-3.5,-307.5
161,3.0,-304.5
162,-2.0,-306.5
163,-16.0,-322.5
164,-2.5,-325.0
165,0.5,-324.5
166,-4.0,-328.5
167,-0.5,-329.0
168,-8.5,-337.5
169,17.0,-320.5
170,2.5,-318.0
171,6.0,-312.0
172,-23.0,-335.0
173,-6.5,-341.5
174,-14.5,-356.0
175,0.5,-355.5
176,3.0,-352.5
177,2.0,-350.5
178,2.0,-348.5
179,-17.0,-365.5
180,-8.0,-373.5
181,-26.5,-400.0
182,0.0,-400.0
183,-2.0,-402.0
184,-1.5,-403.5
185,0.0,-403.5
186,5.5,-398.0
187,-7.5,-405.5
188,-3.0,-408.5
189,4.0,-404.5
190,-3.5,-408.0
191,6.5,-401.5
192,1.5,-400.0
193,-4.5,-404.5
194,2.5,-402.0
195,-11.0,-413.0
196,-2.5,-415.5
197,0.5,-415.0
198,-2.0,-417.0
199,-10.0,-427.0
200,3.0,-424.0
201,-1.0,-425.0
202,0.5,-424.5
203,-5.5,-430.0
204,-2.5,-432.5
205,6.0,-426.5
206,2.5,-424.0
207,-4.0,-428.0
208,-3.0,-431.0
209,-3.5,-434.5
210,-21.5,-456.0
211,-5.5,-461.5
212,-11.0,-472.5
213,-1.5,-474.0
214,8.5,-465.5
215,-2.5,-468.0
216,-1.5,-469.5
217,-1.5,-471.0
218,4.5,-466.5
219,-8.0,-474.5
220,0.5,-474.0
221,3.0,-471.0
222,-6.5,-477.5
223,-3.0,-480.5
224,-0.5,-481.0
225,0.5,-480.5
226,-3.0,-483.5
227,1.5,-482.0
228,-2.0,-484.0
229,1.5,-482.5
230,-6.0,-488.5
231,-3.0,-491.5
232,2.5,-489.0
233,2.0,-487.0
234,-3.0,-490.0
235,4.0,-486.0
236,-7.0,-493.0
237,-2.5,-495.5
238,-4.0,-499.5
239,-4.5,-504.0
240,-5.0,-509.0
241,3.5,-505.5
242,15.5,-490.0
243,10.0,-480.0
244,8.0,-472.0
245,2.5,-469.5
246,4.5,-465.0
247,-10.5,-475.5
248,3.0,-472.5
249,-17.5,-490.0
250,12.5,-477.5
251,-11.0,-488.5
252,-22.5,-511.0
253,-8.5,-519.5
254,-1.0,-520.5
255,-7.0,-527.5
256,6.0,-521.5
257,1.5,-520.0
258,-5.0,-525.0
259,3.0,-522.0
260,1.5,-520.5
261,4.5,-516.0
262,-0.5,-516.5
263,8.0,-508.5
264,2.0,-506.5
265,-10.5,-517.0
266,2.5,-514.5
267,-3.5,-518.0
268,-3.5,-521.5
269,-3.0,-524.5
270,-7.5,-532.0
271,1.5,-530.5
272,-10.0,-540.5
273,-6.0,-546.5
274,-3.5,-550.0
275,9.0,-541.0
276,-2.0,-543.0
277,0.0,-543.0
278,2.0,-541.0
279,-11.0,-552.0
280,-11.5,-563.5
281,13.0,-550.5
282,9.0,-541.5
283,-5.0,-546.5
284,7.5,-539.0
285,9.0,-530.0
286,-5.5,-535.5
287,-6.5,-542.0
288,0.5,-541.5
289,-30.5,-572.0
290,-5.0,-577.0
291,-21.5,-598.5
292,-7.0,-605.5
293,-2.5,-608.0
294,0.0,-608.0
295,-9.0,-617.0
296,-1.0,-618.0
297,-5.0,-623.0
298,2.5,-620.5
299,-10.0,-630.5
300,10.0,-620.5
301,-14.0,-634.5
302,-21.5,-656.0
303,0.5,-655.5
