trade_index,pnl,cumulative_pnl
0,0.5,0.5
1,-37.0,-36.5
2,-11.0,-47.5
3,-19.5,-67.0
4,-7.0,-74.0
5,15.5,-58.5
6,-7.5,-66.0
7,-2.0,-68.0
8,27.5,-40.5
9,14.0,-26.5
10,6.5,-20.0
11,13.5,-6.5
12,-2.0,-8.5
13,-9.0,-17.5
14,11.5,-6.0
15,-7.5,-13.5
16,-3.5,-17.0
17,-11.0,-28.0
18,-10.0,-38.0
19,0.5,-37.5
20,-0.5,-38.0
21,2.5,-35.5
22,-5.5,-41.0
23,-4.0,-45.0
24,-5.0,-50.0
25,1.0,-49.0
26,5.0,-44.0
27,-3.5,-47.5
28,-2.0,-49.5
29,9.5,-40.0
30,-7.0,-47.0
31,1.5,-45.5
32,8.0,-37.5
33,-0.5,-38.0
34,-7.0,-45.0
35,-2.0,-47.0
36,0.0,-47.0
37,-3.5,-50.5
38,4.5,-46.0
39,-21.0,-67.0
40,-6.5,-73.5
41,-6.0,-79.5
42,-6.0,-85.5
43,13.0,-72.5
44,4.0,-68.5
45,22.5,-46.0
46,3.5,-42.5
47,-1.0,-43.5
48,-8.0,-51.5
49,-0.5,-52.0
50,-10.5,-62.5
51,-5.5,-68.0
52,0.5,-67.5
53,-6.5,-74.0
54,6.0,-68.0
55,-7.0,-75.0
56,-3.0,-78.0
57,-4.5,-82.5
58,-0.5,-83.0
59,17.5,-65.5
60,1.5,-64.0
61,7.0,-57.0
62,-2.5,-59.5
63,-8.5,-68.0
64,-8.0,-76.0
65,0.5,-75.5
66,-13.5,-89.0
67,12.0,-77.0
68,3.0,-74.0
69,-6.5,-80.5
70,-57.5,-138.0
71,-21.0,-159.0
72,-17.5,-176.5
73,2.0,-174.5
74,14.0,-160.5
75,-16.0,-176.5
76,-0.5,-177.0
77,27.5,-149.5
78,-16.5,-166.0
79,12.5,-153.5
80,-10.0,-163.5
81,-10.5,-174.0
82,-29.0,-203.0
83,-6.0,-209.0
84,0.5,-208.5
85,-9.0,-217.5
86,-4.5,-222.0
87,5.5,-216.5
88,6.0,-210.5
89,-2.0,-212.5
90,-26.5,-239.0
91,-3.5,-242.5
92,-13.5,-256.0
93,-11.5,-267.5
94,13.0,-254.5
95,-14.5,-269.0
96,-9.5,-278.5
97,-6.0,-284.5
98,-18.0,-302.5
99,6.0,-296.5
100,-25.5,-322.0
101,-15.5,-337.5
102,8.5,-329.0
103,10.0,-319.0
104,11.0,-308.0
105,-20.5,-328.5
106,18.0,-310.5
107,21.5,-289.0
108,6.5,-282.5
109,-4.5,-287.0
110,-6.5,-293.5
111,-6.5,-300.0
112,9.0,-291.0
113,39.5,-251.5
114,3.5,-248.0
115,-8.5,-256.5
116,-9.0,-265.5
117,-4.0,-269.5
118,-11.0,-280.5
119,-6.5,-287.0
120,-4.5,-291.5
121,-4.5,-296.0
122,-0.5,-296.5
123,0.0,-296.5
124,-20.5,-317.0
125,-37.0,-354.0
126,-16.0,-370.0
127,-11.5,-381.5
128,-3.0,-384.5
129,-14.0,-398.5
130,29.5,-369.0
131,4.0,-365.0
132,-39.5,-404.5
133,-36.0,-440.5
134,-9.5,-450.0
135,-10.0,-460.0
136,67.5,-392.5
137,6.0,-386.5
138,-2.5,-389.0
139,22.5,-366.5
140,6.5,-360.0
141,0.0,-360.0
142,0.0,-360.0
143,-4.5,-364.5
144,17.5,-347.0
145,-19.0,-366.0
146,0.5,-365.5
147,-8.5,-374.0
148,15.0,-359.0
149,8.0,-351.0
150,-0.5,-351.5
151,-4.0,-355.5
152,-26.5,-382.0
153,19.5,-362.5
154,-36.5,-399.0
155,16.0,-383.0
156,13.5,-369.5
157,0.5,-369.0
158,-7.0,-376.0
159,7.0,-369.0
160,3.0,-366.0
161,18.5,-347.5
162,-7.0,-354.5
163,-6.0,-360.5
164,-20.0,-380.5
165,-11.0,-391.5
166,-21.5,-413.0
167,8.5,-404.5
168,-4.5,-409.0
169,4.0,-405.0
170,1.0,-404.0
171,-34.0,-438.0
172,-3.5,-441.5
173,4.0,-437.5
174,-14.5,-452.0
175,31.0,-421.0
176,-3.5,-424.5
177,-11.0,-435.5
178,-1.5,-437.0
179,-12.0,-449.0
180,16.0,-433.0
181,-14.5,-447.5
182,1.0,-446.5
183,-19.0,-465.5
184,-5.0,-470.5
185,12.0,-458.5
186,-22.5,-481.0
187,14.0,-467.0
188,-6.0,-473.0
189,-1.0,-474.0
190,2.0,-472.0
191,-8.5,-480.5
192,-2.5,-483.0
193,3.5,-479.5
194,15.0,-464.5
195,-5.5,-470.0
196,9.5,-460.5
197,-5.0,-465.5
198,9.5,-456.0
199,-9.0,-465.0
200,-8.5,-473.5
201,-7.0,-480.5
202,-1.0,-481.5
203,-36.0,-517.5
204,5.0,-512.5
205,-5.5,-518.0
206,-4.5,-522.5
207,-1.0,-523.5
208,-10.5,-534.0
209,-11.5,-545.5
210,-6.0,-551.5
211,1.5,-550.0
212,0.5,-549.5
213,25.5,-524.0
214,-1.5,-525.5
215,-4.5,-530.0
216,-2.5,-532.5
217,-0.5,-533.0
218,-4.5,-537.5
219,23.0,-514.5
220,-4.5,-519.0
221,10.5,-508.5
222,-2.5,-511.0
223,-5.0,-516.0
224,-4.0,-520.0
225,3.0,-517.0
226,-4.5,-521.5
227,0.0,-521.5
228,-4.0,-525.5
229,0.5,-525.0
230,-4.0,-529.0
231,-4.0,-533.0
232,-17.0,-550.0
233,-1.5,-551.5
234,36.5,-515.0
235,1.0,-514.0
236,2.5,-511.5
237,-1.0,-512.5
238,-6.5,-519.0
239,11.5,-507.5
240,-8.0,-515.5
241,-4.0,-519.5
242,-7.5,-527.0
243,-4.0,-531.0
244,13.0,-518.0
245,-1.5,-519.5
246,-4.5,-524.0
247,-25.0,-549.0
248,-11.5,-560.5
249,-14.5,-575.0
250,26.0,-549.0
251,-7.5,-556.5
252,-2.5,-559.0
253,-1.0,-560.0
254,1.0,-559.0
255,-13.5,-572.5
256,3.5,-569.0
257,0.0,-569.0
258,0.0,-569.0
259,3.0,-566.0
260,0.5,-565.5
261,-37.5,-603.0
262,-48.0,-651.0
263,-7.5,-658.5
264,-67.0,-725.5
265,-1.5,-727.0
266,39.0,-688.0
267,4.5,-683.5
268,-3.0,-686.5
269,12.5,-674.0
270,5.0,-669.0
271,-1.0,-670.0
272,-41.0,-711.0
273,-2.0,-713.0
274,-22.5,-735.5
275,-3.0,-738.5
276,1.5,-737.0
277,1.0,-736.0
278,-23.5,-759.5
279,9.5,-750.0
280,-0.5,-750.5
281,16.5,-734.0
282,-11.0,-745.0
283,-2.0,-747.0
284,-5.5,-752.5
285,-10.0,-762.5
286,-7.5,-770.0
287,0.5,-769.5
288,4.5,-765.0
289,-24.5,-789.5
290,-1.0,-790.5
291,2.0,-788.5
292,-8.0,-796.5
293,1.5,-795.0
294,-9.0,-804.0
295,-1.5,-805.5
296,-18.5,-824.0
297,-2.5,-826.5
298,36.0,-790.5
299,-9.5,-800.0
300,-8.5,-808.5
301,-8.5,-817.0
302,-4.0,-821.0
303,-1.5,-822.5
304,8.0,-814.5
305,6.0,-808.5
306,-8.0,-816.5
307,12.0,-804.5
308,-18.5,-823.0
309,4.5,-818.5
310,-0.5,-819.0
311,1.0,-818.0
312,19.5,-798.5
313,16.5,-782.0
314,1.0,-781.0
315,-8.5,-789.5
316,-5.5,-795.0
317,35.5,-759.5
318,-7.0,-766.5
319,16.0,-750.5
320,2.5,-748.0
321,-9.0,-757.0
322,-6.5,-763.5
323,1.5,-762.0
324,-5.0,-767.0
325,6.0,-761.0
326,-5.0,-766.0
327,-8.0,-774.0
328,1.0,-773.0
329,-2.5,-775.5
330,-1.5,-777.0
331,11.5,-765.5
332,8.0,-757.5
333,3.5,-754.0
334,-3.5,-757.5
335,2.5,-755.0
336,-27.0,-782.0
337,-29.5,-811.5
338,-3.5,-815.0
339,8.0,-807.0
340,4.5,-802.5
