trade_index,pnl,cumulative_pnl
0,1.5,1.5
1,-13.0,-11.5
2,-25.5,-37.0
3,-33.5,-70.5
4,-33.5,-104.0
5,-12.0,-116.0
6,59.5,-56.5
7,41.0,-15.5
8,17.5,2.0
9,15.0,17.0
10,21.0,38.0
11,22.5,60.5
12,-35.5,25.0
13,-24.5,0.5
14,2.0,2.5
15,12.0,14.5
16,6.0,20.5
17,-2.5,18.0
18,-13.0,5.0
19,0.5,5.5
20,-37.0,-31.5
21,-5.5,-37.0
22,1.0,-36.0
23,32.5,-3.5
24,-6.0,-9.5
25,-12.0,-21.5
26,5.5,-16.0
27,-1.0,-17.0
28,-0.5,-17.5
29,-8.0,-25.5
30,-11.0,-36.5
31,-19.5,-56.0
32,-7.0,-63.0
33,-15.0,-78.0
34,4.5,-73.5
35,-10.5,-84.0
36,-5.0,-89.0
37,15.5,-73.5
38,-7.5,-81.0
39,-2.0,-83.0
40,27.5,-55.5
41,14.0,-41.5
42,6.5,-35.0
43,13.5,-21.5
44,-2.0,-23.5
45,-9.0,-32.5
46,11.5,-21.0
47,-7.5,-28.5
48,-0.5,-29.0
49,-5.5,-34.5
50,8.0,-26.5
51,11.5,-15.0
52,2.0,-13.0
53,-35.0,-48.0
54,7.5,-40.5
55,3.5,-37.0
56,2.0,-35.0
57,-8.0,-43.0
58,-8.5,-51.5
59,3.5,-48.0
60,24.5,-23.5
61,-4.0,-27.5
62,-18.5,-46.0
63,2.5,-43.5
64,-6.5,-50.0
65,-11.0,-61.0
66,-10.0,-71.0
67,0.5,-70.5
68,-0.5,-71.0
69,2.5,-68.5
70,-20.0,-88.5
71,-9.5,-98.0
72,-9.5,-107.5
73,-19.0,-126.5
74,4.5,-122.0
75,-3.5,-125.5
76,3.0,-122.5
77,-0.5,-123.0
78,-6.5,-129.5
79,-47.0,-176.5
80,19.0,-157.5
81,-8.5,-166.0
82,-2.5,-168.5
83,-23.5,-192.0
84,0.0,-192.0
85,-12.5,-204.5
86,3.5,-201.0
87,0.5,-200.5
88,-9.5,-210.0
89,4.5,-205.5
90,32.0,-173.5
91,15.5,-158.0
92,6.5,-151.5
93,15.5,-136.0
94,-6.0,-142.0
95,-0.5,-142.5
96,1.5,-141.0
97,-6.0,-147.0
98,-2.0,-149.0
99,-1.5,-150.5
100,-17.0,-167.5
101,24.5,-143.0
102,4.5,-138.5
103,-7.5,-146.0
104,-1.5,-147.5
105,-21.0,-168.5
106,-1.0,-169.5
107,-0.5,-170.0
108,10.5,-159.5
109,-4.5,-164.0
110,17.5,-146.5
111,-8.5,-155.0
112,-13.0,-168.0
113,-17.5,-185.5
114,17.0,-168.5
115,-11.5,-180.0
116,-8.5,-188.5
117,-3.0,-191.5
118,-9.0,-200.5
119,-2.0,-202.5
120,1.0,-201.5
121,7.5,-194.0
122,23.0,-171.0
123,7.5,-163.5
124,4.5,-159.0
125,-3.5,-162.5
126,-5.0,-167.5
127,5.5,-162.0
128,-4.0,-166.0
129,3.5,-162.5
130,-31.5,-194.0
