trade_index,pnl,cumulative_pnl
0,1.5,1.5
1,-13.0,-11.5
2,-25.5,-37.0
3,-33.5,-70.5
4,-33.5,-104.0
5,-12.0,-116.0
6,17.5,-98.5
7,22.5,-76.0
8,-35.5,-111.5
9,-24.5,-136.0
10,2.0,-134.0
11,6.0,-128.0
12,-2.5,-130.5
13,-13.0,-143.5
14,0.5,-143.0
15,-37.0,-180.0
16,-5.5,-185.5
17,1.0,-184.5
18,32.5,-152.0
19,-6.0,-158.0
20,-12.0,-170.0
21,5.5,-164.5
22,-1.0,-165.5
23,-0.5,-166.0
24,-11.0,-177.0
25,-19.5,-196.5
26,-7.0,-203.5
27,-15.0,-218.5
28,4.5,-214.0
29,-10.5,-224.5
30,-5.0,-229.5
31,15.5,-214.0
32,-7.5,-221.5
33,-2.0,-223.5
34,6.5,-217.0
35,13.5,-203.5
36,-2.0,-205.5
37,-9.0,-214.5
38,11.5,-203.0
39,-7.5,-210.5
40,-5.5,-216.0
41,8.0,-208.0
42,11.5,-196.5
43,2.0,-194.5
44,-35.0,-229.5
45,7.5,-222.0
46,3.5,-218.5
47,2.0,-216.5
48,-8.0,-224.5
49,-8.5,-233.0
50,3.5,-229.5
51,24.5,-205.0
52,-4.0,-209.0
53,-18.5,-227.5
54,2.5,-225.0
55,-6.5,-231.5
56,-11.0,-242.5
57,-10.0,-252.5
58,-0.5,-253.0
59,-20.0,-273.0
60,-9.5,-282.5
61,-19.0,-301.5
62,-3.5,-305.0
63,3.0,-302.0
64,-0.5,-302.5
65,-47.0,-349.5
66,19.0,-330.5
67,-8.5,-339.0
68,-2.5,-341.5
69,3.5,-338.0
70,0.5,-337.5
71,-9.5,-347.0
72,32.0,-315.0
73,15.5,-299.5
74,-6.0,-305.5
75,-2.0,-307.5
76,-1.5,-309.0
77,-17.0,-326.0
78,24.5,-301.5
79,4.5,-297.0
80,-7.5,-304.5
81,-21.0,-325.5
82,-1.0,-326.5
83,-4.5,-331.0
84,17.5,-313.5
85,-8.5,-322.0
86,-13.0,-335.0
87,-17.5,-352.5
88,-3.0,-355.5
89,-2.0,-357.5
90,1.0,-356.5
91,7.5,-349.0
92,23.0,-326.0
93,7.5,-318.5
94,-3.5,-322.0
95,-5.0,-327.0
96,5.5,-321.5
97,3.5,-318.0
98,-31.5,-349.5
99,0.5,-349.0
100,11.0,-338.0
101,2.5,-335.5
102,-5.5,-341.0
103,-4.0,-345.0
104,1.0,-344.0
105,-2.5,-346.5
106,-2.0,-348.5
107,-23.0,-371.5
108,-11.0,-382.5
109,0.5,-382.0
110,4.5,-377.5
111,-15.0,-392.5
112,-3.5,-396.0
113,-5.0,-401.0
114,5.0,-396.0
115,-0.5,-396.5
116,-2.0,-398.5
117,9.5,-389.0
118,18.0,-371.0
119,-4.5,-375.5
120,3.0,-372.5
121,1.5,-371.0
122,-12.0,-383.0
123,-3.0,-386.0
124,45.5,-340.5
125,-0.5,-341.0
126,-7.0,-348.0
127,-2.0,-350.0
128,-1.5,-351.5
129,0.5,-351.0
