trade_index,pnl,cumulative_pnl
0,1.5,1.5
1,-13.0,-11.5
2,-25.5,-37.0
3,-33.5,-70.5
4,-33.5,-104.0
5,-12.0,-116.0
6,-63.5,-179.5
7,41.0,-138.5
8,-21.5,-160.0
9,15.0,-145.0
10,21.0,-124.0
11,22.5,-101.5
12,-35.5,-137.0
13,-24.5,-161.5
14,2.0,-159.5
15,12.0,-147.5
16,6.0,-141.5
17,-2.5,-144.0
18,-13.0,-157.0
19,0.5,-156.5
20,-37.0,-193.5
21,-5.5,-199.0
22,1.0,-198.0
23,32.5,-165.5
24,-6.0,-171.5
25,-12.0,-183.5
26,5.5,-178.0
27,-1.0,-179.0
28,-3.5,-182.5
29,4.0,-178.5
30,-11.0,-189.5
31,-19.5,-209.0
32,-7.0,-216.0
33,-15.0,-231.0
34,4.5,-226.5
35,-10.5,-237.0
36,-5.0,-242.0
37,15.5,-226.5
38,-7.5,-234.0
39,-2.0,-236.0
40,27.5,-208.5
41,14.0,-194.5
42,6.5,-188.0
43,13.5,-174.5
44,-2.0,-176.5
45,-9.0,-185.5
46,11.5,-174.0
47,-7.5,-181.5
48,-3.5,-185.0
49,-5.5,-190.5
50,8.0,-182.5
51,11.5,-171.0
52,2.0,-169.0
53,-35.0,-204.0
54,7.5,-196.5
55,3.5,-193.0
56,-6.0,-199.0
57,-8.0,-207.0
58,-8.5,-215.5
59,3.5,-212.0
60,24.5,-187.5
61,-4.0,-191.5
62,-18.5,-210.0
63,2.5,-207.5
64,-6.5,-214.0
65,-11.0,-225.0
66,-10.0,-235.0
67,0.5,-234.5
68,-0.5,-235.0
69,2.5,-232.5
70,-20.0,-252.5
71,-9.5,-262.0
72,-9.5,-271.5
73,-19.0,-290.5
74,4.5,-286.0
75,-0.5,-286.5
76,-7.0,-293.5
77,-0.5,-294.0
78,-6.5,-300.5
79,-47.0,-347.5
80,19.0,-328.5
81,-8.5,-337.0
82,-2.5,-339.5
83,-23.5,-363.0
84,-4.0,-367.0
85,8.5,-358.5
86,-7.5,-366.0
87,-4.5,-370.5
88,5.5,-365.0
89,-8.5,-373.5
90,-36.0,-409.5
91,15.5,-394.0
92,6.5,-387.5
93,15.5,-372.0
94,-6.0,-378.0
95,-0.5,-378.5
96,-5.5,-384.0
97,-6.0,-390.0
98,-2.0,-392.0
99,-1.5,-393.5
100,-17.0,-410.5
101,24.5,-386.0
102,4.5,-381.5
103,-7.5,-389.0
104,-1.5,-390.5
105,-21.0,-411.5
106,-3.0,-414.5
107,-0.5,-415.0
108,-14.5,-429.5
109,-4.5,-434.0
110,17.5,-416.5
111,-8.5,-425.0
112,-13.0,-438.0
113,-17.5,-455.5
114,-21.0,-476.5
115,-11.5,-488.0
116,4.5,-483.5
117,-3.0,-486.5
118,-9.0,-495.5
119,-2.0,-497.5
120,1.0,-496.5
121,7.5,-489.0
122,23.0,-466.0
123,7.5,-458.5
124,4.5,-454.0
125,-3.5,-457.5
126,1.0,-456.5
127,5.5,-451.0
128,0.0,-451.0
129,3.5,-447.5
