trade_index,pnl,cumulative_pnl
0,1.5,1.5
1,-13.0,-11.5
2,-25.5,-37.0
3,-33.5,-70.5
4,-33.5,-104.0
5,-12.0,-116.0
6,41.0,-75.0
7,15.0,-60.0
8,21.0,-39.0
9,22.5,-16.5
10,-35.5,-52.0
11,-24.5,-76.5
12,2.0,-74.5
13,12.0,-62.5
14,6.0,-56.5
15,-2.5,-59.0
16,-13.0,-72.0
17,0.5,-71.5
18,-37.0,-108.5
19,-5.5,-114.0
20,1.0,-113.0
21,32.5,-80.5
22,-6.0,-86.5
23,-12.0,-98.5
24,5.5,-93.0
25,-1.0,-94.0
26,-11.0,-105.0
27,-19.5,-124.5
28,-7.0,-131.5
29,-15.0,-146.5
30,4.5,-142.0
31,-10.5,-152.5
32,-5.0,-157.5
33,15.5,-142.0
34,-7.5,-149.5
35,-2.0,-151.5
36,27.5,-124.0
37,14.0,-110.0
38,6.5,-103.5
39,13.5,-90.0
40,-2.0,-92.0
41,-9.0,-101.0
42,11.5,-89.5
43,-7.5,-97.0
44,-5.5,-102.5
45,8.0,-94.5
46,11.5,-83.0
47,2.0,-81.0
48,-35.0,-116.0
49,7.5,-108.5
50,3.5,-105.0
51,-8.0,-113.0
52,-8.5,-121.5
53,3.5,-118.0
54,24.5,-93.5
55,-4.0,-97.5
56,-18.5,-116.0
57,2.5,-113.5
58,-6.5,-120.0
59,-11.0,-131.0
60,-10.0,-141.0
61,0.5,-140.5
62,-0.5,-141.0
63,2.5,-138.5
64,-20.0,-158.5
65,-9.5,-168.0
66,-9.5,-177.5
67,-19.0,-196.5
68,4.5,-192.0
69,-0.5,-192.5
70,-6.5,-199.0
71,-47.0,-246.0
72,19.0,-227.0
73,-8.5,-235.5
74,-2.5,-238.0
75,-23.5,-261.5
76,15.5,-246.0
77,6.5,-239.5
78,15.5,-224.0
79,-6.0,-230.0
80,-0.5,-230.5
81,-6.0,-236.5
82,-1.5,-238.0
83,-17.0,-255.0
84,24.5,-230.5
85,4.5,-226.0
86,-7.5,-233.5
87,-1.5,-235.0
88,-21.0,-256.0
89,-0.5,-256.5
90,-4.5,-261.0
91,17.5,-243.5
92,-8.5,-252.0
93,-13.0,-265.0
94,-17.5,-282.5
95,-11.5,-294.0
96,-3.0,-297.0
97,-9.0,-306.0
98,-2.0,-308.0
99,1.0,-307.0
100,7.5,-299.5
101,23.0,-276.5
102,7.5,-269.0
103,4.5,-264.5
104,-3.5,-268.0
105,5.5,-262.5
106,3.5,-259.0
107,-31.5,-290.5
108,0.5,-290.0
109,11.0,-279.0
110,2.5,-276.5
111,-5.5,-282.0
112,-4.0,-286.0
113,-2.5,-288.5
114,-2.0,-290.5
115,-23.0,-313.5
116,-11.0,-324.5
117,0.5,-324.0
118,4.5,-319.5
119,-15.0,-334.5
120,-3.5,-338.0
121,5.0,-333.0
122,-2.0,-335.0
123,9.5,-325.5
124,18.0,-307.5
125,2.0,-305.5
126,-4.5,-310.0
127,11.5,-298.5
128,1.5,-297.0
129,-3.0,-300.0
