trade_index,pnl,cumulative_pnl
0,-13.0,-13.0
1,-25.5,-38.5
2,-33.5,-72.0
3,-33.5,-105.5
4,-12.0,-117.5
5,-63.5,-181.0
6,41.0,-140.0
7,-21.5,-161.5
8,15.0,-146.5
9,21.0,-125.5
10,22.5,-103.0
11,-35.5,-138.5
12,-24.5,-163.0
13,2.0,-161.0
14,12.0,-149.0
15,6.0,-143.0
16,-2.5,-145.5
17,-13.0,-158.5
18,0.5,-158.0
19,-37.0,-195.0
20,-5.5,-200.5
21,1.0,-199.5
22,32.5,-167.0
23,-6.0,-173.0
24,-12.0,-185.0
25,5.5,-179.5
26,-1.0,-180.5
27,-3.5,-184.0
28,4.0,-180.0
29,-11.0,-191.0
30,-19.5,-210.5
31,-7.0,-217.5
32,-15.0,-232.5
33,4.5,-228.0
34,-10.5,-238.5
35,-5.0,-243.5
36,15.5,-228.0
37,-7.5,-235.5
38,-2.0,-237.5
39,27.5,-210.0
40,14.0,-196.0
41,-10.5,-206.5
42,-17.5,-224.0
43,-2.0,-226.0
44,5.0,-221.0
45,-15.5,-236.5
46,3.5,-233.0
47,-0.5,-233.5
48,1.5,-232.0
49,-12.0,-244.0
50,-15.5,-259.5
51,-6.0,-265.5
52,31.0,-234.5
53,7.5,-227.0
54,3.5,-223.5
55,-6.0,-229.5
56,-8.0,-237.5
57,-8.5,-246.0
58,3.5,-242.5
59,24.5,-218.0
60,-4.0,-222.0
61,-18.5,-240.5
62,2.5,-238.0
63,-6.5,-244.5
64,-11.0,-255.5
65,-10.0,-265.5
66,0.5,-265.0
67,-0.5,-265.5
68,2.5,-263.0
69,-20.0,-283.0
70,-9.5,-292.5
71,-9.5,-302.0
72,-19.0,-321.0
73,4.5,-316.5
74,-0.5,-317.0
75,-7.0,-324.0
76,-0.5,-324.5
77,-6.5,-331.0
78,-47.0,-378.0
79,19.0,-359.0
80,-8.5,-367.5
81,-2.5,-370.0
82,-23.5,-393.5
83,-4.0,-397.5
84,8.5,-389.0
85,-7.5,-396.5
86,-4.5,-401.0
87,5.5,-395.5
88,-8.5,-404.0
89,-36.0,-440.0
90,15.5,-424.5
91,6.5,-418.0
92,15.5,-402.5
93,-6.0,-408.5
94,-0.5,-409.0
95,-5.5,-414.5
96,-6.0,-420.5
97,-2.0,-422.5
98,-1.5,-424.0
99,-17.0,-441.0
100,24.5,-416.5
101,4.5,-412.0
102,-7.5,-419.5
103,-1.5,-421.0
104,-21.0,-442.0
105,-3.0,-445.0
106,-0.5,-445.5
107,-14.5,-460.0
108,-4.5,-464.5
109,17.5,-447.0
110,-8.5,-455.5
111,-13.0,-468.5
112,-17.5,-486.0
113,-21.0,-507.0
114,-11.5,-518.5
115,4.5,-514.0
116,-3.0,-517.0
117,-9.0,-526.0
118,-2.0,-528.0
119,1.0,-527.0
120,7.5,-519.5
121,23.0,-496.5
122,7.5,-489.0
123,4.5,-484.5
124,-3.5,-488.0
125,1.0,-487.0
126,5.5,-481.5
127,0.0,-481.5
128,3.5,-478.0
129,-31.5,-509.5
130,0.5,-509.0
131,11.0,-498.0
132,2.5,-495.5
133,-5.5,-501.0
134,-4.0,-505.0
135,-5.0,-510.0
136,-2.5,-512.5
137,-0.5,-513.0
138,-2.0,-515.0
139,-23.0,-538.0
140,-11.0,-549.0
141,0.5,-548.5
142,4.5,-544.0
143,-15.0,-559.0
144,-3.5,-562.5
145,1.0,-561.5
146,5.0,-556.5
147,-3.5,-560.0
148,-2.0,-562.0
149,9.5,-552.5
150,18.0,-534.5
151,2.0,-532.5
152,-4.5,-537.0
153,-2.5,-539.5
154,11.5,-528.0
155,-7.0,-535.0
156,1.5,-533.5
157,8.0,-525.5
158,-3.0,-528.5
159,45.5,-483.0
160,-3.5,-486.5
161,3.0,-483.5
162,-2.0,-485.5
163,-16.0,-501.5
164,-2.5,-504.0
165,0.5,-503.5
166,-4.0,-507.5
167,-0.5,-508.0
168,-8.5,-516.5
169,17.0,-499.5
170,-6.5,-506.0
171,6.0,-500.0
172,19.0,-481.0
173,2.5,-478.5
174,-14.5,-493.0
175,0.5,-492.5
176,3.0,-489.5
177,-6.0,-495.5
178,-6.0,-501.5
179,13.0,-488.5
180,4.0,-484.5
181,22.5,-462.0
182,0.0,-462.0
183,-2.0,-464.0
184,-1.5,-465.5
185,0.0,-465.5
186,5.5,-460.0
187,3.5,-456.5
188,-1.0,-457.5
189,-8.0,-465.5
190,-0.5,-466.0
191,-10.5,-476.5
192,-5.5,-482.0
193,0.5,-481.5
194,-6.5,-488.0
195,7.0,-481.0
196,-1.5,-482.5
197,-4.5,-487.0
198,-2.0,-489.0
199,6.0,-483.0
200,-7.0,-490.0
201,-3.0,-493.0
202,-4.5,-497.5
203,1.5,-496.0
204,-1.5,-497.5
205,-10.0,-507.5
206,2.5,-505.0
207,0.0,-505.0
208,-1.0,-506.0
209,-0.5,-506.5
210,17.5,-489.0
