trade_index,pnl,cumulative_pnl
0,-1.0,-1.0
1,-15.0,-16.0
2,-10.5,-26.5
3,15.5,-11.0
4,-7.5,-18.5
5,-2.0,-20.5
6,27.5,7.0
7,14.0,21.0
8,6.5,27.5
9,13.5,41.0
10,-9.0,32.0
11,-7.5,24.5
12,-3.5,21.0
13,-5.5,15.5
14,11.5,27.0
15,-47.0,-20.0
16,-23.5,-43.5
17,8.5,-35.0
18,-4.5,-39.5
19,-8.5,-48.0
20,15.5,-32.5
21,15.5,-17.0
22,-0.5,-17.5
23,-6.0,-23.5
24,24.5,1.0
25,-7.5,-6.5
26,-8.5,-15.0
27,-17.5,-32.5
28,-11.5,-44.0
29,-3.0,-47.0
30,-2.0,-49.0
31,1.0,-48.0
32,7.5,-40.5
33,23.0,-17.5
34,7.5,-10.0
35,4.5,-5.5
36,-3.5,-9.0
37,11.0,2.0
38,-1.5,0.5
39,12.5,13.0
40,-6.5,6.5
41,13.0,19.5
42,41.5,61.0
43,-11.0,50.0
44,-3.5,46.5
45,-10.5,36.0
46,13.0,49.0
47,12.0,61.0
48,-9.5,51.5
49,-15.0,36.5
50,-3.5,33.0
51,-11.5,21.5
52,13.0,34.5
53,-14.5,20.0
54,-6.0,14.0
55,0.5,14.5
56,-20.5,-6.0
57,21.5,15.5
58,6.5,22.0
59,-4.5,17.5
60,-6.5,11.0
61,9.0,20.0
62,39.5,59.5
63,-8.5,51.0
64,-9.0,42.0
65,-1.5,40.5
66,-36.0,4.5
67,-13.0,-8.5
68,-10.0,-18.5
69,6.0,-12.5
70,1.5,-11.0
71,2.5,-8.5
72,0.0,-8.5
73,7.0,-1.5
74,8.5,7.0
75,-4.5,2.5
76,33.0,35.5
77,23.0,58.5
78,-5.5,53.0
79,24.0,77.0
80,-15.0,62.0
81,2.5,64.5
82,13.0,77.5
83,-1.5,76.0
84,-2.0,74.0
85,-1.0,73.0
86,-1.0,72.0
87,11.0,83.0
88,-12.5,70.5
89,2.0,72.5
90,8.0,80.5
91,-1.5,79.0
92,39.0,118.0
93,4.5,122.5
94,-3.0,119.5
95,2.5,122.0
96,3.5,125.5
97,9.0,134.5
98,-0.5,134.0
99,1.0,135.0
100,-3.0,132.0
101,-3.0,129.0
102,-0.5,128.5
103,-4.0,124.5
104,11.5,136.0
105,6.0,142.0
106,-4.0,138.0
107,-5.0,133.0
108,-6.0,127.0
109,-27.5,99.5
110,-1.5,98.0
111,3.0,101.0
112,-8.5,92.5
113,-14.5,78.0
114,3.5,81.5
115,1.0,82.5
116,-2.5,80.0
117,36.0,116.0
118,-9.5,106.5
119,-8.5,98.0
120,-8.5,89.5
121,-4.0,85.5
122,-1.5,84.0
123,-10.0,74.0
124,4.0,78.0
125,-6.5,71.5
126,12.0,83.5
127,-18.5,65.0
128,4.5,69.5
129,16.5,86.0
130,1.0,87.0
131,-8.5,78.5
132,3.0,81.5
133,6.5,88.0
134,-4.5,83.5
135,-28.5,55.0
136,8.5,63.5
137,-1.0,62.5
138,9.0,71.5
139,-7.5,64.0
140,4.5,68.5
141,-4.0,64.5
142,3.5,68.0
143,6.0,74.0
144,8.0,82.0
145,-8.0,74.0
146,4.5,78.5
147,-7.5,71.0
148,6.5,77.5
149,3.5,81.0
150,10.0,91.0
151,-12.5,78.5
152,-1.0,77.5
153,-9.0,68.5
154,-2.0,66.5
155,-1.0,65.5
156,-7.0,58.5
157,-0.5,58.0
158,9.0,67.0
159,0.5,67.5
160,-20.5,47.0
161,-6.5,40.5
162,8.5,49.0
163,-6.0,43.0
164,-7.5,35.5
165,-3.5,32.0
166,3.5,35.5
167,-31.5,4.0
168,-17.5,-13.5
169,-6.0,-19.5
170,7.0,-12.5
171,7.0,-5.5
172,2.5,-3.0
173,1.5,-1.5
174,1.5,0.0
175,-14.0,-14.0
