trade_index,pnl,cumulative_pnl
0,1.5,1.5
1,-25.5,-24.0
2,-33.5,-57.5
3,-63.5,-121.0
4,-21.5,-142.5
5,21.0,-121.5
6,-35.5,-157.0
7,2.0,-155.0
8,6.0,-149.0
9,-2.5,-151.5
10,-13.0,-164.5
11,0.5,-164.0
12,-37.0,-201.0
13,-5.5,-206.5
14,32.5,-174.0
15,-12.0,-186.0
16,-1.0,-187.0
17,4.0,-183.0
18,-19.5,-202.5
19,-7.0,-209.5
20,-15.0,-224.5
21,4.5,-220.0
22,-10.5,-230.5
23,-5.0,-235.5
24,15.5,-220.0
25,-7.5,-227.5
26,-2.0,-229.5
27,27.5,-202.0
28,14.0,-188.0
29,6.5,-181.5
30,13.5,-168.0
31,-2.0,-170.0
32,-9.0,-179.0
33,11.5,-167.5
34,-7.5,-175.0
35,-3.5,-178.5
36,-5.5,-184.0
37,8.0,-176.0
38,11.5,-164.5
39,2.0,-162.5
40,-35.0,-197.5
41,7.5,-190.0
42,3.5,-186.5
43,-6.0,-192.5
44,-8.0,-200.5
45,-8.5,-209.0
46,3.5,-205.5
47,24.5,-181.0
48,-4.0,-185.0
49,-18.5,-203.5
50,2.5,-201.0
51,-6.5,-207.5
52,-11.0,-218.5
53,-10.0,-228.5
54,-0.5,-229.0
55,-20.0,-249.0
56,-9.5,-258.5
57,4.5,-254.0
58,-7.0,-261.0
59,-36.0,-297.0
60,6.5,-290.5
61,-6.0,-296.5
62,-0.5,-297.0
63,-5.5,-302.5
64,-6.0,-308.5
65,-1.5,-310.0
66,24.5,-285.5
67,-7.5,-293.0
68,-21.0,-314.0
69,-0.5,-314.5
70,-4.5,-319.0
71,-8.5,-327.5
72,-17.5,-345.0
73,-11.5,-356.5
74,4.5,-352.0
75,-3.0,-355.0
76,-9.0,-364.0
77,1.0,-363.0
78,23.0,-340.0
79,7.5,-332.5
80,4.5,-328.0
81,-3.5,-331.5
82,1.0,-330.5
83,5.5,-325.0
84,0.0,-325.0
85,3.5,-321.5
86,-31.5,-353.0
87,0.5,-352.5
88,11.0,-341.5
89,2.5,-339.0
90,-5.5,-344.5
91,-4.0,-348.5
92,-5.0,-353.5
93,-2.5,-356.0
94,-0.5,-356.5
95,-2.0,-358.5
96,-23.0,-381.5
97,-11.0,-392.5
98,0.5,-392.0
99,4.5,-387.5
100,-15.0,-402.5
101,-3.5,-406.0
102,1.0,-405.0
103,5.0,-400.0
104,-2.0,-402.0
105,18.0,-384.0
106,2.0,-382.0
107,-4.5,-386.5
108,-2.5,-389.0
109,11.5,-377.5
110,-7.0,-384.5
111,1.5,-383.0
112,8.0,-375.0
113,-3.0,-378.0
114,45.5,-332.5
115,-0.5,-333.0
116,-7.0,-340.0
117,-2.0,-342.0
118,12.0,-330.0
119,-1.5,-331.5
120,-4.5,-336.0
121,0.0,-336.0
122,-3.5,-339.5
123,4.5,-335.0
124,-21.0,-356.0
125,6.0,-350.0
126,2.5,-347.5
127,-4.5,-352.0
128,22.5,-329.5
129,-2.0,-331.5
130,-4.0,-335.5
131,3.5,-332.0
132,-8.0,-340.0
133,-10.5,-350.5
134,0.5,-350.0
135,7.0,-343.0
136,-4.5,-347.5
137,6.0,-341.5
138,-3.0,-344.5
139,1.5,-343.0
140,-10.0,-353.0
141,0.0,-353.0
142,-0.5,-353.5
143,1.5,-352.0
