trade_index,pnl,cumulative_pnl
0,-13.0,-13.0
1,3.5,-9.5
2,-2.0,-11.5
3,-3.0,-14.5
4,0.0,-14.5
5,-3.5,-18.0
6,4.5,-13.5
7,-6.5,-20.0
8,-7.0,-27.0
9,-6.0,-33.0
10,13.0,-20.0
11,4.0,-16.0
12,22.5,6.5
13,-4.0,2.5
14,3.5,6.0
15,-1.0,5.0
16,-0.5,4.5
17,-1.5,3.0
18,-2.0,1.0
19,-7.0,-6.0
20,-3.0,-9.0
21,-4.5,-13.5
22,-1.5,-15.0
23,2.5,-12.5
24,0.0,-12.5
25,-1.0,-13.5
26,-0.5,-14.0
27,17.5,3.5
28,1.5,5.0
29,7.0,12.0
30,-12.5,-0.5
31,-2.5,-3.0
32,-8.5,-11.5
33,-2.0,-13.5
34,2.0,-11.5
35,-1.5,-13.0
36,0.0,-13.0
37,-19.5,-32.5
38,1.0,-31.5
39,3.5,-28.0
40,-2.0,-30.0
41,-6.0,-36.0
42,-11.5,-47.5
43,-4.5,-52.0
44,1.0,-51.0
45,-6.5,-57.5
46,-14.0,-71.5
47,17.5,-54.0
48,-3.0,-57.0
49,-8.0,-65.0
50,0.5,-64.5
51,0.0,-64.5
52,-9.5,-74.0
53,-6.5,-80.5
54,13.5,-67.0
55,1.5,-65.5
56,0.0,-65.5
57,-2.0,-67.5
58,-6.0,-73.5
59,8.0,-65.5
60,-2.0,-67.5
61,11.0,-56.5
62,5.5,-51.0
63,2.5,-48.5
64,-8.5,-57.0
65,-5.5,-62.5
66,-6.0,-68.5
67,-0.5,-69.0
68,25.5,-43.5
69,9.0,-34.5
70,-3.0,-37.5
71,26.5,-11.0
72,0.0,-11.0
73,4.5,-6.5
74,-4.5,-11.0
75,16.5,5.5
76,8.5,14.0
77,-1.0,13.0
78,0.5,13.5
79,-14.0,-0.5
80,-24.0,-24.5
81,-3.0,-27.5
82,0.0,-27.5
83,-13.5,-41.0
84,12.0,-29.0
85,8.0,-21.0
86,1.5,-19.5
87,0.0,-19.5
88,6.5,-13.0
89,-15.5,-28.5
90,-35.5,-64.0
91,5.5,-58.5
92,15.5,-43.0
93,-6.0,-49.0
94,-57.5,-106.5
95,15.0,-91.5
96,-6.5,-98.0
97,-5.5,-103.5
98,0.5,-103.0
99,0.0,-103.0
100,-12.5,-115.5
101,4.5,-111.0
102,1.5,-109.5
103,-3.5,-113.0
104,-6.0,-119.0
105,-13.5,-132.5
106,-9.0,-141.5
107,-7.5,-149.0
108,-7.0,-156.0
109,-3.0,-159.0
110,-2.0,-161.0
111,31.0,-130.0
112,-26.0,-156.0
113,-6.5,-162.5
114,4.5,-158.0
115,1.5,-156.5
116,-2.5,-159.0
117,-1.5,-160.5
118,-4.5,-165.0
119,-6.5,-171.5
120,-14.0,-185.5
121,0.5,-185.0
122,-9.0,-194.0
123,-0.5,-194.5
124,-1.0,-195.5
125,-16.5,-212.0
126,26.5,-185.5
127,-4.0,-189.5
128,1.0,-188.5
129,0.0,-188.5
130,15.5,-173.0
131,-4.5,-177.5
132,-3.0,-180.5
133,2.0,-178.5
134,8.0,-170.5
135,-3.0,-173.5
136,-4.5,-178.0
137,-1.5,-179.5
138,4.5,-175.0
139,-10.5,-185.5
140,-6.0,-191.5
141,-4.5,-196.0
142,0.5,-195.5
143,-3.5,-199.0
144,0.5,-198.5
145,-4.0,-202.5
146,7.0,-195.5
147,-1.5,-197.0
148,-9.0,-206.0
149,-18.0,-224.0
150,-5.5,-229.5
151,10.5,-219.0
152,-8.0,-227.0
153,-4.0,-231.0
154,-4.5,-235.5
155,0.0,-235.5
156,1.0,-234.5
157,-5.0,-239.5
158,-4.5,-244.0
159,1.5,-242.5
160,-12.5,-255.0
161,-4.5,-259.5
162,-9.0,-268.5
163,1.0,-267.5
164,4.5,-263.0
165,-3.5,-266.5
166,-3.5,-270.0
167,-3.5,-273.5
168,-13.5,-287.0
169,1.0,-286.0
170,20.0,-266.0
171,-6.5,-272.5
172,-11.5,-284.0
173,-9.0,-293.0
174,-9.5,-302.5
175,-2.0,-304.5
