trade_index,pnl,cumulative_pnl
0,-22.963702036949144,-22.963702036949144
1,-22.963702036949144,-45.92740407389829
2,18.963702036949144,-26.963702036949144
3,-22.963702036949144,-49.92740407389829
4,18.963702036949144,-30.963702036949144
5,18.963702036949144,-12.0
6,18.963702036949144,6.963702036949144
7,18.963702036949144,25.927404073898288
8,18.963702036949144,44.89110611084743
9,18.963702036949144,63.854808147796575
10,-7.5,56.354808147796575
11,-5.0,51.354808147796575
12,11.0,62.354808147796575
13,18.963702036949144,81.31851018474572
14,12.5,93.81851018474572
15,18.963702036949144,112.78221222169486
16,18.963702036949144,131.745914258644
17,18.963702036949144,150.70961629559315
18,18.963702036949144,169.6733183325423
19,-7.5,162.1733183325423
20,-22.963702036949144,139.20961629559315
21,-22.963702036949144,116.245914258644
22,-22.963702036949144,93.28221222169486
23,18.963702036949144,112.245914258644
24,-22.963702036949144,89.28221222169486
25,18.963702036949144,108.245914258644
26,-22.963702036949144,85.28221222169486
27,-22.963702036949144,62.31851018474572
28,18.963702036949144,81.28221222169486
29,-22.963702036949144,58.31851018474572
30,-19.0,39.31851018474572
31,-13.0,26.31851018474572
32,-22.963702036949144,3.354808147796575
33,-22.963702036949144,-19.60889388915257
34,-22.963702036949144,-42.57259592610171
35,-22.963702036949144,-65.53629796305086
36,-22.963702036949144,-88.5
37,-22.963702036949144,-111.46370203694914
38,-22.963702036949144,-134.4274040738983
39,18.963702036949144,-115.46370203694914
40,-22.963702036949144,-138.4274040738983
41,18.963702036949144,-119.46370203694914
42,18.963702036949144,-100.5
43,18.963702036949144,-81.53629796305086
44,18.963702036949144,-62.57259592610171
45,-2.5,-65.07259592610171
46,18.963702036949144,-46.10889388915257
47,18.963702036949144,-27.145191852203425
48,-22.963702036949144,-50.10889388915257
49,-22.963702036949144,-73.07259592610171
50,-22.963702036949144,-96.03629796305086
51,-22.963702036949144,-119.0
52,-22.963702036949144,-141.96370203694914
53,-22.963702036949144,-164.9274040738983
54,18.963702036949144,-145.96370203694914
55,18.963702036949144,-127.0
56,9.5,-117.5
57,18.963702036949144,-98.53629796305086
58,-22.963702036949144,-121.5
59,-22.963702036949144,-144.46370203694914
60,-22.963702036949144,-167.4274040738983
61,18.963702036949144,-148.46370203694914
62,18.963702036949144,-129.5
63,18.963702036949144,-110.53629796305086
64,-3.0,-113.53629796305086
65,11.0,-102.53629796305086
66,-22.963702036949144,-125.5
67,-22.963702036949144,-148.46370203694914
68,-22.963702036949144,-171.4274040738983
69,18.963702036949144,-152.46370203694914
70,-22.963702036949144,-175.4274040738983
71,-8.0,-183.4274040738983
72,18.963702036949144,-164.46370203694914
73,-4.5,-168.96370203694914
74,5.5,-163.46370203694914
75,14.5,-148.96370203694914
76,2.0,-146.96370203694914
77,18.963702036949144,-128.0
78,1.0,-127.0
79,-12.5,-139.5
80,-22.963702036949144,-162.46370203694914
81,-10.5,-172.96370203694914
82,-22.963702036949144,-195.9274040738983
83,-22.963702036949144,-218.89110611084743
84,-22.963702036949144,-241.85480814779658
85,-22.963702036949144,-264.8185101847457
86,-22.963702036949144,-287.78221222169486
87,-22.963702036949144,-310.745914258644
