trade_index,pnl,cumulative_pnl
0,9.0,9.0
1,-25.5,-16.5
2,-33.5,-50.0
3,-33.5,-83.5
4,-12.0,-95.5
5,-63.5,-159.0
6,41.0,-118.0
7,-21.5,-139.5
8,15.0,-124.5
9,21.0,-103.5
10,22.5,-81.0
11,-35.5,-116.5
12,-24.5,-141.0
13,2.0,-139.0
14,12.0,-127.0
15,6.0,-121.0
16,-2.5,-123.5
17,-13.0,-136.5
18,0.5,-136.0
19,-37.0,-173.0
20,-5.5,-178.5
21,1.0,-177.5
22,32.5,-145.0
23,2.0,-143.0
24,-12.0,-155.0
25,5.5,-149.5
26,-1.0,-150.5
27,-3.5,-154.0
28,4.0,-150.0
29,7.0,-143.0
30,-19.5,-162.5
31,-7.0,-169.5
32,-15.0,-184.5
33,4.5,-180.0
34,-10.5,-190.5
35,-5.0,-195.5
36,15.5,-180.0
37,-7.5,-187.5
38,-2.0,-189.5
39,27.5,-162.0
40,-18.0,-180.0
41,-10.5,-190.5
42,-17.5,-208.0
43,-2.0,-210.0
44,5.0,-205.0
45,-15.5,-220.5
46,3.5,-217.0
47,-0.5,-217.5
48,1.5,-216.0
49,-12.0,-228.0
50,-15.5,-243.5
51,-6.0,-249.5
52,31.0,-218.5
53,7.5,-211.0
54,3.5,-207.5
55,2.0,-205.5
56,-8.0,-213.5
57,-8.5,-222.0
58,3.5,-218.5
59,24.5,-194.0
60,0.0,-194.0
61,14.5,-179.5
62,2.5,-177.0
63,2.5,-174.5
64,-11.0,-185.5
65,-10.0,-195.5
66,0.5,-195.0
67,-0.5,-195.5
68,2.5,-193.0
69,-20.0,-213.0
70,-9.5,-222.5
71,-9.5,-232.0
72,-19.0,-251.0
73,4.5,-246.5
74,-0.5,-247.0
75,-7.0,-254.0
76,-0.5,-254.5
77,-6.5,-261.0
78,-47.0,-308.0
79,19.0,-289.0
80,-8.5,-297.5
81,-2.5,-300.0
82,-23.5,-323.5
83,-4.0,-327.5
84,8.5,-319.0
85,-7.5,-326.5
86,-4.5,-331.0
87,5.5,-325.5
88,-8.5,-334.0
89,-36.0,-370.0
90,15.5,-354.5
91,6.5,-348.0
92,15.5,-332.5
93,2.0,-330.5
94,-3.5,-334.0
95,1.5,-332.5
96,-6.0,-338.5
97,-2.0,-340.5
98,-1.5,-342.0
99,-17.0,-359.0
100,24.5,-334.5
101,-8.5,-343.0
102,3.5,-339.5
103,-2.5,-342.0
104,17.0,-325.0
105,-3.0,-328.0
106,-0.5,-328.5
107,-14.5,-343.0
108,-4.5,-347.5
109,17.5,-330.0
110,-8.5,-338.5
111,-13.0,-351.5
112,-17.5,-369.0
113,-21.0,-390.0
114,-11.5,-401.5
115,4.5,-397.0
116,-3.0,-400.0
117,-9.0,-409.0
118,-2.0,-411.0
119,1.0,-410.0
120,7.5,-402.5
121,23.0,-379.5
122,-11.5,-391.0
123,-8.5,-399.5
124,-0.5,-400.0
125,-5.0,-405.0
126,-9.5,-414.5
127,-4.0,-418.5
128,-7.5,-426.0
129,27.5,-398.5
130,0.5,-398.0
131,11.0,-387.0
132,-6.5,-393.5
133,1.5,-392.0
134,0.0,-392.0
135,1.0,-391.0
136,-1.5,-392.5
137,-3.5,-396.0
138,-2.0,-398.0
139,19.0,-379.0
140,-11.0,-390.0
141,0.5,-389.5
142,4.5,-385.0
143,-15.0,-400.0
144,-3.5,-403.5
145,1.0,-402.5
146,5.0,-397.5
147,-3.5,-401.0
148,-2.0,-403.0
149,-13.5,-416.5
150,-22.0,-438.5
151,-6.0,-444.5
152,0.5,-444.0
153,-1.5,-445.5
154,-15.5,-461.0
155,3.0,-458.0
156,-5.5,-463.5
157,-12.0,-475.5
158,-1.0,-476.5
159,-49.5,-526.0
160,-3.5,-529.5
161,3.0,-526.5
162,-2.0,-528.5
163,-16.0,-544.5
164,-2.5,-547.0
165,0.5,-546.5
166,-4.0,-550.5
167,-0.5,-551.0
168,-8.5,-559.5
169,17.0,-542.5
170,-6.5,-549.0
171,6.0,-543.0
172,-23.0,-566.0
173,-6.5,-572.5
174,-14.5,-587.0
175,0.5,-586.5
176,3.0,-583.5
177,2.0,-581.5
178,2.0,-579.5
179,-17.0,-596.5
180,-8.0,-604.5
181,-26.5,-631.0
182,0.0,-631.0
183,-2.0,-633.0
184,-1.5,-634.5
185,0.0,-634.5
186,5.5,-629.0
187,-7.5,-636.5
188,-3.0,-639.5
189,4.0,-635.5
190,-3.5,-639.0
191,6.5,-632.5
192,-5.5,-638.0
193,0.5,-637.5
194,-6.5,-644.0
195,7.0,-637.0
196,-2.5,-639.5
197,0.5,-639.0
198,-2.0,-641.0
199,-10.0,-651.0
200,3.0,-648.0
201,-1.0,-649.0
202,0.5,-648.5
203,-5.5,-654.0
204,-2.5,-656.5
205,6.0,-650.5
206,2.5,-648.0
207,-4.0,-652.0
208,-3.0,-655.0
209,-3.5,-658.5
210,-21.5,-680.0
211,-5.5,-685.5
212,-11.0,-696.5
213,-1.5,-698.0
214,8.5,-689.5
215,-2.5,-692.0
216,-1.5,-693.5
217,-1.5,-695.0
218,4.5,-690.5
219,4.0,-686.5
220,0.5,-686.0
221,3.0,-683.0
222,-6.5,-689.5
223,-3.0,-692.5
224,-0.5,-693.0
225,0.5,-692.5
226,-3.0,-695.5
227,1.5,-694.0
228,-2.0,-696.0
229,1.5,-694.5
230,2.0,-692.5
231,-3.0,-695.5
232,2.5,-693.0
233,2.0,-691.0
234,-3.0,-694.0
235,4.0,-690.0
236,-7.0,-697.0
237,-2.5,-699.5
238,-4.0,-703.5
239,-4.5,-708.0
240,-5.0,-713.0
241,3.5,-709.5
242,15.5,-694.0
243,10.0,-684.0
244,8.0,-676.0
245,-6.5,-682.5
246,-8.5,-691.0
247,6.5,-684.5
248,-7.0,-691.5
249,13.5,-678.0
250,12.5,-665.5
251,7.0,-658.5
252,-22.5,-681.0
253,-8.5,-689.5
254,-1.0,-690.5
255,-7.0,-697.5
256,6.0,-691.5
257,1.5,-690.0
258,-5.0,-695.0
259,3.0,-692.0
260,1.5,-690.5
261,-8.5,-699.0
262,-0.5,-699.5
263,8.0,-691.5
264,2.0,-689.5
265,-10.5,-700.0
266,2.5,-697.5
267,-3.5,-701.0
268,-3.5,-704.5
269,-3.0,-707.5
270,-7.5,-715.0
271,1.5,-713.5
272,-10.0,-723.5
273,-6.0,-729.5
274,-3.5,-733.0
275,9.0,-724.0
276,-2.0,-726.0
277,0.0,-726.0
278,2.0,-724.0
279,7.0,-717.0
280,-11.5,-728.5
281,13.0,-715.5
282,-13.0,-728.5
283,-5.0,-733.5
284,7.5,-726.0
285,9.0,-717.0
286,1.5,-715.5
287,2.5,-713.0
288,-4.5,-717.5
289,26.5,-691.0
290,-5.0,-696.0
291,-21.5,-717.5
292,-7.0,-724.5
293,-2.5,-727.0
294,0.0,-727.0
295,-9.0,-736.0
296,-1.0,-737.0
297,-5.0,-742.0
298,2.5,-739.5
299,-10.0,-749.5
300,10.0,-739.5
301,-14.0,-753.5
