trade_index,pnl,cumulative_pnl
0,-12.0,-12.0
1,-63.5,-75.5
2,41.0,-34.5
3,-21.5,-56.0
4,15.0,-41.0
5,21.0,-20.0
6,22.5,2.5
7,-35.5,-33.0
8,2.0,-31.0
9,12.0,-19.0
10,6.0,-13.0
11,-5.5,-18.5
12,1.0,-17.5
13,32.5,15.0
14,-6.0,9.0
15,-12.0,-3.0
16,5.5,2.5
17,-1.0,1.5
18,4.5,6.0
19,-10.5,-4.5
20,4.5,0.0
21,-0.5,-0.5
22,-23.5,-24.0
23,-4.0,-28.0
24,8.5,-19.5
25,-7.5,-27.0
26,6.5,-20.5
27,15.5,-5.0
28,-6.0,-11.0
29,-0.5,-11.5
30,-5.5,-17.0
31,4.5,-12.5
32,-3.0,-15.5
33,-3.0,-18.5
34,0.0,-18.5
35,-13.5,-32.0
36,5.5,-26.5
37,-11.0,-37.5
38,-14.0,-51.5
39,3.5,-48.0
40,4.0,-44.0
41,6.0,-38.0
42,4.5,-33.5
43,-11.5,-45.0
44,5.0,-40.0
45,1.5,-38.5
46,3.5,-35.0
47,7.0,-28.0
48,-10.5,-38.5
49,-8.0,-46.5
50,17.0,-29.5
51,-11.5,-41.0
52,6.5,-34.5
53,19.5,-15.0
54,-3.5,-18.5
55,-18.0,-36.5
56,-56.0,-92.5
57,-6.0,-98.5
58,41.5,-57.0
59,-11.0,-68.0
60,19.0,-49.0
61,-3.5,-52.5
62,-10.0,-62.5
63,-10.5,-73.0
64,55.5,-17.5
65,12.0,-5.5
66,-18.5,-24.0
67,-9.5,-33.5
68,4.5,-29.0
69,-5.0,-34.0
70,-15.0,-49.0
71,-3.5,-52.5
72,-11.5,-64.0
73,13.0,-51.0
74,-14.5,-65.5
75,-9.5,-75.0
76,-6.0,-81.0
77,-18.0,-99.0
78,-10.0,-109.0
79,21.5,-87.5
80,-5.0,-92.5
81,-15.5,-108.0
82,8.5,-99.5
83,10.0,-89.5
84,11.0,-78.5
85,-11.5,-90.0
86,14.0,-76.0
87,21.5,-54.5
88,6.5,-48.0
89,-4.5,-52.5
90,-6.5,-59.0
91,-6.5,-65.5
92,9.0,-56.5
93,0.0,-56.5
94,5.5,-51.0
95,-16.0,-67.0
96,-16.0,-83.0
97,-11.5,-94.5
98,7.5,-87.0
99,-13.0,-100.0
100,-7.0,-107.0
101,-19.0,-126.0
102,-9.5,-135.5
103,-10.0,-145.5
104,-4.5,-150.0
105,13.5,-136.5
106,0.5,-136.0
107,-7.0,-143.0
108,-14.0,-157.0
109,6.5,-150.5
110,-4.0,-154.5
111,-11.0,-165.5
112,-21.5,-187.0
113,8.5,-178.5
114,-4.5,-183.0
115,2.5,-180.5
116,13.0,-167.5
117,-0.5,-168.0
118,-18.0,-186.0
119,4.0,-182.0
120,-3.5,-185.5
121,-8.5,-194.0
122,4.5,-189.5
123,-8.0,-197.5
124,3.0,-194.5
125,-5.0,-199.5
126,-3.5,-203.0
127,-11.5,-214.5
128,-16.5,-231.0
129,-19.0,-250.0
130,-14.5,-264.5
131,26.0,-238.5
132,-19.0,-257.5
133,-7.5,-265.0
134,3.0,-262.0
135,22.5,-239.5
136,-4.0,-243.5
137,3.5,-240.0
138,-2.0,-242.0
139,-2.5,-244.5
140,-8.0,-252.5
141,-1.0,-253.5
142,11.0,-242.5
143,-12.5,-255.0
144,2.0,-253.0
145,-22.5,-275.5
146,6.0,-269.5
147,9.0,-260.5
148,-0.5,-261.0
149,0.5,-260.5
150,5.5,-255.0
151,-25.5,-280.5
152,2.5,-278.0
153,-4.0,-282.0
154,-12.0,-294.0
155,-5.0,-299.0
156,-1.5,-300.5
157,3.0,-297.5
158,-8.5,-306.0
159,-14.5,-320.5
160,3.5,-317.0
161,1.0,-316.0
162,-1.5,-317.5
163,8.0,-309.5
164,-0.5,-310.0
165,-3.5,-313.5
166,2.5,-311.0
167,-29.5,-340.5
168,-3.5,-344.0
169,-8.5,-352.5
170,-10.0,-362.5
171,-1.0,-363.5
172,2.0,-361.5
173,-17.5,-379.0
174,3.5,-375.5
175,-6.0,-381.5
