trade_index,pnl,cumulative_pnl
0,-9.0,-9.0
1,11.5,2.5
2,-7.5,-5.0
3,-3.5,-8.5
4,-5.5,-14.0
5,-7.0,-21.0
6,-2.0,-23.0
7,12.0,-11.0
8,-1.5,-12.5
9,-4.5,-17.0
10,0.0,-17.0
11,-3.5,-20.5
12,4.5,-16.0
13,5.0,-11.0
14,0.0,-11.0
15,4.5,-6.5
16,-4.5,-11.0
17,16.5,5.5
18,8.5,14.0
19,-1.0,13.0
20,0.5,13.5
21,-14.0,-0.5
22,-24.0,-24.5
23,-3.0,-27.5
24,-9.5,-37.0
25,-6.5,-43.5
26,-6.5,-50.0
27,9.0,-41.0
28,3.5,-37.5
29,-8.5,-46.0
30,-9.0,-55.0
31,-1.5,-56.5
32,20.5,-36.0
33,9.5,-26.5
34,-2.0,-28.5
35,-4.0,-32.5
36,-11.0,-43.5
37,-6.5,-50.0
38,6.5,-43.5
39,0.0,-43.5
40,0.0,-43.5
41,-4.5,-48.0
42,17.5,-30.5
43,-19.0,-49.5
44,-4.5,-54.0
45,4.5,-49.5
46,-18.0,-67.5
47,4.0,-63.5
48,-17.0,-80.5
49,8.0,-72.5
50,-1.0,-73.5
51,-5.5,-79.0
52,-22.0,-101.0
53,10.5,-90.5
54,-5.5,-96.0
55,-4.5,-100.5
56,-1.0,-101.5
57,-1.0,-102.5
58,10.5,-92.0
59,-4.5,-96.5
60,1.5,-95.0
61,-3.5,-98.5
62,0.0,-98.5
63,-11.5,-110.0
64,12.5,-97.5
65,2.5,-95.0
66,-9.0,-104.0
67,-6.5,-110.5
68,25.5,-85.0
69,5.5,-79.5
70,-0.5,-80.0
71,6.5,-73.5
72,1.5,-72.0
73,-5.0,-77.0
74,1.0,-76.0
75,0.0,-76.0
76,-4.0,-80.0
77,-3.0,-83.0
78,-12.0,-95.0
79,-15.0,-110.0
80,2.0,-108.0
81,-5.0,-113.0
82,1.0,-112.0
83,-5.0,-117.0
84,-3.0,-120.0
85,-3.0,-123.0
86,-1.0,-124.0
87,0.5,-123.5
