trade_index,pnl,cumulative_pnl
0,-33.5,-33.5
1,-33.5,-67.0
2,-12.0,-79.0
3,-63.5,-142.5
4,41.0,-101.5
5,-21.5,-123.0
6,15.0,-108.0
7,21.0,-87.0
8,22.5,-64.5
9,-35.5,-100.0
10,-24.5,-124.5
11,2.0,-122.5
12,12.0,-110.5
13,6.0,-104.5
14,-2.5,-107.0
15,-13.0,-120.0
16,0.5,-119.5
17,-37.0,-156.5
18,-5.5,-162.0
19,1.0,-161.0
20,32.5,-128.5
21,-6.0,-134.5
22,-12.0,-146.5
23,5.5,-141.0
24,-1.0,-142.0
25,-3.5,-145.5
26,4.0,-141.5
27,-7.0,-148.5
28,-15.0,-163.5
29,4.5,-159.0
30,-10.5,-169.5
31,-5.0,-174.5
32,15.5,-159.0
33,-7.5,-166.5
34,-2.0,-168.5
35,14.0,-154.5
36,6.5,-148.0
37,13.5,-134.5
38,-2.0,-136.5
39,-9.0,-145.5
40,11.5,-134.0
41,-7.5,-141.5
42,-3.5,-145.0
43,2.0,-143.0
44,-35.0,-178.0
45,7.5,-170.5
46,3.5,-167.0
47,-6.0,-173.0
48,-8.0,-181.0
49,-8.5,-189.5
50,3.5,-186.0
51,2.5,-183.5
52,-6.5,-190.0
53,-11.0,-201.0
54,-10.0,-211.0
55,0.5,-210.5
56,-9.5,-220.0
57,-19.0,-239.0
58,4.5,-234.5
59,-0.5,-235.0
60,-7.0,-242.0
61,-0.5,-242.5
62,-6.5,-249.0
63,-47.0,-296.0
64,-8.5,-304.5
65,-2.5,-307.0
66,-23.5,-330.5
67,-4.0,-334.5
68,8.5,-326.0
69,-7.5,-333.5
70,-4.5,-338.0
71,5.5,-332.5
72,-8.5,-341.0
73,15.5,-325.5
74,6.5,-319.0
75,15.5,-303.5
76,-6.0,-309.5
77,-0.5,-310.0
78,-5.5,-315.5
79,-6.0,-321.5
80,-2.0,-323.5
81,-1.5,-325.0
82,4.5,-320.5
83,-7.5,-328.0
84,-1.5,-329.5
85,-21.0,-350.5
86,-3.0,-353.5
87,-0.5,-354.0
88,-17.5,-371.5
89,-21.0,-392.5
90,-11.5,-404.0
91,4.5,-399.5
92,-3.0,-402.5
93,-9.0,-411.5
94,-2.0,-413.5
95,1.0,-412.5
96,7.5,-405.0
97,23.0,-382.0
98,7.5,-374.5
99,4.5,-370.0
100,-3.5,-373.5
101,1.0,-372.5
102,-15.0,-387.5
103,-3.5,-391.0
104,1.0,-390.0
105,-4.5,-394.5
106,-2.5,-397.0
107,11.5,-385.5
108,-7.0,-392.5
109,1.5,-391.0
110,12.0,-379.0
111,-1.5,-380.5
112,19.0,-361.5
113,2.5,-359.0
114,10.5,-348.5
115,-4.5,-353.0
116,-7.0,-360.0
117,-4.0,-364.0
118,-2.0,-366.0
119,-2.5,-368.5
120,-4.0,-372.5
121,-5.5,-378.0
122,0.5,-377.5
123,-6.5,-384.0
124,7.0,-377.0
125,7.0,-370.0
126,-2.5,-372.5
127,-12.5,-385.0
128,-1.5,-386.5
129,2.5,-384.0
130,-1.0,-385.0
131,-3.5,-388.5
132,-6.0,-394.5
133,-3.0,-397.5
134,4.0,-393.5
135,-19.5,-413.0
136,10.0,-403.0
137,-12.0,-415.0
138,-6.5,-421.5
139,-8.5,-430.0
140,6.5,-423.5
141,4.5,-419.0
142,-3.0,-422.0
143,3.0,-419.0
144,9.0,-410.0
145,1.0,-409.0
146,-11.5,-420.5
147,-13.0,-433.5
148,1.5,-432.0
149,2.5,-429.5
150,3.0,-426.5
151,-1.5,-428.0
152,-4.0,-432.0
153,5.0,-427.0
154,-3.0,-430.0
155,1.0,-429.0
156,-4.5,-433.5
157,2.5,-431.0
158,8.0,-423.0
159,-3.0,-426.0
160,-14.0,-440.0
161,1.5,-438.5
162,1.0,-437.5
163,0.0,-437.5
164,-2.0,-439.5
165,-14.0,-453.5
166,2.5,-451.0
167,3.0,-448.0
168,0.0,-448.0
169,4.5,-443.5
170,-4.5,-448.0
171,16.5,-431.5
172,8.5,-423.0
173,0.5,-422.5
174,-14.0,-436.5
175,-24.0,-460.5
176,-3.0,-463.5
177,0.0,-463.5
178,-13.5,-477.0
179,12.0,-465.0
180,8.0,-457.0
181,1.5,-455.5
182,0.0,-455.5
183,6.5,-449.0
184,-15.5,-464.5
185,-35.5,-500.0
186,14.0,-486.0
187,5.5,-480.5
188,15.5,-465.0
189,-6.0,-471.0
190,3.0,-468.0
191,-6.5,-474.5
192,-57.5,-532.0
193,-21.0,-553.0
194,15.0,-538.0
195,-18.0,-556.0
196,-11.0,-567.0
197,-14.0,-581.0
198,3.5,-577.5
199,4.0,-573.5
200,-17.5,-591.0
201,2.0,-589.0
202,14.0,-575.0
203,-16.0,-591.0
204,-3.0,-594.0
205,-6.0,-600.0
206,1.0,-599.0
207,-0.5,-599.5
208,-4.5,-604.0
209,1.0,-603.0
210,12.5,-590.5
211,-12.0,-602.5
212,-10.0,-612.5
213,-10.5,-623.0
214,-8.5,-631.5
215,6.0,-625.5
216,0.0,-625.5
217,19.0,-606.5
218,-2.0,-608.5
219,-29.0,-637.5
220,-6.0,-643.5
221,0.5,-643.0
222,-9.0,-652.0
223,-4.5,-656.5
224,5.5,-651.0
225,6.0,-645.0
226,-2.0,-647.0
227,1.0,-646.0
228,-30.5,-676.5
229,10.0,-666.5
230,4.5,-662.0
231,3.5,-658.5
232,-6.0,-664.5
233,-20.0,-684.5
234,-3.5,-688.0
235,20.0,-668.0
236,-2.5,-670.5
237,-1.5,-672.0
238,5.5,-666.5
239,7.0,-659.5
240,-10.5,-670.0
241,-2.5,-672.5
242,0.5,-672.0
243,10.0,-662.0
244,-17.0,-679.0
245,-1.0,-680.0
246,-3.0,-683.0
247,2.0,-681.0
248,-6.5,-687.5
249,-10.5,-698.0
250,4.0,-694.0
251,-6.5,-700.5
252,-0.5,-701.0
253,4.0,-697.0
254,-6.0,-703.0
255,9.5,-693.5
256,-4.5,-698.0
257,-8.5,-706.5
258,-3.5,-710.0
259,0.5,-709.5
260,-27.0,-736.5
261,-2.5,-739.0
262,-11.5,-750.5
263,5.0,-745.5
264,-14.5,-760.0
265,-2.5,-762.5
266,-0.5,-763.0
267,-8.5,-771.5
268,-22.0,-793.5
