trade_index,pnl,cumulative_pnl
0,539.7533632286941,539.7533632286941
1,539.7533632286941,1079.5067264573881
2,-15.0,1064.5067264573881
3,95.0,1159.5067264573881
4,-619.7533632286941,539.7533632286941
5,-619.7533632286941,-80.0
6,-619.7533632286941,-699.7533632286941
7,-619.7533632286941,-1319.5067264573881
8,-619.7533632286941,-1939.2600896860822
9,-619.7533632286941,-2559.0134529147763
10,-619.7533632286941,-3178.7668161434704
11,539.7533632286941,-2639.0134529147763
12,-619.7533632286941,-3258.7668161434704
13,539.7533632286941,-2719.0134529147763
14,539.7533632286941,-2179.260089686082
15,-619.7533632286941,-2799.0134529147763
16,-619.7533632286941,-3418.7668161434704
17,539.7533632286941,-2879.0134529147763
18,539.7533632286941,-2339.260089686082
19,539.7533632286941,-1799.5067264573881
20,-619.7533632286941,-2419.260089686082
21,-619.7533632286941,-3039.0134529147763
22,-619.7533632286941,-3658.7668161434704
23,-619.7533632286941,-4278.520179372164
24,-619.7533632286941,-4898.2735426008585
25,539.7533632286941,-4358.520179372164
26,-619.7533632286941,-4978.2735426008585
27,-619.7533632286941,-5598.026905829553
28,539.7533632286941,-5058.2735426008585
29,539.7533632286941,-4518.520179372164
30,539.7533632286941,-3978.7668161434704
31,539.7533632286941,-3439.0134529147763
32,-619.7533632286941,-4058.7668161434704
33,-619.7533632286941,-4678.520179372164
34,539.7533632286941,-4138.76681614347
35,-619.7533632286941,-4758.520179372164
36,-75.0,-4833.520179372164
37,-225.0,-5058.520179372164
38,-240.0,-5298.520179372164
39,539.7533632286941,-4758.76681614347
40,-619.7533632286941,-5378.520179372164
41,539.7533632286941,-4838.76681614347
42,-619.7533632286941,-5458.520179372164
43,539.7533632286941,-4918.76681614347
44,-619.7533632286941,-5538.520179372164
45,-619.7533632286941,-6158.2735426008585
46,-619.7533632286941,-6778.026905829553
47,-619.7533632286941,-7397.780269058247
48,-245.0,-7642.780269058247
49,370.0,-7272.780269058247
50,340.0,-6932.780269058247
51,539.7533632286941,-6393.026905829553
52,539.7533632286941,-5853.2735426008585
53,539.7533632286941,-5313.520179372164
54,539.7533632286941,-4773.76681614347
55,539.7533632286941,-4234.013452914776
56,-619.7533632286941,-4853.76681614347
57,-619.7533632286941,-5473.520179372164
58,539.7533632286941,-4933.76681614347
59,539.7533632286941,-4394.013452914776
60,135.0,-4259.013452914776
61,539.7533632286941,-3719.260089686082
62,539.7533632286941,-3179.506726457388
63,-619.7533632286941,-3799.260089686082
64,-619.7533632286941,-4419.013452914776
65,539.7533632286941,-3879.260089686082
66,-619.7533632286941,-4499.013452914776
67,-619.7533632286941,-5118.76681614347
68,-619.7533632286941,-5738.520179372164
69,-619.7533632286941,-6358.2735426008585
70,125.0,-6233.2735426008585
71,539.7533632286941,-5693.520179372164
72,-619.7533632286941,-6313.2735426008585
73,539.7533632286941,-5773.520179372164
74,539.7533632286941,-5233.76681614347
75,539.7533632286941,-4694.013452914776
76,-619.7533632286941,-5313.76681614347
77,-619.7533632286941,-5933.520179372164
78,539.7533632286941,-5393.76681614347
79,-619.7533632286941,-6013.520179372164
80,-619.7533632286941,-6633.2735426008585
81,-619.7533632286941,-7253.026905829553
82,-619.7533632286941,-7872.780269058247
83,-619.7533632286941,-8492.53363228694
84,539.7533632286941,-7952.780269058247
85,-619.7533632286941,-8572.53363228694
86,539.7533632286941,-8032.780269058247
87,-619.7533632286941,-8652.53363228694
88,-150.0,-8802.53363228694
89,115.0,-8687.53363228694
90,-125.0,-8812.53363228694
91,-619.7533632286941,-9432.286995515635
92,539.7533632286941,-8892.53363228694
93,-619.7533632286941,-9512.286995515635
94,539.7533632286941,-8972.53363228694
95,539.7533632286941,-8432.780269058247
96,539.7533632286941,-7893.026905829553
97,-619.7533632286941,-8512.780269058247
98,539.7533632286941,-7973.026905829553
99,-619.7533632286941,-8592.780269058247
100,-619.7533632286941,-9212.53363228694
101,-619.7533632286941,-9832.286995515635
102,539.7533632286941,-9292.53363228694
103,-619.7533632286941,-9912.286995515635
104,539.7533632286941,-9372.53363228694
105,539.7533632286941,-8832.780269058247
106,539.7533632286941,-8293.026905829553
107,-619.7533632286941,-8912.780269058247
108,-420.0,-9332.780269058247
109,-619.7533632286941,-9952.53363228694
110,-325.0,-10277.53363228694
111,539.7533632286941,-9737.780269058247
112,539.7533632286941,-9198.026905829553
113,539.7533632286941,-8658.273542600858
114,-619.7533632286941,-9278.026905829553
115,-619.7533632286941,-9897.780269058247
116,-619.7533632286941,-10517.53363228694
117,539.7533632286941,-9977.780269058247
118,255.0,-9722.780269058247
119,-180.0,-9902.780269058247
120,-135.0,-10037.780269058247
121,539.7533632286941,-9498.026905829553
122,539.7533632286941,-8958.273542600858
123,539.7533632286941,-8418.520179372164
124,539.7533632286941,-7878.76681614347
125,539.7533632286941,-7339.013452914776
126,539.7533632286941,-6799.260089686082
127,539.7533632286941,-6259.506726457388
128,-35.0,-6294.506726457388
129,45.0,-6249.506726457388
130,-55.0,-6304.506726457388
131,-619.7533632286941,-6924.260089686082
