trade_index,pnl,cumulative_pnl
0,95.0,95.0
1,-620.1573364761425,-525.1573364761425
2,-620.1573364761425,-1145.314672952285
3,540.1573364761425,-605.1573364761425
4,-620.1573364761425,-1225.314672952285
5,540.1573364761425,-685.1573364761425
6,540.1573364761425,-145.0
7,-620.1573364761425,-765.1573364761425
8,540.1573364761425,-225.0
9,-620.1573364761425,-845.1573364761425
10,-620.1573364761425,-1465.314672952285
11,-620.1573364761425,-2085.4720094284276
12,-620.1573364761425,-2705.62934590457
13,540.1573364761425,-2165.4720094284276
14,540.1573364761425,-1625.314672952285
15,340.0,-1285.314672952285
16,540.1573364761425,-745.1573364761425
17,540.1573364761425,-205.0
18,540.1573364761425,335.1573364761425
19,-620.1573364761425,-285.0
20,-215.0,-500.0
21,540.1573364761425,40.15733647614252
22,540.1573364761425,580.314672952285
23,-620.1573364761425,-39.84266352385748
24,-620.1573364761425,-660.0
25,-620.1573364761425,-1280.1573364761425
26,-620.1573364761425,-1900.314672952285
27,540.1573364761425,-1360.1573364761425
28,-620.1573364761425,-1980.314672952285
29,-620.1573364761425,-2600.4720094284276
30,540.1573364761425,-2060.314672952285
31,-620.1573364761425,-2680.4720094284276
32,540.1573364761425,-2140.314672952285
33,540.1573364761425,-1600.1573364761425
34,540.1573364761425,-1060.0
35,-620.1573364761425,-1680.1573364761425
36,540.1573364761425,-1140.0
37,540.1573364761425,-599.8426635238575
38,540.1573364761425,-59.685327047714964
39,540.1573364761425,480.47200942842755
40,-620.1573364761425,-139.68532704771496
41,340.0,200.31467295228504
42,245.0,445.31467295228504
43,540.1573364761425,985.4720094284276
44,540.1573364761425,1525.62934590457
45,540.1573364761425,2065.7866823807126
46,-620.1573364761425,1445.62934590457
47,-335.0,1110.62934590457
48,540.1573364761425,1650.7866823807126
49,540.1573364761425,2190.944018856855
50,-620.1573364761425,1570.7866823807126
51,-45.0,1525.7866823807126
52,-25.0,1500.7866823807126
53,-620.1573364761425,880.6293459045701
54,-345.0,535.6293459045701
55,-620.1573364761425,-84.52799057157245
56,265.0,180.47200942842755
57,540.1573364761425,720.6293459045701
58,-125.0,595.6293459045701
59,-620.1573364761425,-24.527990571572445
60,-165.0,-189.52799057157245
61,540.1573364761425,350.6293459045701
62,-620.1573364761425,-269.52799057157245
63,540.1573364761425,270.6293459045701
64,80.0,350.6293459045701
65,540.1573364761425,890.7866823807126
66,-620.1573364761425,270.6293459045701
67,-620.1573364761425,-349.52799057157245
68,285.0,-64.52799057157245
69,-100.0,-164.52799057157245
70,-620.1573364761425,-784.685327047715
71,-620.1573364761425,-1404.8426635238575
72,540.1573364761425,-864.685327047715
73,-95.0,-959.685327047715
74,-315.0,-1274.685327047715
75,540.1573364761425,-734.5279905715724
76,540.1573364761425,-194.37065409542993
77,-620.1573364761425,-814.5279905715724
78,-620.1573364761425,-1434.685327047715
79,-620.1573364761425,-2054.8426635238575
80,80.0,-1974.8426635238575
81,-620.1573364761425,-2595.0
82,-620.1573364761425,-3215.1573364761425
83,-195.0,-3410.1573364761425
84,145.0,-3265.1573364761425
85,540.1573364761425,-2725.0
86,540.1573364761425,-2184.8426635238575
87,-620.1573364761425,-2805.0
88,540.1573364761425,-2264.8426635238575
89,540.1573364761425,-1724.685327047715
90,-620.1573364761425,-2344.8426635238575
91,540.1573364761425,-1804.685327047715
92,-410.0,-2214.685327047715
93,-345.0,-2559.685327047715
94,110.0,-2449.685327047715
95,-120.0,-2569.685327047715
96,540.1573364761425,-2029.5279905715724
97,540.1573364761425,-1489.37065409543
98,540.1573364761425,-949.2133176192874
99,540.1573364761425,-409.0559811431449
100,540.1573364761425,131.10135533299763
101,540.1573364761425,671.2586918091401
102,540.1573364761425,1211.4160282852827
103,540.1573364761425,1751.5733647614252
104,-620.1573364761425,1131.4160282852827
105,540.1573364761425,1671.5733647614252
106,540.1573364761425,2211.7307012375677
107,-620.1573364761425,1591.5733647614252
108,540.1573364761425,2131.7307012375677
109,540.1573364761425,2671.88803771371
110,540.1573364761425,3212.0453741898527
111,540.1573364761425,3752.2027106659953
112,-620.1573364761425,3132.0453741898527
113,540.1573364761425,3672.2027106659953
114,540.1573364761425,4212.360047142138
115,-620.1573364761425,3592.2027106659953
116,540.1573364761425,4132.360047142138
117,-620.1573364761425,3512.2027106659953
118,540.1573364761425,4052.360047142138
119,540.1573364761425,4592.51738361828
120,540.1573364761425,5132.674720094423
121,540.1573364761425,5672.832056570565
122,-620.1573364761425,5052.674720094423
123,540.1573364761425,5592.832056570565
124,540.1573364761425,6132.989393046708
125,-620.1573364761425,5512.832056570565
126,540.1573364761425,6052.989393046708
127,540.1573364761425,6593.14672952285
128,-620.1573364761425,5972.989393046708
129,540.1573364761425,6513.14672952285
130,-620.1573364761425,5892.989393046708
131,-620.1573364761425,5272.832056570565
132,540.1573364761425,5812.989393046708
133,540.1573364761425,6353.14672952285
134,540.1573364761425,6893.304065998993
135,-620.1573364761425,6273.14672952285
136,540.1573364761425,6813.304065998993
137,540.1573364761425,7353.461402475135
138,540.1573364761425,7893.618738951278
139,-620.1573364761425,7273.461402475135
140,540.1573364761425,7813.618738951278
141,-620.1573364761425,7193.461402475135
142,-620.1573364761425,6573.304065998993
143,-620.1573364761425,5953.14672952285
144,540.1573364761425,6493.304065998993
145,540.1573364761425,7033.461402475135
146,540.1573364761425,7573.618738951278
147,-620.1573364761425,6953.461402475135
148,540.1573364761425,7493.618738951278
149,-620.1573364761425,6873.461402475135
150,540.1573364761425,7413.618738951278
151,-620.1573364761425,6793.461402475135
152,-620.1573364761425,6173.304065998993
153,540.1573364761425,6713.461402475135
154,540.1573364761425,7253.618738951278
155,-620.1573364761425,6633.461402475135
156,-620.1573364761425,6013.304065998993
157,-620.1573364761425,5393.14672952285
158,-620.1573364761425,4772.989393046708
159,-620.1573364761425,4152.832056570565
160,540.1573364761425,4692.989393046708
161,540.1573364761425,5233.14672952285
