trade_index,pnl,cumulative_pnl
0,355.0,355.0
1,205.0,560.0
2,125.0,685.0
3,-60.0,625.0
4,-195.0,430.0
5,-5.0,425.0
6,235.0,660.0
7,-1860.0,-1200.0
8,-1430.0,-2630.0
9,-1400.0,-4030.0
10,-2590.0,-6620.0
11,720.0,-5900.0
12,-995.0,-6895.0
13,175.0,-6720.0
14,1055.0,-5665.0
15,45.0,-5620.0
16,-920.0,-6540.0
17,-235.0,-6775.0
18,460.0,-6315.0
19,535.0,-5780.0
20,-195.0,-5975.0
21,-120.0,-6095.0
22,-745.0,-6840.0
23,255.0,-6585.0
24,-1505.0,-8090.0
25,705.0,-7385.0
26,-630.0,-8015.0
27,-1020.0,-9035.0
28,-340.0,-9375.0
29,255.0,-9120.0
30,195.0,-8925.0
31,650.0,-8275.0
32,-750.0,-9025.0
33,180.0,-8845.0
34,640.0,-8205.0
35,-100.0,-8305.0
36,-175.0,-8480.0
37,-190.0,-8670.0
38,-120.0,-8790.0
39,90.0,-8700.0
40,-125.0,-8825.0
41,-205.0,-9030.0
42,-545.0,-9575.0
43,-50.0,-9625.0
44,-700.0,-10325.0
45,50.0,-10275.0
46,-765.0,-11040.0
47,-360.0,-11400.0
48,-215.0,-11615.0
49,145.0,-11470.0
50,-270.0,-11740.0
51,-25.0,-11765.0
52,400.0,-11365.0
53,-195.0,-11560.0
54,335.0,-11225.0
55,1645.0,-9580.0
56,-485.0,-10065.0
57,-1410.0,-11475.0
58,380.0,-11095.0
59,685.0,-10410.0
60,-210.0,-10620.0
61,160.0,-10460.0
62,-10.0,-10470.0
63,-155.0,-10625.0
64,-1920.0,-12545.0
65,635.0,-11910.0
66,-215.0,-12125.0
67,-235.0,-12360.0
68,-510.0,-12870.0
69,-525.0,-13395.0
70,-120.0,-13515.0
71,55.0,-13460.0
72,35.0,-13425.0
73,-115.0,-13540.0
74,2160.0,-11380.0
75,115.0,-11265.0
76,-540.0,-11805.0
77,-595.0,-12400.0
78,240.0,-12160.0
79,-45.0,-12205.0
80,110.0,-12095.0
81,-540.0,-12635.0
82,-650.0,-13285.0
83,-1425.0,-14710.0
84,3540.0,-11170.0
85,-1375.0,-12545.0
86,1000.0,-11545.0
87,-660.0,-12205.0
88,-115.0,-12320.0
89,60.0,-12260.0
90,10.0,-12250.0
91,-155.0,-12405.0
92,80.0,-12325.0
93,-180.0,-12505.0
94,-110.0,-12615.0
95,205.0,-12410.0
96,240.0,-12170.0
97,-795.0,-12965.0
98,-40.0,-13005.0
99,-115.0,-13120.0
100,-25.0,-13145.0
101,-605.0,-13750.0
102,245.0,-13505.0
103,-145.0,-13650.0
104,-130.0,-13780.0
105,780.0,-13000.0
106,430.0,-12570.0
107,-380.0,-12950.0
108,25.0,-12925.0
109,-395.0,-13320.0
110,-175.0,-13495.0
111,5.0,-13490.0
112,-385.0,-13875.0
113,110.0,-13765.0
114,70.0,-13695.0
115,-535.0,-14230.0
116,-525.0,-14755.0
117,320.0,-14435.0
118,305.0,-14130.0
119,-115.0,-14245.0
120,-35.0,-14280.0
121,-20.0,-14300.0
122,-130.0,-14430.0
123,-70.0,-14500.0
124,685.0,-13815.0
125,580.0,-13235.0
126,415.0,-12820.0
127,240.0,-12580.0
128,80.0,-12500.0
129,130.0,-12370.0
130,-265.0,-12635.0
131,-100.0,-12735.0
132,160.0,-12575.0
133,30.0,-12545.0
134,-990.0,-13535.0
135,-295.0,-13830.0
136,540.0,-13290.0
137,325.0,-12965.0
138,-325.0,-13290.0
139,435.0,-12855.0
140,-55.0,-12910.0
141,90.0,-12820.0
142,380.0,-12440.0
143,145.0,-12295.0
144,-490.0,-12785.0
145,350.0,-12435.0
146,-30.0,-12465.0
147,-295.0,-12760.0
148,-145.0,-12905.0
149,5.0,-12900.0
150,-410.0,-13310.0
151,315.0,-12995.0
152,-30.0,-13025.0
153,50.0,-12975.0
154,1340.0,-11635.0
155,-495.0,-12130.0
156,-215.0,-12345.0
157,455.0,-11890.0
158,60.0,-11830.0
159,180.0,-11650.0
160,-250.0,-11900.0
161,-25.0,-11925.0
162,-295.0,-12220.0
163,-375.0,-12595.0
164,955.0,-11640.0
165,-1350.0,-12990.0
166,5.0,-12985.0
167,-440.0,-13425.0
168,-250.0,-13675.0
169,-250.0,-13925.0
170,-50.0,-13975.0
171,270.0,-13705.0
172,-215.0,-13920.0
173,-145.0,-14065.0
174,435.0,-13630.0
175,80.0,-13550.0
176,-430.0,-13980.0
177,1030.0,-12950.0
178,125.0,-12825.0
179,255.0,-12570.0
180,25.0,-12545.0
181,-220.0,-12765.0
182,40.0,-12725.0
183,-20.0,-12745.0
184,1015.0,-11730.0
185,555.0,-11175.0
186,-15.0,-11190.0
187,35.0,-11155.0
188,-25.0,-11180.0
189,-85.0,-11265.0
190,25.0,-11240.0
191,-400.0,-11640.0
192,90.0,-11550.0
193,185.0,-11365.0
194,-640.0,-12005.0
195,-620.0,-12625.0
196,-595.0,-13220.0
197,25.0,-13195.0
198,-65.0,-13260.0
199,-140.0,-13400.0
200,95.0,-13305.0
201,-115.0,-13420.0
202,-215.0,-13635.0
203,-150.0,-13785.0
204,205.0,-13580.0
205,-20.0,-13600.0
206,50.0,-13550.0
207,235.0,-13315.0
208,40.0,-13275.0
209,-200.0,-13475.0
210,-70.0,-13545.0
211,125.0,-13420.0
212,105.0,-13315.0
213,-45.0,-13360.0
214,-5.0,-13365.0
215,860.0,-12505.0
216,195.0,-12310.0
217,-210.0,-12520.0
218,315.0,-12205.0
219,-160.0,-12365.0
220,-160.0,-12525.0
221,-355.0,-12880.0
222,-330.0,-13210.0
223,-255.0,-13465.0
224,-330.0,-13795.0
225,-255.0,-14050.0
226,-560.0,-14610.0
