trade_index,pnl,cumulative_pnl
0,-920.0,-920.0
1,-235.0,-1155.0
2,460.0,-695.0
3,535.0,-160.0
4,-195.0,-355.0
5,-120.0,-475.0
6,-745.0,-1220.0
7,255.0,-965.0
8,-1505.0,-2470.0
9,-630.0,-3100.0
10,-340.0,-3440.0
11,255.0,-3185.0
12,195.0,-2990.0
13,650.0,-2340.0
14,-750.0,-3090.0
15,640.0,-2450.0
16,-190.0,-2640.0
17,90.0,-2550.0
18,-205.0,-2755.0
19,-765.0,-3520.0
20,-360.0,-3880.0
21,-215.0,-4095.0
22,-270.0,-4365.0
23,400.0,-3965.0
24,-195.0,-4160.0
25,1645.0,-2515.0
26,-485.0,-3000.0
27,-210.0,-3210.0
28,-10.0,-3220.0
29,635.0,-2585.0
30,-215.0,-2800.0
31,-235.0,-3035.0
32,-525.0,-3560.0
33,-120.0,-3680.0
34,55.0,-3625.0
35,-540.0,-4165.0
36,-650.0,-4815.0
37,80.0,-4735.0
38,245.0,-4490.0
39,-130.0,-4620.0
40,305.0,-4315.0
41,-35.0,-4350.0
42,170.0,-4180.0
43,1255.0,-2925.0
44,-1200.0,-4125.0
45,-255.0,-4380.0
46,-755.0,-5135.0
47,3330.0,-1805.0
48,-310.0,-2115.0
49,-1590.0,-3705.0
50,455.0,-3250.0
51,465.0,-2785.0
52,-515.0,-3300.0
53,325.0,-2975.0
54,505.0,-2470.0
55,-1040.0,-3510.0
56,905.0,-2605.0
57,960.0,-1645.0
58,-235.0,-1880.0
59,-945.0,-2825.0
60,-310.0,-3135.0
61,-125.0,-3260.0
62,145.0,-3115.0
63,-550.0,-3665.0
64,-805.0,-4470.0
65,-320.0,-4790.0
66,-550.0,-5340.0
67,-1220.0,-6560.0
68,245.0,-6315.0
69,315.0,-6000.0
70,-730.0,-6730.0
71,130.0,-6600.0
72,180.0,-6420.0
73,-5.0,-6425.0
74,1025.0,-5400.0
75,-175.0,-5575.0
76,190.0,-5385.0
77,-670.0,-6055.0
78,-865.0,-6920.0
79,1675.0,-5245.0
80,170.0,-5075.0
81,-340.0,-5415.0
82,1045.0,-4370.0
83,-1140.0,-5510.0
84,2580.0,-2930.0
85,120.0,-2810.0
86,235.0,-2575.0
87,-735.0,-3310.0
88,680.0,-2630.0
89,535.0,-2095.0
90,-285.0,-2380.0
91,180.0,-2200.0
92,-145.0,-2345.0
93,-105.0,-2450.0
94,-75.0,-2525.0
95,-255.0,-2780.0
96,200.0,-2580.0
97,2375.0,-205.0
98,745.0,540.0
99,-380.0,160.0
100,550.0,710.0
101,-250.0,460.0
102,2135.0,2595.0
103,380.0,2975.0
104,2065.0,5040.0
105,390.0,5430.0
106,-1785.0,3645.0
107,-185.0,3460.0
108,20.0,3480.0
109,-710.0,2770.0
110,-810.0,1960.0
111,230.0,2190.0
112,135.0,2325.0
113,-235.0,2090.0
114,-935.0,1155.0
115,1360.0,2515.0
116,220.0,2735.0
117,205.0,2940.0
118,140.0,3080.0
119,1490.0,4570.0
120,-820.0,3750.0
121,-360.0,3390.0
122,-150.0,3240.0
123,2430.0,5670.0
124,-175.0,5495.0
125,55.0,5550.0
126,30.0,5580.0
127,155.0,5735.0
128,-1310.0,4425.0
129,195.0,4620.0
130,280.0,4900.0
131,625.0,5525.0
132,-110.0,5415.0
133,110.0,5525.0
134,-1005.0,4520.0
135,210.0,4730.0
136,-495.0,4235.0
137,15.0,4250.0
138,270.0,4520.0
139,-3040.0,1480.0
140,585.0,2065.0
141,-255.0,1810.0
142,-255.0,1555.0
143,-195.0,1360.0
144,-825.0,535.0
145,440.0,975.0
146,1200.0,2175.0
147,200.0,2375.0
148,-245.0,2130.0
149,-240.0,1890.0
150,1080.0,2970.0
151,225.0,3195.0
152,-75.0,3120.0
153,-300.0,2820.0
154,125.0,2945.0
155,15.0,2960.0
156,-390.0,2570.0
157,160.0,2730.0
158,135.0,2865.0
159,-55.0,2810.0
160,475.0,3285.0
161,-95.0,3190.0
162,150.0,3340.0
163,-230.0,3110.0
164,1135.0,4245.0
165,105.0,4350.0
166,-455.0,3895.0
167,-270.0,3625.0
168,-535.0,3090.0
169,-265.0,2825.0
170,-645.0,2180.0
171,0.0,2180.0
172,-75.0,2105.0
173,85.0,2190.0
174,-230.0,1960.0
175,-200.0,1760.0
