trade_index,pnl,cumulative_pnl
0,-250.0,-250.0
1,-220.0,-470.0
2,355.0,-115.0
3,205.0,90.0
4,125.0,215.0
5,-60.0,155.0
6,-195.0,-40.0
7,-5.0,-45.0
8,235.0,190.0
9,1780.0,1970.0
10,-1430.0,540.0
11,-1400.0,-860.0
12,-2590.0,-3450.0
13,720.0,-2730.0
14,-995.0,-3725.0
15,175.0,-3550.0
16,1055.0,-2495.0
17,45.0,-2450.0
18,-920.0,-3370.0
19,-235.0,-3605.0
20,460.0,-3145.0
21,535.0,-2610.0
22,-195.0,-2805.0
23,-120.0,-2925.0
24,-745.0,-3670.0
25,255.0,-3415.0
26,-1505.0,-4920.0
27,-785.0,-5705.0
28,550.0,-5155.0
29,940.0,-4215.0
30,-340.0,-4555.0
31,-335.0,-4890.0
32,-275.0,-5165.0
33,650.0,-4515.0
34,-750.0,-5265.0
35,-260.0,-5525.0
36,640.0,-4885.0
37,-100.0,-4985.0
38,-175.0,-5160.0
39,-190.0,-5350.0
40,40.0,-5310.0
41,90.0,-5220.0
42,45.0,-5175.0
43,125.0,-5050.0
44,465.0,-4585.0
45,-30.0,-4615.0
46,-700.0,-5315.0
47,-130.0,-5445.0
48,685.0,-4760.0
49,280.0,-4480.0
50,135.0,-4345.0
51,-225.0,-4570.0
52,190.0,-4380.0
53,-55.0,-4435.0
54,400.0,-4035.0
55,115.0,-3920.0
56,335.0,-3585.0
57,1645.0,-1940.0
58,-485.0,-2425.0
59,-1410.0,-3835.0
60,380.0,-3455.0
61,685.0,-2770.0
62,-210.0,-2980.0
63,160.0,-2820.0
64,-10.0,-2830.0
65,75.0,-2755.0
66,1840.0,-915.0
67,-715.0,-1630.0
68,135.0,-1495.0
69,155.0,-1340.0
70,430.0,-910.0
71,-525.0,-1435.0
72,40.0,-1395.0
73,55.0,-1340.0
74,35.0,-1305.0
75,35.0,-1270.0
76,-2240.0,-3510.0
77,115.0,-3395.0
78,-540.0,-3935.0
79,-595.0,-4530.0
80,240.0,-4290.0
81,-45.0,-4335.0
82,110.0,-4225.0
83,-540.0,-4765.0
84,-650.0,-5415.0
85,-1425.0,-6840.0
86,3540.0,-3300.0
87,1295.0,-2005.0
88,1000.0,-1005.0
89,-660.0,-1665.0
90,35.0,-1630.0
91,60.0,-1570.0
92,10.0,-1560.0
93,-155.0,-1715.0
94,80.0,-1635.0
95,-180.0,-1815.0
96,-110.0,-1925.0
97,-285.0,-2210.0
98,-320.0,-2530.0
99,-795.0,-3325.0
100,-40.0,-3365.0
101,35.0,-3330.0
102,-25.0,-3355.0
103,-605.0,-3960.0
104,245.0,-3715.0
105,65.0,-3650.0
106,-130.0,-3780.0
107,780.0,-3000.0
108,-510.0,-3510.0
109,-380.0,-3890.0
110,25.0,-3865.0
111,-395.0,-4260.0
112,-175.0,-4435.0
113,5.0,-4430.0
114,-385.0,-4815.0
115,110.0,-4705.0
116,-150.0,-4855.0
117,-535.0,-5390.0
118,-525.0,-5915.0
119,320.0,-5595.0
120,305.0,-5290.0
121,-115.0,-5405.0
122,-45.0,-5450.0
123,-20.0,-5470.0
124,-130.0,-5600.0
125,-70.0,-5670.0
126,685.0,-4985.0
127,580.0,-4405.0
128,415.0,-3990.0
129,240.0,-3750.0
130,80.0,-3670.0
131,130.0,-3540.0
132,-265.0,-3805.0
133,-100.0,-3905.0
134,160.0,-3745.0
135,30.0,-3715.0
136,-990.0,-4705.0
137,-295.0,-5000.0
138,540.0,-4460.0
139,325.0,-4135.0
140,-325.0,-4460.0
141,435.0,-4025.0
142,-55.0,-4080.0
143,90.0,-3990.0
144,380.0,-3610.0
145,145.0,-3465.0
146,-490.0,-3955.0
147,-430.0,-4385.0
148,-30.0,-4415.0
149,-295.0,-4710.0
150,-145.0,-4855.0
151,5.0,-4850.0
152,-410.0,-5260.0
153,315.0,-4945.0
154,-30.0,-4975.0
155,50.0,-4925.0
156,1340.0,-3585.0
157,-495.0,-4080.0
158,-215.0,-4295.0
159,455.0,-3840.0
160,60.0,-3780.0
161,180.0,-3600.0
162,-250.0,-3850.0
163,-25.0,-3875.0
164,-295.0,-4170.0
165,-375.0,-4545.0
166,955.0,-3590.0
167,-1350.0,-4940.0
168,5.0,-4935.0
169,-440.0,-5375.0
170,-250.0,-5625.0
171,-250.0,-5875.0
172,-50.0,-5925.0
173,270.0,-5655.0
174,-215.0,-5870.0
175,-145.0,-6015.0
176,435.0,-5580.0
177,-160.0,-5740.0
178,-430.0,-6170.0
179,1030.0,-5140.0
180,125.0,-5015.0
181,255.0,-4760.0
182,25.0,-4735.0
183,-220.0,-4955.0
184,40.0,-4915.0
185,-20.0,-4935.0
186,1015.0,-3920.0
187,-635.0,-4555.0
188,-15.0,-4570.0
189,-115.0,-4685.0
190,-25.0,-4710.0
191,-85.0,-4795.0
192,25.0,-4770.0
193,-400.0,-5170.0
194,90.0,-5080.0
195,185.0,-4895.0
196,-640.0,-5535.0
197,540.0,-4995.0
198,-595.0,-5590.0
199,-105.0,-5695.0
200,-15.0,-5710.0
201,-140.0,-5850.0
202,95.0,-5755.0
203,-115.0,-5870.0
204,-215.0,-6085.0
205,-150.0,-6235.0
206,205.0,-6030.0
207,-60.0,-6090.0
208,50.0,-6040.0
209,235.0,-5805.0
210,40.0,-5765.0
211,-200.0,-5965.0
212,-70.0,-6035.0
213,125.0,-5910.0
214,105.0,-5805.0
215,-45.0,-5850.0
216,-5.0,-5855.0
217,-940.0,-6795.0
218,195.0,-6600.0
219,-210.0,-6810.0
220,315.0,-6495.0
221,-160.0,-6655.0
222,-160.0,-6815.0
223,-355.0,-7170.0
224,-330.0,-7500.0
225,-255.0,-7755.0
226,-330.0,-8085.0
227,175.0,-7910.0
228,480.0,-7430.0
229,-290.0,-7720.0
230,-300.0,-8020.0
231,120.0,-7900.0
232,-90.0,-7990.0
233,-10.0,-8000.0
234,-255.0,-8255.0
235,165.0,-8090.0
236,-960.0,-9050.0
237,-165.0,-9215.0
238,-100.0,-9315.0
239,-445.0,-9760.0
240,20.0,-9740.0
241,85.0,-9655.0
242,-130.0,-9785.0
243,20.0,-9765.0
244,-200.0,-9965.0
245,-35.0,-10000.0
246,1070.0,-8930.0
247,25.0,-8905.0
248,320.0,-8585.0
249,-50.0,-8635.0
250,65.0,-8570.0
251,120.0,-8450.0
252,640.0,-7810.0
253,300.0,-7510.0
254,435.0,-7075.0
255,90.0,-6985.0
256,15.0,-6970.0
257,155.0,-6815.0
258,-295.0,-7110.0
259,285.0,-6825.0
260,165.0,-6660.0
261,155.0,-6505.0
262,330.0,-6175.0
263,-545.0,-6720.0
264,-130.0,-6850.0
265,175.0,-6675.0
266,-45.0,-6720.0
267,825.0,-5895.0
268,-215.0,-6110.0
269,-590.0,-6700.0
270,205.0,-6495.0
271,-55.0,-6550.0
272,105.0,-6445.0
273,-45.0,-6490.0
274,-175.0,-6665.0
275,260.0,-6405.0
276,-160.0,-6565.0
277,100.0,-6465.0
278,-235.0,-6700.0
279,5.0,-6695.0
280,-190.0,-6885.0
281,-155.0,-7040.0
282,5.0,-7035.0
283,-180.0,-7215.0
284,195.0,-7020.0
285,-10.0,-7030.0
286,-820.0,-7850.0
287,40.0,-7810.0
288,1355.0,-6455.0
289,525.0,-5930.0
290,90.0,-5840.0
291,205.0,-5635.0
292,-390.0,-6025.0
293,205.0,-5820.0
294,210.0,-5610.0
295,-160.0,-5770.0
296,1985.0,-3785.0
297,-780.0,-4565.0
298,705.0,-3860.0
299,135.0,-3725.0
300,225.0,-3500.0
301,-80.0,-3580.0
302,800.0,-2780.0
303,715.0,-2065.0
304,585.0,-1480.0
305,-260.0,-1740.0
306,-920.0,-2660.0
307,-135.0,-2795.0
308,-1950.0,-4745.0
309,1970.0,-2775.0
310,-195.0,-2970.0
311,-500.0,-3470.0
312,-305.0,-3775.0
313,-390.0,-4165.0
314,-45.0,-4210.0
315,55.0,-4155.0
316,595.0,-3560.0
317,175.0,-3385.0
318,25.0,-3360.0
319,1205.0,-2155.0
320,-240.0,-2395.0
321,-385.0,-2780.0
322,660.0,-2120.0
323,505.0,-1615.0
324,815.0,-800.0
325,65.0,-735.0
326,630.0,-105.0
327,-1880.0,-1985.0
328,565.0,-1420.0
329,-40.0,-1460.0
330,-320.0,-1780.0
331,40.0,-1740.0
332,55.0,-1685.0
333,-240.0,-1925.0
334,545.0,-1380.0
335,-625.0,-2005.0
336,2525.0,520.0
337,915.0,1435.0
338,620.0,2055.0
339,-30.0,2025.0
340,660.0,2685.0
341,-1160.0,1525.0
342,-200.0,1325.0
343,15.0,1340.0
344,45.0,1385.0
345,-445.0,940.0
346,1140.0,2080.0
347,1220.0,3300.0
348,370.0,3670.0
349,-1035.0,2635.0
350,125.0,2760.0
351,-335.0,2425.0
352,-500.0,1925.0
353,245.0,2170.0
354,1360.0,3530.0
355,215.0,3745.0
356,1510.0,5255.0
357,-580.0,4675.0
358,-1935.0,2740.0
359,-2510.0,230.0
360,625.0,855.0
361,475.0,1330.0
362,-40.0,1290.0
363,30.0,1320.0
364,-155.0,1165.0
365,-110.0,1055.0
366,-835.0,220.0
367,345.0,565.0
368,-75.0,490.0
369,205.0,695.0
370,640.0,1335.0
371,-1090.0,245.0
372,5.0,250.0
373,0.0,250.0
374,-210.0,40.0
375,360.0,400.0
376,305.0,705.0
377,625.0,1330.0
378,1100.0,2430.0
379,-270.0,2160.0
380,650.0,2810.0
381,-95.0,2715.0
382,-545.0,2170.0
383,-140.0,2030.0
384,995.0,3025.0
385,-245.0,2780.0
386,2145.0,4925.0
387,1225.0,6150.0
388,590.0,6740.0
389,-430.0,6310.0
390,-530.0,5780.0
391,-665.0,5115.0
392,-425.0,4690.0
393,155.0,4845.0
394,550.0,5395.0
395,-205.0,5190.0
396,-1325.0,3865.0
397,-500.0,3365.0
398,-1185.0,2180.0
399,-305.0,1875.0
400,-740.0,1135.0
401,-920.0,215.0
402,-580.0,-365.0
403,505.0,140.0
404,185.0,325.0
405,385.0,710.0
406,295.0,1005.0
407,450.0,1455.0
408,610.0,2065.0
409,-405.0,1660.0
410,195.0,1855.0
411,95.0,1950.0
412,-130.0,1820.0
413,-175.0,1645.0
414,-865.0,780.0
415,125.0,905.0
416,-250.0,655.0
417,-410.0,245.0
418,-85.0,160.0
419,150.0,310.0
420,850.0,1160.0
421,-350.0,810.0
422,-510.0,300.0
423,100.0,400.0
424,765.0,1165.0
425,-260.0,905.0
426,890.0,1795.0
427,-505.0,1290.0
428,690.0,1980.0
429,405.0,2385.0
430,1060.0,3445.0
431,605.0,4050.0
432,435.0,4485.0
433,190.0,4675.0
434,195.0,4870.0
435,-65.0,4805.0
436,-965.0,3840.0
437,-110.0,3730.0
438,595.0,4325.0
439,510.0,4835.0
440,-395.0,4440.0
441,-375.0,4065.0
442,-525.0,3540.0
443,375.0,3915.0
444,-35.0,3880.0
445,50.0,3930.0
446,2050.0,5980.0
447,260.0,6240.0
448,430.0,6670.0
449,220.0,6890.0
450,1305.0,8195.0
451,-185.0,8010.0
452,-850.0,7160.0
453,255.0,7415.0
454,140.0,7555.0
455,-460.0,7095.0
456,-790.0,6305.0
457,-195.0,6110.0
458,545.0,6655.0
459,-25.0,6630.0
460,-945.0,5685.0
461,-185.0,5500.0
462,-705.0,4795.0
463,285.0,5080.0
464,-100.0,4980.0
465,-160.0,4820.0
466,-2625.0,2195.0
467,-250.0,1945.0
468,-1210.0,735.0
469,865.0,1600.0
470,645.0,2245.0
471,570.0,2815.0
472,85.0,2900.0
473,-320.0,2580.0
474,280.0,2860.0
475,235.0,3095.0
476,3255.0,6350.0
477,170.0,6520.0
478,-770.0,5750.0
479,-420.0,5330.0
480,790.0,6120.0
481,230.0,6350.0
482,365.0,6715.0
483,-380.0,6335.0
484,220.0,6555.0
485,1740.0,8295.0
486,-160.0,8135.0
487,-145.0,7990.0
488,-105.0,7885.0
489,-355.0,7530.0
490,420.0,7950.0
491,75.0,8025.0
492,-1590.0,6435.0
493,-140.0,6295.0
494,760.0,7055.0
495,810.0,7865.0
496,-60.0,7805.0
497,170.0,7975.0
498,480.0,8455.0
499,865.0,9320.0
500,-300.0,9020.0
501,-420.0,8600.0
502,-1225.0,7375.0
503,425.0,7800.0
504,1370.0,9170.0
505,-2005.0,7165.0
506,-160.0,7005.0
507,280.0,7285.0
508,35.0,7320.0
509,-435.0,6885.0
510,125.0,7010.0
511,-80.0,6930.0
512,990.0,7920.0
513,-40.0,7880.0
514,395.0,8275.0
515,-850.0,7425.0
516,45.0,7470.0
517,70.0,7540.0
518,-50.0,7490.0
519,35.0,7525.0
520,135.0,7660.0
521,-195.0,7465.0
522,1590.0,9055.0
523,1655.0,10710.0
524,-480.0,10230.0
525,-20.0,10210.0
526,60.0,10270.0
527,390.0,10660.0
528,-805.0,9855.0
529,-255.0,9600.0
530,360.0,9960.0
531,-225.0,9735.0
532,-55.0,9680.0
533,-95.0,9585.0
534,-930.0,8655.0
535,-15.0,8640.0
536,-85.0,8555.0
537,-70.0,8485.0
538,465.0,8950.0
539,300.0,9250.0
540,140.0,9390.0
541,-110.0,9280.0
542,-675.0,8605.0
543,-570.0,8035.0
544,-65.0,7970.0
545,375.0,8345.0
546,-720.0,7625.0
547,-380.0,7245.0
548,345.0,7590.0
549,-1055.0,6535.0
550,50.0,6585.0
551,-410.0,6175.0
552,-1715.0,4460.0
553,-175.0,4285.0
554,1590.0,5875.0
555,-400.0,5475.0
556,310.0,5785.0
557,635.0,6420.0
558,80.0,6500.0
559,700.0,7200.0
560,-775.0,6425.0
561,200.0,6625.0
562,-5175.0,1450.0
563,-1685.0,-235.0
564,-1850.0,-2085.0
565,570.0,-1515.0
566,1125.0,-390.0
567,170.0,-220.0
568,1255.0,1035.0
569,-1200.0,-165.0
570,-255.0,-420.0
571,-755.0,-1175.0
572,3330.0,2155.0
573,-310.0,1845.0
574,-1590.0,255.0
575,455.0,710.0
576,170.0,880.0
577,-295.0,585.0
578,-545.0,40.0
579,-515.0,-475.0
580,325.0,-150.0
581,-480.0,-630.0
582,-585.0,-1215.0
583,-1040.0,-2255.0
584,-985.0,-3240.0
585,960.0,-2280.0
586,-235.0,-2515.0
587,865.0,-1650.0
588,230.0,-1420.0
589,-125.0,-1545.0
590,145.0,-1400.0
591,-550.0,-1950.0
592,-805.0,-2755.0
593,240.0,-2515.0
594,470.0,-2045.0
595,-1220.0,-3265.0
596,245.0,-3020.0
597,315.0,-2705.0
598,-730.0,-3435.0
599,130.0,-3305.0
600,180.0,-3125.0
601,-75.0,-3200.0
602,-1105.0,-4305.0
603,95.0,-4210.0
604,-120.0,-4330.0
605,-1105.0,-5435.0
606,190.0,-5245.0
607,590.0,-4655.0
608,-865.0,-5520.0
609,1675.0,-3845.0
610,170.0,-3675.0
611,-340.0,-4015.0
612,1045.0,-2970.0
613,1060.0,-1910.0
614,-2660.0,-4570.0
615,-200.0,-4770.0
616,-335.0,-5105.0
617,235.0,-4870.0
618,-735.0,-5605.0
619,-760.0,-6365.0
620,535.0,-5830.0
621,-285.0,-6115.0
622,-2060.0,-8175.0
623,3440.0,-4735.0
624,315.0,-4420.0
625,-1500.0,-5920.0
626,-260.0,-6180.0
627,-595.0,-6775.0
628,375.0,-6400.0
629,465.0,-5935.0
630,-145.0,-6080.0
631,-105.0,-6185.0
632,-2370.0,-8555.0
633,-1975.0,-10530.0
634,380.0,-10150.0
635,185.0,-9965.0
636,240.0,-9725.0
637,-410.0,-10135.0
638,85.0,-10050.0
639,-490.0,-10540.0
640,-75.0,-10615.0
641,65.0,-10550.0
642,655.0,-9895.0
643,935.0,-8960.0
644,1530.0,-7430.0
645,-600.0,-8030.0
646,455.0,-7575.0
647,1010.0,-6565.0
648,220.0,-6345.0
649,-615.0,-6960.0
650,175.0,-6785.0
651,200.0,-6585.0
652,2375.0,-4210.0
653,745.0,-3465.0
654,-955.0,-4420.0
655,95.0,-4325.0
