trade_index,pnl,cumulative_pnl
0,205.0,205.0
1,125.0,330.0
2,-60.0,270.0
3,-2590.0,-2320.0
4,720.0,-1600.0
5,-995.0,-2595.0
6,175.0,-2420.0
7,1055.0,-1365.0
8,45.0,-1320.0
9,-920.0,-2240.0
10,-235.0,-2475.0
11,460.0,-2015.0
12,-195.0,-2210.0
13,-745.0,-2955.0
14,255.0,-2700.0
15,-1505.0,-4205.0
16,-785.0,-4990.0
17,550.0,-4440.0
18,-335.0,-4775.0
19,-275.0,-5050.0
20,-260.0,-5310.0
21,640.0,-4670.0
22,-100.0,-4770.0
23,-175.0,-4945.0
24,-30.0,-4975.0
25,-700.0,-5675.0
26,685.0,-4990.0
27,280.0,-4710.0
28,135.0,-4575.0
29,1645.0,-2930.0
30,-485.0,-3415.0
31,-1410.0,-4825.0
32,380.0,-4445.0
33,685.0,-3760.0
34,-210.0,-3970.0
35,160.0,-3810.0
36,-10.0,-3820.0
37,75.0,-3745.0
38,1840.0,-1905.0
39,-715.0,-2620.0
40,55.0,-2565.0
41,35.0,-2530.0
42,35.0,-2495.0
43,-2240.0,-4735.0
44,-540.0,-5275.0
45,240.0,-5035.0
46,-45.0,-5080.0
47,110.0,-4970.0
48,-540.0,-5510.0
49,3540.0,-1970.0
50,35.0,-1935.0
51,60.0,-1875.0
52,10.0,-1865.0
53,80.0,-1785.0
54,-180.0,-1965.0
55,-320.0,-2285.0
56,-40.0,-2325.0
57,-605.0,-2930.0
58,245.0,-2685.0
59,65.0,-2620.0
60,-130.0,-2750.0
61,-395.0,-3145.0
62,-175.0,-3320.0
63,5.0,-3315.0
64,-385.0,-3700.0
65,110.0,-3590.0
66,-150.0,-3740.0
67,-535.0,-4275.0
68,-525.0,-4800.0
69,320.0,-4480.0
70,305.0,-4175.0
71,-115.0,-4290.0
72,685.0,-3605.0
73,580.0,-3025.0
74,415.0,-2610.0
75,240.0,-2370.0
76,-265.0,-2635.0
77,-100.0,-2735.0
78,160.0,-2575.0
79,30.0,-2545.0
80,-990.0,-3535.0
81,-55.0,-3590.0
82,90.0,-3500.0
83,380.0,-3120.0
84,145.0,-2975.0
85,-490.0,-3465.0
