trade_index,pnl,cumulative_pnl
0,170.0,170.0
1,-220.0,-50.0
2,-435.0,-485.0
3,205.0,-280.0
4,125.0,-155.0
5,-60.0,-215.0
6,-195.0,-410.0
7,-5.0,-415.0
8,235.0,-180.0
9,-1860.0,-2040.0
10,1350.0,-690.0
11,-1400.0,-2090.0
12,2510.0,420.0
13,720.0,1140.0
14,-995.0,145.0
15,175.0,320.0
16,1055.0,1375.0
17,45.0,1420.0
18,-920.0,500.0
19,-235.0,265.0
20,-540.0,-275.0
21,535.0,260.0
22,115.0,375.0
23,-120.0,255.0
24,665.0,920.0
25,255.0,1175.0
26,-1505.0,-330.0
27,-785.0,-1115.0
28,-630.0,-1745.0
29,940.0,-805.0
30,260.0,-545.0
31,255.0,-290.0
32,-275.0,-565.0
33,650.0,85.0
34,-750.0,-665.0
35,-260.0,-925.0
36,640.0,-285.0
37,-100.0,-385.0
38,95.0,-290.0
39,-190.0,-480.0
40,-120.0,-600.0
41,90.0,-510.0
42,-125.0,-635.0
43,125.0,-510.0
44,465.0,-45.0
45,-30.0,-75.0
46,-700.0,-775.0
47,-130.0,-905.0
48,685.0,-220.0
49,-360.0,-580.0
50,135.0,-445.0
51,145.0,-300.0
52,-270.0,-570.0
53,-55.0,-625.0
54,-480.0,-1105.0
55,-195.0,-1300.0
56,335.0,-965.0
57,1645.0,680.0
58,-485.0,195.0
59,1330.0,1525.0
60,-460.0,1065.0
61,-765.0,300.0
62,130.0,430.0
63,160.0,590.0
64,-10.0,580.0
65,75.0,655.0
66,1840.0,2495.0
67,-715.0,1780.0
68,-215.0,1565.0
69,-235.0,1330.0
70,-510.0,820.0
71,445.0,1265.0
72,40.0,1305.0
73,55.0,1360.0
74,35.0,1395.0
75,35.0,1430.0
76,-2240.0,-810.0
77,115.0,-695.0
78,-540.0,-1235.0
79,515.0,-720.0
80,240.0,-480.0
81,-45.0,-525.0
82,-190.0,-715.0
83,-540.0,-1255.0
84,-650.0,-1905.0
85,-1425.0,-3330.0
86,3540.0,210.0
87,-1375.0,-1165.0
88,-1080.0,-2245.0
89,580.0,-1665.0
90,-115.0,-1780.0
91,60.0,-1720.0
92,-90.0,-1810.0
93,-155.0,-1965.0
94,80.0,-1885.0
95,-180.0,-2065.0
96,-110.0,-2175.0
97,205.0,-1970.0
98,240.0,-1730.0
99,715.0,-1015.0
100,-40.0,-1055.0
101,-115.0,-1170.0
102,-55.0,-1225.0
103,-605.0,-1830.0
104,245.0,-1585.0
105,65.0,-1520.0
106,-130.0,-1650.0
107,780.0,-870.0
108,-510.0,-1380.0
109,300.0,-1080.0
110,-105.0,-1185.0
111,315.0,-870.0
112,95.0,-775.0
113,5.0,-770.0
114,-385.0,-1155.0
115,110.0,-1045.0
116,-150.0,-1195.0
117,-535.0,-1730.0
118,-525.0,-2255.0
119,-400.0,-2655.0
120,-385.0,-3040.0
121,-115.0,-3155.0
122,-45.0,-3200.0
123,-20.0,-3220.0
124,-130.0,-3350.0
125,-70.0,-3420.0
126,685.0,-2735.0
127,580.0,-2155.0
128,-495.0,-2650.0
129,240.0,-2410.0
130,-160.0,-2570.0
131,-210.0,-2780.0
132,185.0,-2595.0
133,-100.0,-2695.0
134,-240.0,-2935.0
135,30.0,-2905.0
136,910.0,-1995.0
137,-295.0,-2290.0
138,-620.0,-2910.0
139,-405.0,-3315.0
140,245.0,-3070.0
141,-515.0,-3585.0
142,-25.0,-3610.0
143,90.0,-3520.0
144,-460.0,-3980.0
145,145.0,-3835.0
146,410.0,-3425.0
147,-430.0,-3855.0
148,-50.0,-3905.0
149,215.0,-3690.0
150,65.0,-3625.0
151,-85.0,-3710.0
152,330.0,-3380.0
153,315.0,-3065.0
154,-50.0,-3115.0
155,50.0,-3065.0
156,1340.0,-1725.0
157,-495.0,-2220.0
158,135.0,-2085.0
159,-535.0,-2620.0
160,-140.0,-2760.0
161,-260.0,-3020.0
162,170.0,-2850.0
163,-25.0,-2875.0
164,-295.0,-3170.0
165,-375.0,-3545.0
166,955.0,-2590.0
167,-1350.0,-3940.0
168,-85.0,-4025.0
169,360.0,-3665.0
170,170.0,-3495.0
171,-250.0,-3745.0
172,-30.0,-3775.0
173,270.0,-3505.0
174,-215.0,-3720.0
175,65.0,-3655.0
176,-515.0,-4170.0
177,-160.0,-4330.0
178,350.0,-3980.0
179,-1110.0,-5090.0
180,-205.0,-5295.0
181,-335.0,-5630.0
182,-105.0,-5735.0
183,-220.0,-5955.0
184,40.0,-5915.0
185,-20.0,-5935.0
186,-1095.0,-7030.0
187,555.0,-6475.0
188,-65.0,-6540.0
189,-115.0,-6655.0
190,-55.0,-6710.0
191,-85.0,-6795.0
192,-105.0,-6900.0
193,-400.0,-7300.0
194,90.0,-7210.0
195,185.0,-7025.0
196,-640.0,-7665.0
197,-620.0,-8285.0
198,-595.0,-8880.0
199,25.0,-8855.0
200,-65.0,-8920.0
201,60.0,-8860.0
202,-175.0,-9035.0
203,-115.0,-9150.0
204,-215.0,-9365.0
205,-150.0,-9515.0
206,205.0,-9310.0
207,-20.0,-9330.0
208,-130.0,-9460.0
209,-315.0,-9775.0
210,-120.0,-9895.0
211,120.0,-9775.0
212,-10.0,-9785.0
213,125.0,-9660.0
214,105.0,-9555.0
215,-45.0,-9600.0
216,-5.0,-9605.0
217,860.0,-8745.0
218,-275.0,-9020.0
219,-210.0,-9230.0
220,-395.0,-9625.0
221,80.0,-9545.0
222,80.0,-9465.0
223,-355.0,-9820.0
224,-330.0,-10150.0
225,-255.0,-10405.0
226,-330.0,-10735.0
227,-255.0,-10990.0
228,-560.0,-11550.0
229,-290.0,-11840.0
230,220.0,-11620.0
231,120.0,-11500.0
232,10.0,-11490.0
233,-10.0,-11500.0
234,-255.0,-11755.0
235,165.0,-11590.0
236,-960.0,-12550.0
237,-165.0,-12715.0
238,20.0,-12695.0
239,365.0,-12330.0
240,-100.0,-12430.0
241,85.0,-12345.0
242,50.0,-12295.0
243,20.0,-12275.0
244,-200.0,-12475.0
245,-35.0,-12510.0
246,-1150.0,-13660.0
247,25.0,-13635.0
248,-400.0,-14035.0
249,-30.0,-14065.0
250,-145.0,-14210.0
251,-200.0,-14410.0
252,-720.0,-15130.0
253,300.0,-14830.0
254,435.0,-14395.0
255,90.0,-14305.0
256,15.0,-14290.0
257,-235.0,-14525.0
258,215.0,-14310.0
259,285.0,-14025.0
260,-245.0,-14270.0
261,155.0,-14115.0
262,-410.0,-14525.0
263,-545.0,-15070.0
264,-130.0,-15200.0
265,175.0,-15025.0
266,-45.0,-15070.0
267,-905.0,-15975.0
268,135.0,-15840.0
269,510.0,-15330.0
270,-285.0,-15615.0
