trade_index,pnl,cumulative_pnl
0,-30.0,-30.0
1,-155.0,-185.0
2,205.0,20.0
3,-1880.0,-1860.0
4,915.0,-945.0
5,-245.0,-1190.0
6,-500.0,-1690.0
7,-410.0,-2100.0
8,-515.0,-2615.0
9,-1200.0,-3815.0
10,-755.0,-4570.0
11,435.0,-4135.0
12,-480.0,-4615.0
13,-585.0,-5200.0
14,-1040.0,-6240.0
15,-210.0,-6450.0
16,-260.0,-6710.0
17,-75.0,-6785.0
18,-1105.0,-7890.0
19,95.0,-7795.0
20,-120.0,-7915.0
21,-340.0,-8255.0
22,-1140.0,-9395.0
23,655.0,-8740.0
24,-285.0,-9025.0
25,-1975.0,-11000.0
26,200.0,-10800.0
27,745.0,-10055.0
28,-95.0,-10150.0
29,1635.0,-8515.0
30,-250.0,-8765.0
31,-2115.0,-10880.0
32,350.0,-10530.0
33,2135.0,-8395.0
34,2065.0,-6330.0
35,-1265.0,-7595.0
36,510.0,-7085.0
37,-455.0,-7540.0
38,-25.0,-7565.0
39,-1785.0,-9350.0
40,-190.0,-9540.0
41,1705.0,-7835.0
42,60.0,-7775.0
43,-55.0,-7830.0
44,-485.0,-8315.0
45,40.0,-8275.0
46,-150.0,-8425.0
47,-2325.0,-10750.0
48,1110.0,-9640.0
49,-710.0,-10350.0
50,0.0,-10350.0
51,-1035.0,-11385.0
52,-500.0,-11885.0
53,-135.0,-12020.0
54,-110.0,-12130.0
55,-275.0,-12405.0
56,-620.0,-13025.0
57,660.0,-12365.0
58,235.0,-12130.0
59,135.0,-11995.0
60,605.0,-11390.0
61,225.0,-11165.0
62,-90.0,-11255.0
63,-935.0,-12190.0
64,1270.0,-10920.0
65,-2665.0,-13585.0
66,570.0,-13015.0
67,20.0,-12995.0
68,-595.0,-13590.0
69,1360.0,-12230.0
70,855.0,-11375.0
71,220.0,-11155.0
72,135.0,-11020.0
73,135.0,-10885.0
74,360.0,-10525.0
75,705.0,-9820.0
76,-1865.0,-11685.0
77,130.0,-11555.0
78,-300.0,-11855.0
79,540.0,-11315.0
80,355.0,-10960.0
81,-505.0,-11465.0
82,-135.0,-11600.0
83,230.0,-11370.0
84,-205.0,-11575.0
85,-300.0,-11875.0
86,-380.0,-12255.0
87,0.0,-12255.0
88,110.0,-12145.0
89,585.0,-11560.0
90,230.0,-11330.0
91,2080.0,-9250.0
92,-440.0,-9690.0
93,-540.0,-10230.0
94,-195.0,-10425.0
95,-825.0,-11250.0
96,440.0,-10810.0
97,-445.0,-11255.0
98,-40.0,-11295.0
99,-55.0,-11350.0
100,-530.0,-11880.0
101,-45.0,-11925.0
102,-160.0,-12085.0
103,-240.0,-12325.0
104,-390.0,-12715.0
105,1670.0,-11045.0
106,-190.0,-11235.0
107,-150.0,-11385.0
108,-280.0,-11665.0
109,-70.0,-11735.0
110,-1960.0,-13695.0
111,-120.0,-13815.0
112,40.0,-13775.0
113,-200.0,-13975.0
114,710.0,-13265.0
115,-55.0,-13320.0
116,-75.0,-13395.0
117,-730.0,-14125.0
118,-35.0,-14160.0
119,250.0,-13910.0
120,-215.0,-14125.0
121,-1845.0,-15970.0
122,1140.0,-14830.0
123,165.0,-14665.0
124,270.0,-14395.0
125,75.0,-14320.0
126,280.0,-14040.0
127,110.0,-13930.0
128,45.0,-13885.0
129,65.0,-13820.0
130,-250.0,-14070.0
131,-255.0,-14325.0
132,-75.0,-14400.0
133,-255.0,-14655.0
134,-95.0,-14750.0
135,-510.0,-15260.0
136,-215.0,-15475.0
137,-910.0,-16385.0
138,-170.0,-16555.0
139,135.0,-16420.0
140,15.0,-16405.0
141,-155.0,-16560.0
142,40.0,-16520.0
143,-95.0,-16615.0
144,155.0,-16460.0
145,-315.0,-16775.0
146,-150.0,-16925.0
147,-395.0,-17320.0
148,-865.0,-18185.0
149,15.0,-18170.0
150,-360.0,-18530.0
151,80.0,-18450.0
152,-80.0,-18530.0
153,390.0,-18140.0
154,35.0,-18105.0
155,-350.0,-18455.0
156,-365.0,-18820.0
157,95.0,-18725.0
158,-295.0,-19020.0
159,-105.0,-19125.0
160,135.0,-18990.0
161,60.0,-18930.0
162,185.0,-18745.0
163,-65.0,-18810.0
164,1235.0,-17575.0
165,115.0,-17460.0
166,-270.0,-17730.0
167,45.0,-17685.0
168,1155.0,-16530.0
169,170.0,-16360.0
170,105.0,-16255.0
171,75.0,-16180.0
172,700.0,-15480.0
173,180.0,-15300.0
174,-175.0,-15475.0
175,-95.0,-15570.0
