trade_index,pnl,cumulative_pnl
0,210.0,210.0
1,540.1573364761425,750.1573364761425
2,540.1573364761425,1290.314672952285
3,540.1573364761425,1830.4720094284276
4,-15.0,1815.4720094284276
5,95.0,1910.4720094284276
6,-620.1573364761425,1290.314672952285
7,-620.1573364761425,670.1573364761425
8,-620.1573364761425,50.0
9,-620.1573364761425,-570.1573364761425
10,-620.1573364761425,-1190.314672952285
11,-620.1573364761425,-1810.4720094284276
12,540.1573364761425,-1270.314672952285
13,-620.1573364761425,-1890.4720094284276
14,540.1573364761425,-1350.314672952285
15,540.1573364761425,-810.1573364761425
16,-620.1573364761425,-1430.314672952285
17,-620.1573364761425,-2050.4720094284276
18,540.1573364761425,-1510.314672952285
19,540.1573364761425,-970.1573364761425
20,540.1573364761425,-430.0
21,-620.1573364761425,-1050.1573364761425
22,-620.1573364761425,-1670.314672952285
23,-620.1573364761425,-2290.4720094284276
24,-620.1573364761425,-2910.62934590457
25,-620.1573364761425,-3530.7866823807126
26,-620.1573364761425,-4150.944018856855
27,540.1573364761425,-3610.7866823807126
28,540.1573364761425,-3070.62934590457
29,540.1573364761425,-2530.4720094284276
30,540.1573364761425,-1990.314672952285
31,-620.1573364761425,-2610.4720094284276
32,540.1573364761425,-2070.314672952285
33,540.1573364761425,-1530.1573364761425
34,-620.1573364761425,-2150.314672952285
35,-75.0,-2225.314672952285
36,160.0,-2065.314672952285
37,540.1573364761425,-1525.1573364761425
38,540.1573364761425,-985.0
39,540.1573364761425,-444.8426635238575
40,-620.1573364761425,-1065.0
41,-620.1573364761425,-1685.1573364761425
42,540.1573364761425,-1145.0
43,540.1573364761425,-604.8426635238575
44,540.1573364761425,-64.68532704771496
45,165.0,100.31467295228504
46,-450.0,-349.68532704771496
47,-420.0,-769.685327047715
48,-620.1573364761425,-1389.8426635238575
49,540.1573364761425,-849.685327047715
50,540.1573364761425,-309.52799057157245
51,-620.1573364761425,-929.685327047715
52,-620.1573364761425,-1549.8426635238575
53,540.1573364761425,-1009.685327047715
54,540.1573364761425,-469.52799057157245
55,135.0,-334.52799057157245
56,540.1573364761425,205.62934590457007
57,540.1573364761425,745.7866823807126
58,540.1573364761425,1285.944018856855
59,540.1573364761425,1826.1013553329976
60,-620.1573364761425,1205.944018856855
61,540.1573364761425,1746.1013553329976
62,540.1573364761425,2286.25869180914
63,540.1573364761425,2826.4160282852827
64,-620.1573364761425,2206.25869180914
65,540.1573364761425,2746.4160282852827
66,-620.1573364761425,2126.25869180914
67,-620.1573364761425,1506.1013553329976
68,-620.1573364761425,885.9440188568551
69,540.1573364761425,1426.1013553329976
70,-620.1573364761425,805.9440188568551
71,-620.1573364761425,185.7866823807126
72,540.1573364761425,725.9440188568551
73,-620.1573364761425,105.78668238071259
74,-620.1573364761425,-514.3706540954299
75,-620.1573364761425,-1134.5279905715724
76,-620.1573364761425,-1754.685327047715
77,-620.1573364761425,-2374.8426635238575
78,540.1573364761425,-1834.685327047715
79,540.1573364761425,-1294.5279905715724
80,-620.1573364761425,-1914.685327047715
81,70.0,-1844.685327047715
82,115.0,-1729.685327047715
83,-125.0,-1854.685327047715
84,-620.1573364761425,-2474.8426635238575
85,540.1573364761425,-1934.685327047715
86,-620.1573364761425,-2554.8426635238575
87,540.1573364761425,-2014.685327047715
88,-620.1573364761425,-2634.8426635238575
89,-620.1573364761425,-3255.0
90,540.1573364761425,-2714.8426635238575
91,540.1573364761425,-2174.685327047715
92,540.1573364761425,-1634.5279905715724
93,540.1573364761425,-1094.37065409543
94,-620.1573364761425,-1714.5279905715724
95,-420.0,-2134.5279905715724
96,-620.1573364761425,-2754.685327047715
97,-325.0,-3079.685327047715
98,540.1573364761425,-2539.5279905715724
99,540.1573364761425,-1999.37065409543
100,540.1573364761425,-1459.2133176192874
101,540.1573364761425,-919.0559811431449
102,-620.1573364761425,-1539.2133176192874
103,-620.1573364761425,-2159.37065409543
104,540.1573364761425,-1619.2133176192874
105,255.0,-1364.2133176192874
106,-180.0,-1544.2133176192874
107,540.1573364761425,-1004.0559811431449
108,540.1573364761425,-463.8986446670024
109,540.1573364761425,76.25869180914015
110,540.1573364761425,616.4160282852827
111,540.1573364761425,1156.5733647614252
112,540.1573364761425,1696.7307012375677
113,540.1573364761425,2236.88803771371
114,-35.0,2201.88803771371
115,45.0,2246.88803771371
116,-55.0,2191.88803771371
117,-620.1573364761425,1571.7307012375677
118,-620.1573364761425,951.5733647614252
119,-620.1573364761425,331.41602828528266
120,-620.1573364761425,-288.74130819085985
121,540.1573364761425,251.41602828528266
122,540.1573364761425,791.5733647614252
123,540.1573364761425,1331.7307012375677
