trade_index,pnl,cumulative_pnl
0,-250.0,-250.0
1,-220.0,-470.0
2,355.0,-115.0
3,205.0,90.0
4,125.0,215.0
5,-60.0,155.0
6,-195.0,-40.0
7,-5.0,-45.0
8,235.0,190.0
9,-1430.0,-1240.0
10,-1400.0,-2640.0
11,-2590.0,-5230.0
12,720.0,-4510.0
13,-995.0,-5505.0
14,175.0,-5330.0
15,1055.0,-4275.0
16,45.0,-4230.0
17,-920.0,-5150.0
18,-235.0,-5385.0
19,460.0,-4925.0
20,535.0,-4390.0
21,-195.0,-4585.0
22,-120.0,-4705.0
23,-745.0,-5450.0
24,255.0,-5195.0
25,-1505.0,-6700.0
26,-785.0,-7485.0
27,550.0,-6935.0
28,940.0,-5995.0
29,-340.0,-6335.0
30,650.0,-5685.0
31,-750.0,-6435.0
32,-260.0,-6695.0
33,640.0,-6055.0
34,-100.0,-6155.0
35,-175.0,-6330.0
36,40.0,-6290.0
37,45.0,-6245.0
38,125.0,-6120.0
39,465.0,-5655.0
40,-30.0,-5685.0
41,-700.0,-6385.0
42,-130.0,-6515.0
43,685.0,-5830.0
44,280.0,-5550.0
45,135.0,-5415.0
46,-225.0,-5640.0
47,190.0,-5450.0
48,-55.0,-5505.0
49,335.0,-5170.0
50,1645.0,-3525.0
51,-485.0,-4010.0
52,-1410.0,-5420.0
53,380.0,-5040.0
54,685.0,-4355.0
55,-210.0,-4565.0
56,160.0,-4405.0
57,-10.0,-4415.0
58,75.0,-4340.0
59,1840.0,-2500.0
60,-715.0,-3215.0
61,135.0,-3080.0
62,155.0,-2925.0
63,430.0,-2495.0
64,-525.0,-3020.0
65,55.0,-2965.0
66,35.0,-2930.0
67,35.0,-2895.0
68,-2240.0,-5135.0
69,115.0,-5020.0
70,-540.0,-5560.0
71,-595.0,-6155.0
72,240.0,-5915.0
73,-45.0,-5960.0
74,110.0,-5850.0
75,-540.0,-6390.0
76,-650.0,-7040.0
77,-1425.0,-8465.0
78,3540.0,-4925.0
79,1000.0,-3925.0
80,-660.0,-4585.0
81,35.0,-4550.0
82,60.0,-4490.0
83,10.0,-4480.0
84,-155.0,-4635.0
85,80.0,-4555.0
86,-180.0,-4735.0
87,-110.0,-4845.0
88,-25.0,-4870.0
89,-605.0,-5475.0
90,245.0,-5230.0
91,65.0,-5165.0
92,-130.0,-5295.0
93,780.0,-4515.0
94,-380.0,-4895.0
95,25.0,-4870.0
96,-395.0,-5265.0
97,-175.0,-5440.0
98,5.0,-5435.0
99,-385.0,-5820.0
100,110.0,-5710.0
101,-150.0,-5860.0
102,-535.0,-6395.0
103,-525.0,-6920.0
104,320.0,-6600.0
105,305.0,-6295.0
106,-115.0,-6410.0
107,-20.0,-6430.0
108,-130.0,-6560.0
109,-70.0,-6630.0
110,685.0,-5945.0
111,580.0,-5365.0
112,415.0,-4950.0
113,240.0,-4710.0
114,80.0,-4630.0
115,130.0,-4500.0
116,-265.0,-4765.0
117,-100.0,-4865.0
118,160.0,-4705.0
119,30.0,-4675.0
120,-990.0,-5665.0
121,-295.0,-5960.0
122,540.0,-5420.0
123,325.0,-5095.0
124,-325.0,-5420.0
125,435.0,-4985.0
126,-55.0,-5040.0
127,90.0,-4950.0
128,380.0,-4570.0
129,145.0,-4425.0
130,-490.0,-4915.0
131,-430.0,-5345.0
132,-30.0,-5375.0
133,-295.0,-5670.0
134,-145.0,-5815.0
135,5.0,-5810.0
136,-410.0,-6220.0
137,315.0,-5905.0
138,-30.0,-5935.0
139,50.0,-5885.0
140,1340.0,-4545.0
141,-495.0,-5040.0
142,-215.0,-5255.0
143,455.0,-4800.0
144,60.0,-4740.0
145,180.0,-4560.0
146,-25.0,-4585.0
147,-375.0,-4960.0
148,-1350.0,-6310.0
149,-440.0,-6750.0
150,-250.0,-7000.0
151,270.0,-6730.0
152,-145.0,-6875.0
153,1030.0,-5845.0
154,255.0,-5590.0
155,-220.0,-5810.0
156,-85.0,-5895.0
157,25.0,-5870.0
158,-400.0,-6270.0
159,185.0,-6085.0
160,-640.0,-6725.0
161,-595.0,-7320.0
162,-105.0,-7425.0
163,-15.0,-7440.0
164,-140.0,-7580.0
165,95.0,-7485.0
166,-115.0,-7600.0
167,-215.0,-7815.0
168,-150.0,-7965.0
169,205.0,-7760.0
170,50.0,-7710.0
171,235.0,-7475.0
172,40.0,-7435.0
173,-200.0,-7635.0
174,-70.0,-7705.0
175,125.0,-7580.0
176,105.0,-7475.0
177,-45.0,-7520.0
178,-5.0,-7525.0
179,195.0,-7330.0
180,-210.0,-7540.0
181,315.0,-7225.0
182,-160.0,-7385.0
183,-160.0,-7545.0
184,-355.0,-7900.0
185,-330.0,-8230.0
186,-255.0,-8485.0
187,-330.0,-8815.0
188,480.0,-8335.0
189,-300.0,-8635.0
190,120.0,-8515.0
191,-90.0,-8605.0
192,-10.0,-8615.0
193,-255.0,-8870.0
194,165.0,-8705.0
195,-960.0,-9665.0
196,-165.0,-9830.0
197,-100.0,-9930.0
198,-445.0,-10375.0
199,20.0,-10355.0
200,85.0,-10270.0
201,-130.0,-10400.0
202,20.0,-10380.0
203,-200.0,-10580.0
204,-35.0,-10615.0
205,1070.0,-9545.0
206,25.0,-9520.0
207,320.0,-9200.0
208,-50.0,-9250.0
209,65.0,-9185.0
210,120.0,-9065.0
211,640.0,-8425.0
212,300.0,-8125.0
213,435.0,-7690.0
214,90.0,-7600.0
215,15.0,-7585.0
216,-295.0,-7880.0
217,285.0,-7595.0
218,165.0,-7430.0
219,155.0,-7275.0
220,330.0,-6945.0
221,-545.0,-7490.0
222,-130.0,-7620.0
223,175.0,-7445.0
224,-45.0,-7490.0
225,-215.0,-7705.0
226,-590.0,-8295.0
227,205.0,-8090.0
228,-55.0,-8145.0
229,105.0,-8040.0
230,-45.0,-8085.0
231,-175.0,-8260.0
232,260.0,-8000.0
233,-160.0,-8160.0
234,-155.0,-8315.0
235,-180.0,-8495.0
236,195.0,-8300.0
237,-10.0,-8310.0
238,40.0,-8270.0
239,1355.0,-6915.0
240,525.0,-6390.0
241,90.0,-6300.0
242,-390.0,-6690.0
243,205.0,-6485.0
244,210.0,-6275.0
245,-160.0,-6435.0
246,1985.0,-4450.0
247,705.0,-3745.0
248,135.0,-3610.0
249,225.0,-3385.0
250,-80.0,-3465.0
251,800.0,-2665.0
252,715.0,-1950.0
253,585.0,-1365.0
254,-260.0,-1625.0
255,1970.0,345.0
256,-195.0,150.0
257,-500.0,-350.0
258,-305.0,-655.0
259,-390.0,-1045.0
260,-45.0,-1090.0
261,55.0,-1035.0
262,595.0,-440.0
263,1205.0,765.0
264,-240.0,525.0
265,-385.0,140.0
266,660.0,800.0
267,505.0,1305.0
268,815.0,2120.0
269,65.0,2185.0
270,630.0,2815.0
271,-1880.0,935.0
272,565.0,1500.0
273,-40.0,1460.0
274,-320.0,1140.0
275,40.0,1180.0
276,55.0,1235.0
277,-240.0,995.0
278,545.0,1540.0
279,-625.0,915.0
280,2525.0,3440.0
281,915.0,4355.0
282,620.0,4975.0
283,-30.0,4945.0
284,660.0,5605.0
285,-1160.0,4445.0
286,-200.0,4245.0
287,15.0,4260.0
288,45.0,4305.0
289,-445.0,3860.0
290,1140.0,5000.0
291,1220.0,6220.0
292,370.0,6590.0
293,-1035.0,5555.0
294,125.0,5680.0
295,-335.0,5345.0
296,-500.0,4845.0
297,245.0,5090.0
298,1360.0,6450.0
299,215.0,6665.0
300,1510.0,8175.0
301,-580.0,7595.0
302,-1935.0,5660.0
303,-2510.0,3150.0
304,625.0,3775.0
305,475.0,4250.0
306,30.0,4280.0
307,-110.0,4170.0
308,-835.0,3335.0
309,345.0,3680.0
310,205.0,3885.0
311,-1090.0,2795.0
312,5.0,2800.0
313,0.0,2800.0
314,-210.0,2590.0
315,360.0,2950.0
316,305.0,3255.0
317,625.0,3880.0
318,650.0,4530.0
319,-95.0,4435.0
320,-545.0,3890.0
321,-140.0,3750.0
322,995.0,4745.0
323,-245.0,4500.0
324,2145.0,6645.0
325,1225.0,7870.0
326,590.0,8460.0
327,-430.0,8030.0
328,-530.0,7500.0
329,-665.0,6835.0
330,-425.0,6410.0
331,155.0,6565.0
332,550.0,7115.0
333,-205.0,6910.0
334,-1325.0,5585.0
335,-500.0,5085.0
336,-1185.0,3900.0
337,-305.0,3595.0
338,-740.0,2855.0
339,-920.0,1935.0
340,-580.0,1355.0
341,505.0,1860.0
342,185.0,2045.0
343,385.0,2430.0
344,295.0,2725.0
345,450.0,3175.0
346,610.0,3785.0
347,-405.0,3380.0
348,195.0,3575.0
349,95.0,3670.0
350,-130.0,3540.0
351,-175.0,3365.0
352,-865.0,2500.0
353,125.0,2625.0
354,-250.0,2375.0
355,-410.0,1965.0
356,-85.0,1880.0
357,150.0,2030.0
358,850.0,2880.0
359,-350.0,2530.0
360,-510.0,2020.0
361,100.0,2120.0
362,765.0,2885.0
363,-260.0,2625.0
364,890.0,3515.0
365,-505.0,3010.0
366,690.0,3700.0
367,1060.0,4760.0
368,605.0,5365.0
369,435.0,5800.0
370,190.0,5990.0
371,195.0,6185.0
372,-65.0,6120.0
373,-965.0,5155.0
374,-110.0,5045.0
375,595.0,5640.0
376,510.0,6150.0
377,-395.0,5755.0
378,-375.0,5380.0
379,-525.0,4855.0
380,375.0,5230.0
381,-35.0,5195.0
382,50.0,5245.0
383,2050.0,7295.0
384,260.0,7555.0
385,430.0,7985.0
386,220.0,8205.0
387,1305.0,9510.0
388,-185.0,9325.0
389,-850.0,8475.0
390,255.0,8730.0
391,140.0,8870.0
392,-460.0,8410.0
393,-790.0,7620.0
394,-195.0,7425.0
395,545.0,7970.0
396,-25.0,7945.0
397,-945.0,7000.0
398,-185.0,6815.0
399,-705.0,6110.0
400,285.0,6395.0
401,-100.0,6295.0
402,-160.0,6135.0
403,-2625.0,3510.0
404,-250.0,3260.0
405,-1210.0,2050.0
406,865.0,2915.0
407,645.0,3560.0
408,570.0,4130.0
409,85.0,4215.0
410,-320.0,3895.0
411,280.0,4175.0
412,235.0,4410.0
413,3255.0,7665.0
414,170.0,7835.0
415,-770.0,7065.0
416,-420.0,6645.0
417,790.0,7435.0
418,230.0,7665.0
419,365.0,8030.0
420,-380.0,7650.0
421,220.0,7870.0
422,1740.0,9610.0
423,-160.0,9450.0
424,-145.0,9305.0
425,-105.0,9200.0
426,-355.0,8845.0
427,420.0,9265.0
428,75.0,9340.0
429,-1590.0,7750.0
430,-140.0,7610.0
431,760.0,8370.0
432,810.0,9180.0
433,-60.0,9120.0
434,170.0,9290.0
435,480.0,9770.0
436,865.0,10635.0
437,-420.0,10215.0
438,-1225.0,8990.0
439,425.0,9415.0
440,1370.0,10785.0
441,-2005.0,8780.0
442,-160.0,8620.0
443,280.0,8900.0
444,35.0,8935.0
445,-435.0,8500.0
446,125.0,8625.0
447,-80.0,8545.0
448,990.0,9535.0
449,-40.0,9495.0
450,395.0,9890.0
451,45.0,9935.0
452,70.0,10005.0
453,-50.0,9955.0
454,35.0,9990.0
455,135.0,10125.0
456,-195.0,9930.0
457,1590.0,11520.0
458,-480.0,11040.0
459,-20.0,11020.0
460,60.0,11080.0
461,390.0,11470.0
462,-805.0,10665.0
463,-255.0,10410.0
464,360.0,10770.0
465,-225.0,10545.0
466,-55.0,10490.0
467,-95.0,10395.0
468,-930.0,9465.0
469,-15.0,9450.0
470,-85.0,9365.0
471,-70.0,9295.0
472,465.0,9760.0
473,300.0,10060.0
474,140.0,10200.0
475,-110.0,10090.0
476,-675.0,9415.0
477,-570.0,8845.0
478,-65.0,8780.0
479,375.0,9155.0
480,-720.0,8435.0
481,-380.0,8055.0
482,345.0,8400.0
483,-1055.0,7345.0
484,50.0,7395.0
485,-410.0,6985.0
486,-1715.0,5270.0
487,-175.0,5095.0
488,1590.0,6685.0
489,-400.0,6285.0
490,310.0,6595.0
491,635.0,7230.0
492,80.0,7310.0
493,700.0,8010.0
494,-775.0,7235.0
495,200.0,7435.0
496,-5175.0,2260.0
497,-1685.0,575.0
498,-1850.0,-1275.0
499,570.0,-705.0
500,1125.0,420.0
501,170.0,590.0
502,1255.0,1845.0
503,-1200.0,645.0
504,-255.0,390.0
505,-755.0,-365.0
506,3330.0,2965.0
507,-310.0,2655.0
508,-1590.0,1065.0
509,455.0,1520.0
510,170.0,1690.0
511,-480.0,1210.0
512,-585.0,625.0
513,-1040.0,-415.0
514,-985.0,-1400.0
515,-125.0,-1525.0
516,145.0,-1380.0
517,-550.0,-1930.0
518,-805.0,-2735.0
519,-75.0,-2810.0
520,-1105.0,-3915.0
521,95.0,-3820.0
522,-120.0,-3940.0
523,1675.0,-2265.0
524,170.0,-2095.0
525,-340.0,-2435.0
526,1045.0,-1390.0
527,235.0,-1155.0
528,-735.0,-1890.0
529,-760.0,-2650.0
530,535.0,-2115.0
531,-285.0,-2400.0
532,-2060.0,-4460.0
533,3440.0,-1020.0
534,-1500.0,-2520.0
535,-595.0,-3115.0
536,375.0,-2740.0
537,465.0,-2275.0
538,-145.0,-2420.0
539,-105.0,-2525.0
540,-2370.0,-4895.0
541,-1975.0,-6870.0
542,185.0,-6685.0
543,240.0,-6445.0
544,-410.0,-6855.0
545,85.0,-6770.0
546,-490.0,-7260.0
547,-75.0,-7335.0
548,65.0,-7270.0
549,655.0,-6615.0
550,935.0,-5680.0
551,-600.0,-6280.0
552,455.0,-5825.0
553,220.0,-5605.0
554,-615.0,-6220.0
555,200.0,-6020.0
556,2375.0,-3645.0
557,745.0,-2900.0
558,-955.0,-3855.0
559,-425.0,-4280.0
560,625.0,-3655.0
561,385.0,-3270.0
562,-600.0,-3870.0
563,-170.0,-4040.0
564,40.0,-4000.0
565,530.0,-3470.0
566,250.0,-3220.0
567,-1180.0,-4400.0
568,-440.0,-4840.0
569,290.0,-4550.0
570,-95.0,-4645.0
571,-1330.0,-5975.0
572,1635.0,-4340.0
573,-655.0,-4995.0
574,0.0,-4995.0
575,-1320.0,-6315.0
576,-380.0,-6695.0
577,-855.0,-7550.0
578,305.0,-7245.0
579,-2570.0,-9815.0
580,1420.0,-8395.0
581,430.0,-7965.0
582,160.0,-7805.0
583,-360.0,-8165.0
584,-95.0,-8260.0
585,915.0,-7345.0
586,550.0,-6795.0
587,445.0,-6350.0
588,-250.0,-6600.0
589,-1140.0,-7740.0
590,-2115.0,-9855.0
591,-405.0,-10260.0
592,-200.0,-10460.0
593,-320.0,-10780.0
594,-350.0,-11130.0
595,-940.0,-12070.0
596,350.0,-11720.0
597,840.0,-10880.0
598,2135.0,-8745.0
599,380.0,-8365.0
600,2065.0,-6300.0
601,1155.0,-5145.0
602,-1265.0,-6410.0
603,195.0,-6215.0
604,510.0,-5705.0
605,600.0,-5105.0
606,-455.0,-5560.0
607,390.0,-5170.0
608,-25.0,-5195.0
609,-1785.0,-6980.0
610,-185.0,-7165.0
611,385.0,-6780.0
612,415.0,-6365.0
613,1705.0,-4660.0
614,60.0,-4600.0
615,625.0,-3975.0
616,945.0,-3030.0
617,-485.0,-3515.0
618,-40.0,-3555.0
619,20.0,-3535.0
620,-180.0,-3715.0
621,40.0,-3675.0
622,65.0,-3610.0
623,-150.0,-3760.0
624,-2325.0,-6085.0
625,1110.0,-4975.0
626,-265.0,-5240.0
627,-80.0,-5320.0
628,-860.0,-6180.0
629,-710.0,-6890.0
630,520.0,-6370.0
631,-810.0,-7180.0
632,505.0,-6675.0
633,0.0,-6675.0
634,-1035.0,-7710.0
635,-500.0,-8210.0
636,990.0,-7220.0
637,-70.0,-7290.0
638,-505.0,-7795.0
639,-855.0,-8650.0
640,-125.0,-8775.0
641,-135.0,-8910.0
642,-110.0,-9020.0
643,-275.0,-9295.0
644,2015.0,-7280.0
645,-620.0,-7900.0
646,1420.0,-6480.0
647,110.0,-6370.0
648,-810.0,-7180.0
649,-730.0,-7910.0
650,-515.0,-8425.0
651,305.0,-8120.0
652,-35.0,-8155.0
653,-375.0,-8530.0
