trade_index,pnl,cumulative_pnl
0,-620.1573364761425,-620.1573364761425
1,540.1573364761425,-80.0
2,-620.1573364761425,-700.1573364761425
3,-620.1573364761425,-1320.314672952285
4,-620.1573364761425,-1940.4720094284276
5,540.1573364761425,-1400.314672952285
6,540.1573364761425,-860.1573364761425
7,-450.0,-1310.1573364761425
8,-420.0,-1730.1573364761425
9,-620.1573364761425,-2350.314672952285
10,-620.1573364761425,-2970.4720094284276
11,540.1573364761425,-2430.314672952285
12,540.1573364761425,-1890.1573364761425
13,-620.1573364761425,-2510.314672952285
14,540.1573364761425,-1970.1573364761425
15,540.1573364761425,-1430.0
16,540.1573364761425,-889.8426635238575
17,540.1573364761425,-349.68532704771496
18,-620.1573364761425,-969.8426635238575
19,540.1573364761425,-429.68532704771496
20,540.1573364761425,110.47200942842755
21,540.1573364761425,650.6293459045701
22,-620.1573364761425,30.472009428427555
23,-620.1573364761425,-589.685327047715
24,-620.1573364761425,-1209.8426635238575
25,-620.1573364761425,-1830.0
26,-620.1573364761425,-2450.1573364761425
27,-620.1573364761425,-3070.314672952285
28,-620.1573364761425,-3690.4720094284276
29,-620.1573364761425,-4310.62934590457
30,-620.1573364761425,-4930.786682380713
31,540.1573364761425,-4390.62934590457
32,-620.1573364761425,-5010.786682380713
33,540.1573364761425,-4470.62934590457
34,-620.1573364761425,-5090.786682380713
35,-620.1573364761425,-5710.944018856855
36,540.1573364761425,-5170.786682380713
37,540.1573364761425,-4630.62934590457
38,540.1573364761425,-4090.4720094284276
39,-620.1573364761425,-4710.62934590457
40,540.1573364761425,-4170.472009428428
41,-620.1573364761425,-4790.62934590457
42,540.1573364761425,-4250.472009428428
43,-620.1573364761425,-4870.62934590457
44,-620.1573364761425,-5490.786682380713
45,-620.1573364761425,-6110.944018856855
46,-620.1573364761425,-6731.101355332998
47,540.1573364761425,-6190.944018856855
48,-620.1573364761425,-6811.101355332998
49,540.1573364761425,-6270.944018856855
50,-620.1573364761425,-6891.101355332998
51,-620.1573364761425,-7511.25869180914
52,-620.1573364761425,-8131.416028285283
53,-620.1573364761425,-8751.573364761425
54,-620.1573364761425,-9371.730701237568
55,-620.1573364761425,-9991.88803771371
56,-620.1573364761425,-10612.045374189853
57,540.1573364761425,-10071.88803771371
58,-620.1573364761425,-10692.045374189853
59,540.1573364761425,-10151.88803771371
60,540.1573364761425,-9611.730701237568
61,-620.1573364761425,-10231.88803771371
62,-620.1573364761425,-10852.045374189853
63,-620.1573364761425,-11472.202710665995
64,-620.1573364761425,-12092.360047142138
65,540.1573364761425,-11552.202710665995
66,540.1573364761425,-11012.045374189853
67,540.1573364761425,-10471.88803771371
68,-620.1573364761425,-11092.045374189853
69,-620.1573364761425,-11712.202710665995
70,-620.1573364761425,-12332.360047142138
71,540.1573364761425,-11792.202710665995
72,-620.1573364761425,-12412.360047142138
73,540.1573364761425,-11872.202710665995
74,540.1573364761425,-11332.045374189853
75,-620.1573364761425,-11952.202710665995
76,-620.1573364761425,-12572.360047142138
77,540.1573364761425,-12032.202710665995
78,540.1573364761425,-11492.045374189853
79,-620.1573364761425,-12112.202710665995
80,-620.1573364761425,-12732.360047142138
81,540.1573364761425,-12192.202710665995
82,-620.1573364761425,-12812.360047142138
83,540.1573364761425,-12272.202710665995
84,-620.1573364761425,-12892.360047142138
85,-620.1573364761425,-13512.51738361828
86,-620.1573364761425,-14132.674720094423
87,540.1573364761425,-13592.51738361828
88,540.1573364761425,-13052.360047142138
89,-620.1573364761425,-13672.51738361828
90,-620.1573364761425,-14292.674720094423
91,-620.1573364761425,-14912.832056570565
92,-620.1573364761425,-15532.989393046708
93,-620.1573364761425,-16153.14672952285
94,-620.1573364761425,-16773.304065998993
95,540.1573364761425,-16233.14672952285
96,-620.1573364761425,-16853.304065998993
97,-295.0,-17148.304065998993
98,-620.1573364761425,-17768.461402475135
99,540.1573364761425,-17228.304065998993
100,540.1573364761425,-16688.14672952285
101,540.1573364761425,-16147.989393046708
102,540.1573364761425,-15607.832056570565
103,-620.1573364761425,-16227.989393046708
104,-620.1573364761425,-16848.14672952285
105,540.1573364761425,-16307.989393046708
106,-620.1573364761425,-16928.14672952285
107,540.1573364761425,-16387.989393046708
108,-620.1573364761425,-17008.14672952285
109,540.1573364761425,-16467.989393046708
110,540.1573364761425,-15927.832056570565
111,540.1573364761425,-15387.674720094423
112,540.1573364761425,-14847.51738361828
113,-620.1573364761425,-15467.674720094423
114,-620.1573364761425,-16087.832056570565
115,540.1573364761425,-15547.674720094423
116,-620.1573364761425,-16167.832056570565
117,540.1573364761425,-15627.674720094423
118,-620.1573364761425,-16247.832056570565
119,-620.1573364761425,-16867.989393046708
120,-620.1573364761425,-17488.14672952285
121,-620.1573364761425,-18108.304065998993
