trade_index,pnl,cumulative_pnl
0,-290.0,-290.0
1,540.1573364761425,250.15733647614252
2,540.1573364761425,790.314672952285
3,540.1573364761425,1330.4720094284276
4,-15.0,1315.4720094284276
5,95.0,1410.4720094284276
6,-620.1573364761425,790.314672952285
7,-620.1573364761425,170.15733647614252
8,-620.1573364761425,-450.0
9,-620.1573364761425,-1070.1573364761425
10,-620.1573364761425,-1690.314672952285
11,-620.1573364761425,-2310.4720094284276
12,-620.1573364761425,-2930.62934590457
13,540.1573364761425,-2390.4720094284276
14,-620.1573364761425,-3010.62934590457
15,540.1573364761425,-2470.4720094284276
16,540.1573364761425,-1930.314672952285
17,-620.1573364761425,-2550.4720094284276
18,-620.1573364761425,-3170.62934590457
19,540.1573364761425,-2630.4720094284276
20,540.1573364761425,-2090.314672952285
21,540.1573364761425,-1550.1573364761425
22,-620.1573364761425,-2170.314672952285
23,540.1573364761425,-1630.1573364761425
24,-620.1573364761425,-2250.314672952285
25,-620.1573364761425,-2870.4720094284276
26,-620.1573364761425,-3490.62934590457
27,-620.1573364761425,-4110.786682380713
28,540.1573364761425,-3570.62934590457
29,540.1573364761425,-3030.4720094284276
30,540.1573364761425,-2490.314672952285
31,540.1573364761425,-1950.1573364761425
32,-620.1573364761425,-2570.314672952285
33,-620.1573364761425,-3190.4720094284276
34,-620.1573364761425,-3810.62934590457
35,540.1573364761425,-3270.4720094284276
36,540.1573364761425,-2730.314672952285
37,540.1573364761425,-2190.1573364761425
38,-5.0,-2195.1573364761425
39,-225.0,-2420.1573364761425
40,-240.0,-2660.1573364761425
41,-620.1573364761425,-3280.314672952285
42,-620.1573364761425,-3900.4720094284276
43,540.1573364761425,-3360.314672952285
44,540.1573364761425,-2820.1573364761425
45,-620.1573364761425,-3440.314672952285
46,-620.1573364761425,-4060.4720094284276
47,540.1573364761425,-3520.314672952285
48,-620.1573364761425,-4140.472009428428
49,540.1573364761425,-3600.314672952285
50,-245.0,-3845.314672952285
51,-450.0,-4295.314672952285
52,340.0,-3955.314672952285
53,-620.1573364761425,-4575.472009428428
54,540.1573364761425,-4035.314672952285
55,540.1573364761425,-3495.1573364761425
56,-620.1573364761425,-4115.314672952285
57,-620.1573364761425,-4735.472009428428
58,540.1573364761425,-4195.314672952285
59,-620.1573364761425,-4815.472009428428
60,-620.1573364761425,-5435.62934590457
61,540.1573364761425,-4895.472009428428
62,135.0,-4760.472009428428
63,540.1573364761425,-4220.314672952285
64,540.1573364761425,-3680.1573364761425
65,540.1573364761425,-3140.0
66,540.1573364761425,-2599.8426635238575
67,-620.1573364761425,-3220.0
68,540.1573364761425,-2679.8426635238575
69,-620.1573364761425,-3300.0
70,-620.1573364761425,-3920.1573364761425
71,540.1573364761425,-3380.0
72,125.0,-3255.0
73,540.1573364761425,-2714.8426635238575
74,-620.1573364761425,-3335.0
75,-620.1573364761425,-3955.1573364761425
76,-620.1573364761425,-4575.314672952285
77,540.1573364761425,-4035.1573364761425
78,-620.1573364761425,-4655.314672952285
79,-620.1573364761425,-5275.472009428428
80,540.1573364761425,-4735.314672952285
81,-620.1573364761425,-5355.472009428428
82,-620.1573364761425,-5975.62934590457
83,-620.1573364761425,-6595.786682380713
84,-620.1573364761425,-7215.944018856855
85,-620.1573364761425,-7836.101355332998
86,540.1573364761425,-7295.944018856855
87,540.1573364761425,-6755.786682380713
88,-620.1573364761425,-7375.944018856855
89,540.1573364761425,-6835.786682380713
90,70.0,-6765.786682380713
91,115.0,-6650.786682380713
92,-125.0,-6775.786682380713
93,-620.1573364761425,-7395.944018856855
94,540.1573364761425,-6855.786682380713
95,-620.1573364761425,-7475.944018856855
96,540.1573364761425,-6935.786682380713
97,540.1573364761425,-6395.62934590457
98,-620.1573364761425,-7015.786682380713
99,540.1573364761425,-6475.62934590457
100,540.1573364761425,-5935.472009428428
101,540.1573364761425,-5395.314672952285
102,-620.1573364761425,-6015.472009428428
103,-620.1573364761425,-6635.62934590457
104,540.1573364761425,-6095.472009428428
105,540.1573364761425,-5555.314672952285
106,540.1573364761425,-5015.1573364761425
107,540.1573364761425,-4475.0
108,540.1573364761425,-3934.8426635238575
109,-620.1573364761425,-4555.0
110,-420.0,-4975.0
111,-620.1573364761425,-5595.1573364761425
112,-325.0,-5920.1573364761425
113,540.1573364761425,-5380.0
114,540.1573364761425,-4839.8426635238575
115,540.1573364761425,-4299.685327047715
116,540.1573364761425,-3759.5279905715724
117,-620.1573364761425,-4379.685327047715
118,-620.1573364761425,-4999.8426635238575
119,540.1573364761425,-4459.685327047715
120,255.0,-4204.685327047715
121,-180.0,-4384.685327047715
122,-135.0,-4519.685327047715
123,540.1573364761425,-3979.5279905715724
124,540.1573364761425,-3439.37065409543
125,540.1573364761425,-2899.2133176192874
126,540.1573364761425,-2359.055981143145
127,540.1573364761425,-1818.8986446670024
128,540.1573364761425,-1278.7413081908599
129,540.1573364761425,-738.5839717147173
130,-45.0,-783.5839717147173
131,45.0,-738.5839717147173
132,-55.0,-793.5839717147173
133,-620.1573364761425,-1413.7413081908599
134,-620.1573364761425,-2033.8986446670024
135,-620.1573364761425,-2654.055981143145
136,-620.1573364761425,-3274.2133176192874
137,540.1573364761425,-2734.055981143145
138,540.1573364761425,-2193.8986446670024
139,540.1573364761425,-1653.7413081908599
140,265.0,-1388.7413081908599
141,540.1573364761425,-848.5839717147173
142,540.1573364761425,-308.4266352385748
143,540.1573364761425,231.7307012375677
144,540.1573364761425,771.8880377137102
145,-620.1573364761425,151.7307012375677
146,-620.1573364761425,-468.4266352385748
147,540.1573364761425,71.7307012375677
148,-345.0,-273.2692987624323
149,-620.1573364761425,-893.4266352385748
150,-620.1573364761425,-1513.5839717147173
151,0.0,-1513.5839717147173
152,45.0,-1468.5839717147173
153,540.1573364761425,-928.4266352385748
154,540.1573364761425,-388.2692987624323
155,540.1573364761425,151.88803771371022
156,540.1573364761425,692.0453741898527
157,-620.1573364761425,71.88803771371022
158,-620.1573364761425,-548.2692987624323
159,540.1573364761425,-8.111962286289781
160,85.0,76.88803771371022
161,-270.0,-193.11196228628978
162,-620.1573364761425,-813.2692987624323
163,-620.1573364761425,-1433.4266352385748
164,540.1573364761425,-893.2692987624323
165,540.1573364761425,-353.1119622862898
166,540.1573364761425,187.04537418985274
167,-620.1573364761425,-433.1119622862898
168,540.1573364761425,107.04537418985274
169,-620.1573364761425,-513.1119622862898
170,80.0,-433.1119622862898
171,-125.0,-558.1119622862898
172,-20.0,-578.1119622862898
173,540.1573364761425,-37.95462581014726
174,540.1573364761425,502.20271066599526
