trade_index,pnl,cumulative_pnl
0,540.1573364761425,540.1573364761425
1,540.1573364761425,1080.314672952285
2,-15.0,1065.314672952285
3,95.0,1160.314672952285
4,-620.1573364761425,540.1573364761425
5,-620.1573364761425,-80.0
6,-620.1573364761425,-700.1573364761425
7,-620.1573364761425,-1320.314672952285
8,-620.1573364761425,-1940.4720094284276
9,-620.1573364761425,-2560.62934590457
10,-620.1573364761425,-3180.7866823807126
11,540.1573364761425,-2640.62934590457
12,-620.1573364761425,-3260.7866823807126
13,540.1573364761425,-2720.62934590457
14,540.1573364761425,-2180.4720094284276
15,-620.1573364761425,-2800.62934590457
16,-620.1573364761425,-3420.7866823807126
17,540.1573364761425,-2880.62934590457
18,540.1573364761425,-2340.4720094284276
19,540.1573364761425,-1800.314672952285
20,-620.1573364761425,-2420.4720094284276
21,-620.1573364761425,-3040.62934590457
22,-620.1573364761425,-3660.7866823807126
23,-620.1573364761425,-4280.944018856855
24,-620.1573364761425,-4901.101355332998
25,540.1573364761425,-4360.944018856855
26,540.1573364761425,-3820.7866823807126
27,-620.1573364761425,-4440.944018856855
28,-620.1573364761425,-5061.101355332998
29,-620.1573364761425,-5681.25869180914
30,540.1573364761425,-5141.101355332998
31,540.1573364761425,-4600.944018856855
32,-5.0,-4605.944018856855
33,-225.0,-4830.944018856855
34,-240.0,-5070.944018856855
35,-620.1573364761425,-5691.101355332998
36,-620.1573364761425,-6311.25869180914
37,-620.1573364761425,-6931.416028285283
38,540.1573364761425,-6391.25869180914
39,-620.1573364761425,-7011.416028285283
40,540.1573364761425,-6471.25869180914
41,-245.0,-6716.25869180914
42,-450.0,-7166.25869180914
43,-620.1573364761425,-7786.416028285283
44,540.1573364761425,-7246.25869180914
45,-620.1573364761425,-7866.416028285283
46,540.1573364761425,-7326.25869180914
47,-620.1573364761425,-7946.416028285283
48,540.1573364761425,-7406.25869180914
49,540.1573364761425,-6866.101355332998
50,540.1573364761425,-6325.944018856855
51,-620.1573364761425,-6946.101355332998
52,540.1573364761425,-6405.944018856855
53,125.0,-6280.944018856855
54,540.1573364761425,-5740.786682380713
55,-620.1573364761425,-6360.944018856855
56,-620.1573364761425,-6981.101355332998
57,-620.1573364761425,-7601.25869180914
58,540.1573364761425,-7061.101355332998
59,-620.1573364761425,-7681.25869180914
60,-620.1573364761425,-8301.416028285283
61,540.1573364761425,-7761.25869180914
62,-620.1573364761425,-8381.416028285283
63,-620.1573364761425,-9001.573364761425
64,-620.1573364761425,-9621.730701237568
65,-620.1573364761425,-10241.88803771371
66,-620.1573364761425,-10862.045374189853
67,540.1573364761425,-10321.88803771371
68,540.1573364761425,-9781.730701237568
69,-620.1573364761425,-10401.88803771371
70,540.1573364761425,-9861.730701237568
71,70.0,-9791.730701237568
72,115.0,-9676.730701237568
73,-125.0,-9801.730701237568
74,-620.1573364761425,-10421.88803771371
75,540.1573364761425,-9881.730701237568
76,-620.1573364761425,-10501.88803771371
77,540.1573364761425,-9961.730701237568
78,540.1573364761425,-9421.573364761425
79,540.1573364761425,-8881.416028285283
80,-620.1573364761425,-9501.573364761425
81,540.1573364761425,-8961.416028285283
82,540.1573364761425,-8421.25869180914
83,540.1573364761425,-7881.101355332998
84,540.1573364761425,-7340.944018856855
85,540.1573364761425,-6800.786682380713
86,-620.1573364761425,-7420.944018856855
87,-420.0,-7840.944018856855
88,-620.1573364761425,-8461.101355332998
89,-325.0,-8786.101355332998
90,540.1573364761425,-8245.944018856855
91,540.1573364761425,-7705.786682380713
92,540.1573364761425,-7165.62934590457
93,540.1573364761425,-6625.472009428428
94,-620.1573364761425,-7245.62934590457
95,-620.1573364761425,-7865.786682380713
96,540.1573364761425,-7325.62934590457
97,255.0,-7070.62934590457
98,-180.0,-7250.62934590457
99,-135.0,-7385.62934590457
100,540.1573364761425,-6845.472009428428
101,540.1573364761425,-6305.314672952285
102,540.1573364761425,-5765.1573364761425
103,540.1573364761425,-5225.0
104,540.1573364761425,-4684.8426635238575
105,540.1573364761425,-4144.685327047715
106,45.0,-4099.685327047715
107,-620.1573364761425,-4719.8426635238575
108,-620.1573364761425,-5340.0
109,-620.1573364761425,-5960.1573364761425
110,540.1573364761425,-5420.0
111,265.0,-5155.0
112,540.1573364761425,-4614.8426635238575
113,540.1573364761425,-4074.685327047715
114,540.1573364761425,-3534.5279905715724
115,-270.0,-3804.5279905715724
116,-620.1573364761425,-4424.685327047715
117,540.1573364761425,-3884.5279905715724
118,-620.1573364761425,-4504.685327047715
119,540.1573364761425,-3964.5279905715724
120,540.1573364761425,-3424.37065409543
121,540.1573364761425,-2884.2133176192874
122,540.1573364761425,-2344.055981143145
123,540.1573364761425,-1803.8986446670024
124,540.1573364761425,-1263.7413081908599
125,540.1573364761425,-723.5839717147173
126,540.1573364761425,-183.42663523857482
127,70.0,-113.42663523857482
128,-250.0,-363.4266352385748
129,-620.1573364761425,-983.5839717147173
130,-620.1573364761425,-1603.7413081908599
131,-620.1573364761425,-2223.8986446670024
132,-620.1573364761425,-2844.055981143145
133,-620.1573364761425,-3464.2133176192874
134,-45.0,-3509.2133176192874
135,-255.0,-3764.2133176192874
136,-620.1573364761425,-4384.37065409543
137,540.1573364761425,-3844.2133176192874
138,540.1573364761425,-3304.055981143145
139,540.1573364761425,-2763.8986446670024
140,-620.1573364761425,-3384.055981143145
141,125.0,-3259.055981143145
142,-95.0,-3354.055981143145
143,540.1573364761425,-2813.8986446670024
144,540.1573364761425,-2273.74130819086
145,540.1573364761425,-1733.5839717147173
146,540.1573364761425,-1193.4266352385748
147,-95.0,-1288.4266352385748
148,-620.1573364761425,-1908.5839717147173
149,-620.1573364761425,-2528.74130819086
