trade_index,pnl,cumulative_pnl
0,170.0,170.0
1,140.0,310.0
2,-435.0,-125.0
3,-285.0,-410.0
4,-205.0,-615.0
5,-20.0,-635.0
6,115.0,-520.0
7,-75.0,-595.0
8,-315.0,-910.0
9,1780.0,870.0
10,1350.0,2220.0
11,1320.0,3540.0
12,2510.0,6050.0
13,-800.0,5250.0
14,915.0,6165.0
15,-255.0,5910.0
16,-1135.0,4775.0
17,-125.0,4650.0
18,840.0,5490.0
19,155.0,5645.0
20,-540.0,5105.0
21,-615.0,4490.0
22,115.0,4605.0
23,40.0,4645.0
24,665.0,5310.0
25,-335.0,4975.0
26,1425.0,6400.0
27,705.0,7105.0
28,-630.0,6475.0
29,-1020.0,5455.0
30,260.0,5715.0
31,-335.0,5380.0
32,-275.0,5105.0
33,-730.0,4375.0
34,670.0,5045.0
35,180.0,5225.0
36,-720.0,4505.0
37,20.0,4525.0
38,95.0,4620.0
39,-190.0,4430.0
40,-120.0,4310.0
41,90.0,4400.0
42,-125.0,4275.0
43,-205.0,4070.0
44,-545.0,3525.0
45,-50.0,3475.0
46,620.0,4095.0
47,50.0,4145.0
48,-765.0,3380.0
49,-360.0,3020.0
50,-215.0,2805.0
51,145.0,2950.0
52,-270.0,2680.0
53,-25.0,2655.0
54,400.0,3055.0
55,115.0,3170.0
56,-415.0,2755.0
57,-1725.0,1030.0
58,405.0,1435.0
59,1330.0,2765.0
60,-460.0,2305.0
61,-765.0,1540.0
62,130.0,1670.0
63,-240.0,1430.0
64,-70.0,1360.0
65,-155.0,1205.0
66,-1920.0,-715.0
67,635.0,-80.0
68,-215.0,-295.0
69,-235.0,-530.0
70,-510.0,-1040.0
71,445.0,-595.0
72,40.0,-555.0
73,-135.0,-690.0
74,-115.0,-805.0
75,-115.0,-920.0
76,2160.0,1240.0
77,-195.0,1045.0
78,460.0,1505.0
79,515.0,2020.0
80,-320.0,1700.0
81,-35.0,1665.0
82,-190.0,1475.0
83,460.0,1935.0
84,570.0,2505.0
85,1345.0,3850.0
86,-3620.0,230.0
87,1295.0,1525.0
88,-1080.0,445.0
89,580.0,1025.0
90,-115.0,910.0
91,-140.0,770.0
92,-90.0,680.0
93,75.0,755.0
94,-160.0,595.0
95,100.0,695.0
96,30.0,725.0
97,-285.0,440.0
98,-320.0,120.0
99,-795.0,-675.0
100,-40.0,-715.0
101,35.0,-680.0
102,-55.0,-735.0
103,525.0,-210.0
104,-325.0,-535.0
105,-145.0,-680.0
106,50.0,-630.0
107,-860.0,-1490.0
108,-510.0,-2000.0
109,300.0,-1700.0
110,-105.0,-1805.0
111,315.0,-1490.0
112,95.0,-1395.0
113,-85.0,-1480.0
114,305.0,-1175.0
115,-190.0,-1365.0
116,70.0,-1295.0
117,455.0,-840.0
118,445.0,-395.0
119,-400.0,-795.0
120,-385.0,-1180.0
121,35.0,-1145.0
122,-45.0,-1190.0
123,-60.0,-1250.0
124,50.0,-1200.0
125,-10.0,-1210.0
126,-765.0,-1975.0
127,-660.0,-2635.0
128,-495.0,-3130.0
129,-320.0,-3450.0
130,-160.0,-3610.0
131,-210.0,-3820.0
132,185.0,-3635.0
133,20.0,-3615.0
134,-240.0,-3855.0
135,-110.0,-3965.0
136,910.0,-3055.0
137,215.0,-2840.0
138,-620.0,-3460.0
139,-405.0,-3865.0
140,245.0,-3620.0
141,-515.0,-4135.0
142,-25.0,-4160.0
143,-170.0,-4330.0
144,-460.0,-4790.0
145,-225.0,-5015.0
146,410.0,-4605.0
147,350.0,-4255.0
148,-50.0,-4305.0
149,215.0,-4090.0
150,65.0,-4025.0
151,-85.0,-4110.0
152,330.0,-3780.0
153,-395.0,-4175.0
154,-50.0,-4225.0
155,-130.0,-4355.0
156,-1420.0,-5775.0
157,415.0,-5360.0
158,135.0,-5225.0
159,-535.0,-5760.0
160,-140.0,-5900.0
161,-260.0,-6160.0
162,170.0,-5990.0
163,-55.0,-6045.0
164,215.0,-5830.0
165,295.0,-5535.0
166,-1035.0,-6570.0
167,1270.0,-5300.0
168,-85.0,-5385.0
169,360.0,-5025.0
170,170.0,-4855.0
171,170.0,-4685.0
172,-30.0,-4715.0
173,-350.0,-5065.0
174,135.0,-4930.0
175,65.0,-4865.0
176,-515.0,-5380.0
177,-160.0,-5540.0
178,350.0,-5190.0
179,-1110.0,-6300.0
180,-205.0,-6505.0
181,-335.0,-6840.0
182,-105.0,-6945.0
183,140.0,-6805.0
184,-120.0,-6925.0
185,-60.0,-6985.0
186,-1095.0,-8080.0
187,-635.0,-8715.0
188,-65.0,-8780.0
189,-115.0,-8895.0
190,-55.0,-8950.0
191,5.0,-8945.0
192,-105.0,-9050.0
193,320.0,-8730.0
194,-170.0,-8900.0
195,-265.0,-9165.0
196,560.0,-8605.0
197,540.0,-8065.0
198,515.0,-7550.0
199,25.0,-7525.0
200,-65.0,-7590.0
201,60.0,-7530.0
202,-175.0,-7705.0
203,35.0,-7670.0
204,135.0,-7535.0
205,70.0,-7465.0
206,-285.0,-7750.0
207,-60.0,-7810.0
208,-130.0,-7940.0
209,-315.0,-8255.0
210,-120.0,-8375.0
211,120.0,-8255.0
212,-10.0,-8265.0
213,-205.0,-8470.0
214,-185.0,-8655.0
215,-35.0,-8690.0
216,-75.0,-8765.0
217,-940.0,-9705.0
218,-275.0,-9980.0
219,130.0,-9850.0
220,-395.0,-10245.0
221,80.0,-10165.0
222,80.0,-10085.0
223,275.0,-9810.0
224,250.0,-9560.0
225,175.0,-9385.0
226,250.0,-9135.0
227,175.0,-8960.0
228,-560.0,-9520.0
229,-290.0,-9810.0
230,220.0,-9590.0
231,-200.0,-9790.0
232,10.0,-9780.0
233,-70.0,-9850.0
234,175.0,-9675.0
235,-245.0,-9920.0
236,880.0,-9040.0
237,85.0,-8955.0
238,20.0,-8935.0
239,365.0,-8570.0
240,-100.0,-8670.0
241,-165.0,-8835.0
242,50.0,-8785.0
