trade_index,pnl,cumulative_pnl
0,-60.0,-60.0
1,235.0,175.0
2,-1860.0,-1685.0
3,-235.0,-1920.0
4,-195.0,-2115.0
5,-745.0,-2860.0
6,-1505.0,-4365.0
7,550.0,-3815.0
8,-340.0,-4155.0
9,195.0,-3960.0
10,-750.0,-4710.0
11,-260.0,-4970.0
12,640.0,-4330.0
13,-175.0,-4505.0
14,40.0,-4465.0
15,-170.0,-4635.0
16,45.0,-4590.0
17,465.0,-4125.0
18,-30.0,-4155.0
19,685.0,-3470.0
20,280.0,-3190.0
21,190.0,-3000.0
22,-55.0,-3055.0
23,-480.0,-3535.0
24,-195.0,-3730.0
25,335.0,-3395.0
26,1645.0,-1750.0
27,-1410.0,-3160.0
28,685.0,-2475.0
29,75.0,-2400.0
30,1840.0,-560.0
31,80.0,-480.0
32,-605.0,-1085.0
33,245.0,-840.0
34,65.0,-775.0
35,-130.0,-905.0
36,780.0,-125.0
37,430.0,305.0
38,-380.0,-75.0
39,-395.0,-470.0
40,5.0,-465.0
41,-385.0,-850.0
42,110.0,-740.0
43,-525.0,-1265.0
44,320.0,-945.0
45,-35.0,-980.0
46,-20.0,-1000.0
47,-130.0,-1130.0
48,685.0,-445.0
49,415.0,-30.0
50,80.0,50.0
51,130.0,180.0
52,-265.0,-85.0
53,160.0,75.0
54,30.0,105.0
55,-990.0,-885.0
56,540.0,-345.0
57,325.0,-20.0
58,90.0,70.0
59,-430.0,-360.0
60,-295.0,-655.0
61,5.0,-650.0
62,315.0,-335.0
63,50.0,-285.0
64,-495.0,-780.0
65,-215.0,-995.0
66,455.0,-540.0
67,-25.0,-565.0
68,-295.0,-860.0
69,955.0,95.0
70,5.0,100.0
71,-440.0,-340.0
72,-250.0,-590.0
73,-215.0,-805.0
74,435.0,-370.0
75,-430.0,-800.0
76,25.0,-775.0
77,40.0,-735.0
78,-20.0,-755.0
79,1015.0,260.0
80,-15.0,245.0
81,35.0,280.0
82,-25.0,255.0
83,90.0,345.0
84,185.0,530.0
85,-595.0,-65.0
86,-45.0,-110.0
87,195.0,85.0
88,-210.0,-125.0
89,-330.0,-455.0
90,-255.0,-710.0
91,-330.0,-1040.0
92,-255.0,-1295.0
93,165.0,-1130.0
94,-165.0,-1295.0
95,-100.0,-1395.0
96,-445.0,-1840.0
97,20.0,-1820.0
98,435.0,-1385.0
99,90.0,-1295.0
100,15.0,-1280.0
101,-295.0,-1575.0
102,285.0,-1290.0
103,-215.0,-1505.0
104,195.0,-1310.0
105,-820.0,-2130.0
106,1355.0,-775.0
107,-285.0,-1060.0
108,205.0,-855.0
109,210.0,-645.0
110,-160.0,-805.0
111,1985.0,1180.0
112,700.0,1880.0
113,135.0,2015.0
114,-80.0,1935.0
115,585.0,2520.0
116,-260.0,2260.0
117,1970.0,4230.0
118,190.0,4420.0
119,-140.0,4280.0
120,-245.0,4035.0
121,1225.0,5260.0
122,-430.0,4830.0
123,-665.0,4165.0
124,155.0,4320.0
125,-205.0,4115.0
126,-500.0,3615.0
127,-305.0,3310.0
128,-920.0,2390.0
129,505.0,2895.0
130,-865.0,2030.0
131,-250.0,1780.0
132,-410.0,1370.0
133,-85.0,1285.0
134,-350.0,935.0
135,-510.0,425.0
136,100.0,525.0
137,765.0,1290.0
138,-260.0,1030.0
139,890.0,1920.0
140,690.0,2610.0
141,190.0,2800.0
142,195.0,2995.0
143,-65.0,2930.0
144,-965.0,1965.0
145,-110.0,1855.0
146,595.0,2450.0
147,510.0,2960.0
148,-375.0,2585.0
149,375.0,2960.0
150,430.0,3390.0
151,220.0,3610.0
152,-185.0,3425.0
153,255.0,3680.0
154,140.0,3820.0
155,760.0,4580.0
156,865.0,5445.0
157,425.0,5870.0
158,280.0,6150.0
159,-195.0,5955.0
160,1590.0,7545.0
161,-480.0,7065.0
162,-20.0,7045.0
163,360.0,7405.0
164,-675.0,6730.0
165,-570.0,6160.0
166,-65.0,6095.0
167,-380.0,5715.0
168,-1055.0,4660.0
169,-175.0,4485.0
170,1590.0,6075.0
171,-400.0,5675.0
172,200.0,5875.0
173,-5175.0,700.0
174,-1850.0,-1150.0
175,570.0,-580.0
176,3330.0,2750.0
177,-1590.0,1160.0
178,465.0,1625.0
179,-405.0,1220.0
180,-480.0,740.0
181,-585.0,155.0
182,-1040.0,-885.0
183,-985.0,-1870.0
184,-1040.0,-2910.0
185,155.0,-2755.0
186,-310.0,-3065.0
187,145.0,-2920.0
188,-805.0,-3725.0
189,-320.0,-4045.0
190,-550.0,-4595.0
191,1140.0,-3455.0
192,650.0,-2805.0
193,-260.0,-3065.0
194,-75.0,-3140.0
195,-1105.0,-4245.0
196,95.0,-4150.0
197,-120.0,-4270.0
198,1025.0,-3245.0
199,170.0,-3075.0
200,-340.0,-3415.0
201,1045.0,-2370.0
202,-1140.0,-3510.0
203,2580.0,-930.0
204,120.0,-810.0
205,235.0,-575.0
206,-760.0,-1335.0
207,535.0,-800.0
208,-2060.0,-2860.0
209,-395.0,-3255.0
210,-255.0,-3510.0
211,2375.0,-1135.0
212,-955.0,-2090.0
213,-425.0,-2515.0
214,385.0,-2130.0
215,-170.0,-2300.0
216,-180.0,-2480.0
217,-785.0,-3265.0
218,530.0,-2735.0
219,250.0,-2485.0
220,-1180.0,-3665.0
221,290.0,-3375.0
222,-95.0,-3470.0
223,-1330.0,-4800.0
224,1635.0,-3165.0
225,-655.0,-3820.0
226,-150.0,-3970.0
227,0.0,-3970.0
228,-380.0,-4350.0
229,-45.0,-4395.0
230,-2665.0,-7060.0
231,-195.0,-7255.0
232,-180.0,-7435.0
233,540.0,-6895.0
234,-1655.0,-8550.0
235,-1180.0,-9730.0
236,80.0,-9650.0
237,-920.0,-10570.0
238,295.0,-10275.0
239,145.0,-10130.0
240,90.0,-10040.0
241,-960.0,-11000.0
242,-215.0,-11215.0
243,-1340.0,-12555.0
244,-405.0,-12960.0
245,35.0,-12925.0
246,335.0,-12590.0
247,285.0,-12305.0
248,-620.0,-12925.0
249,-195.0,-13120.0
250,265.0,-12855.0
251,-340.0,-13195.0
252,-640.0,-13835.0
253,-585.0,-14420.0
254,-30.0,-14450.0
255,-65.0,-14515.0
256,-465.0,-14980.0
257,285.0,-14695.0
258,775.0,-13920.0
259,-95.0,-14015.0
260,-350.0,-14365.0
261,-105.0,-14470.0
262,-1230.0,-15700.0
263,245.0,-15455.0
264,185.0,-15270.0
265,-275.0,-15545.0
266,-165.0,-15710.0
267,55.0,-15655.0
268,30.0,-15625.0
269,-1310.0,-16935.0
270,-730.0,-17665.0
271,815.0,-16850.0
272,65.0,-16785.0
273,-615.0,-17400.0
274,-100.0,-17500.0
275,105.0,-17395.0
276,0.0,-17395.0
277,-3210.0,-20605.0
278,280.0,-20325.0
279,240.0,-20085.0
280,190.0,-19895.0
281,625.0,-19270.0
282,110.0,-19160.0
283,-255.0,-19415.0
284,230.0,-19185.0
285,2080.0,-17105.0
286,-725.0,-17830.0
287,-1635.0,-19465.0
288,45.0,-19420.0
289,-35.0,-19455.0
290,400.0,-19055.0
291,30.0,-19025.0
292,-615.0,-19640.0
293,-215.0,-19855.0
294,1115.0,-18740.0
295,5.0,-18735.0
296,-105.0,-18840.0
297,-2940.0,-21780.0
298,-725.0,-22505.0
299,-300.0,-22805.0
300,15.0,-22790.0
301,525.0,-22265.0
302,-555.0,-22820.0
303,110.0,-22710.0
304,80.0,-22630.0
305,-175.0,-22805.0
306,160.0,-22645.0
307,0.0,-22645.0
308,1095.0,-21550.0
309,-225.0,-21775.0
310,230.0,-21545.0
311,-860.0,-22405.0
312,-180.0,-22585.0
313,330.0,-22255.0
314,455.0,-21800.0
315,-45.0,-21845.0
316,-120.0,-21965.0
317,-835.0,-22800.0
318,115.0,-22685.0
319,-915.0,-23600.0
320,410.0,-23190.0
321,-225.0,-23415.0
322,275.0,-23140.0
323,-465.0,-23605.0
324,100.0,-23505.0
325,1670.0,-21835.0
326,65.0,-21770.0
327,-545.0,-22315.0
328,-315.0,-22630.0
329,-215.0,-22845.0
330,-100.0,-22945.0
331,30.0,-22915.0
332,165.0,-22750.0
333,75.0,-22675.0
334,280.0,-22395.0
335,110.0,-22285.0
336,-260.0,-22545.0
337,45.0,-22500.0
338,-95.0,-22595.0
339,-510.0,-23105.0
340,-435.0,-23540.0
341,-55.0,-23595.0
342,40.0,-23555.0
343,80.0,-23475.0
344,290.0,-23185.0
345,170.0,-23015.0
346,-325.0,-23340.0
347,-1640.0,-24980.0
348,890.0,-24090.0
349,-120.0,-24210.0
350,265.0,-23945.0
351,95.0,-23850.0
352,-180.0,-24030.0
353,395.0,-23635.0
354,-130.0,-23765.0
355,150.0,-23615.0
356,-130.0,-23745.0
357,-120.0,-23865.0
358,-635.0,-24500.0
359,325.0,-24175.0
360,315.0,-23860.0
361,-95.0,-23955.0
362,-85.0,-24040.0
363,15.0,-24025.0
364,2190.0,-21835.0
365,-1090.0,-22925.0
366,110.0,-22815.0
