trade_index,pnl,cumulative_pnl
0,-250.0,-250.0
1,-220.0,-470.0
2,355.0,-115.0
3,205.0,90.0
4,125.0,215.0
5,-60.0,155.0
6,-195.0,-40.0
7,-5.0,-45.0
8,235.0,190.0
9,-1860.0,-1670.0
10,-1430.0,-3100.0
11,-1400.0,-4500.0
12,-2590.0,-7090.0
13,720.0,-6370.0
14,-995.0,-7365.0
15,175.0,-7190.0
16,1055.0,-6135.0
17,45.0,-6090.0
18,-920.0,-7010.0
19,-235.0,-7245.0
20,460.0,-6785.0
21,535.0,-6250.0
22,-195.0,-6445.0
23,-120.0,-6565.0
24,-745.0,-7310.0
25,255.0,-7055.0
26,-1505.0,-8560.0
27,-785.0,-9345.0
28,550.0,-8795.0
29,940.0,-7855.0
30,-340.0,-8195.0
31,255.0,-7940.0
32,195.0,-7745.0
33,650.0,-7095.0
34,-750.0,-7845.0
35,-260.0,-8105.0
36,640.0,-7465.0
37,-100.0,-7565.0
38,-175.0,-7740.0
39,110.0,-7630.0
40,40.0,-7590.0
41,-170.0,-7760.0
42,45.0,-7715.0
43,125.0,-7590.0
44,465.0,-7125.0
45,-30.0,-7155.0
46,-700.0,-7855.0
47,-130.0,-7985.0
48,685.0,-7300.0
49,280.0,-7020.0
50,135.0,-6885.0
51,-225.0,-7110.0
52,190.0,-6920.0
53,-55.0,-6975.0
54,-480.0,-7455.0
55,-195.0,-7650.0
56,335.0,-7315.0
57,1645.0,-5670.0
58,-485.0,-6155.0
59,-1410.0,-7565.0
60,380.0,-7185.0
61,685.0,-6500.0
62,-210.0,-6710.0
63,160.0,-6550.0
64,-10.0,-6560.0
65,75.0,-6485.0
66,1840.0,-4645.0
67,-715.0,-5360.0
68,135.0,-5225.0
69,155.0,-5070.0
70,430.0,-4640.0
71,-525.0,-5165.0
72,-120.0,-5285.0
73,55.0,-5230.0
74,35.0,-5195.0
75,35.0,-5160.0
76,-2240.0,-7400.0
77,115.0,-7285.0
78,-540.0,-7825.0
79,-595.0,-8420.0
80,240.0,-8180.0
81,-45.0,-8225.0
82,110.0,-8115.0
83,-540.0,-8655.0
84,-650.0,-9305.0
85,-1425.0,-10730.0
86,3540.0,-7190.0
87,-1375.0,-8565.0
88,1000.0,-7565.0
89,-660.0,-8225.0
90,35.0,-8190.0
91,60.0,-8130.0
92,10.0,-8120.0
93,-155.0,-8275.0
94,80.0,-8195.0
95,-180.0,-8375.0
96,-110.0,-8485.0
97,205.0,-8280.0
98,240.0,-8040.0
99,715.0,-7325.0
100,-40.0,-7365.0
101,-115.0,-7480.0
102,-25.0,-7505.0
103,-605.0,-8110.0
104,245.0,-7865.0
105,65.0,-7800.0
106,-130.0,-7930.0
107,780.0,-7150.0
108,430.0,-6720.0
109,-380.0,-7100.0
110,25.0,-7075.0
111,-395.0,-7470.0
112,-175.0,-7645.0
113,5.0,-7640.0
114,-385.0,-8025.0
115,110.0,-7915.0
116,-150.0,-8065.0
117,-535.0,-8600.0
118,-525.0,-9125.0
119,320.0,-8805.0
120,305.0,-8500.0
121,-115.0,-8615.0
122,-35.0,-8650.0
123,-20.0,-8670.0
124,-130.0,-8800.0
125,-70.0,-8870.0
126,685.0,-8185.0
127,580.0,-7605.0
128,415.0,-7190.0
129,240.0,-6950.0
130,80.0,-6870.0
131,130.0,-6740.0
132,-265.0,-7005.0
133,-100.0,-7105.0
134,160.0,-6945.0
135,30.0,-6915.0
136,-990.0,-7905.0
137,-295.0,-8200.0
138,540.0,-7660.0
139,325.0,-7335.0
140,-325.0,-7660.0
141,435.0,-7225.0
142,-55.0,-7280.0
143,90.0,-7190.0
144,380.0,-6810.0
145,145.0,-6665.0
146,-490.0,-7155.0
147,-430.0,-7585.0
148,-30.0,-7615.0
149,-295.0,-7910.0
150,-145.0,-8055.0
151,5.0,-8050.0
152,-410.0,-8460.0
153,315.0,-8145.0
154,-30.0,-8175.0
155,50.0,-8125.0
156,1340.0,-6785.0
157,-495.0,-7280.0
158,-215.0,-7495.0
159,455.0,-7040.0
160,60.0,-6980.0
161,180.0,-6800.0
162,170.0,-6630.0
163,-25.0,-6655.0
164,215.0,-6440.0
165,-375.0,-6815.0
166,-1035.0,-7850.0
167,-1350.0,-9200.0
168,-85.0,-9285.0
169,-440.0,-9725.0
170,170.0,-9555.0
171,-250.0,-9805.0
172,-30.0,-9835.0
173,270.0,-9565.0
174,135.0,-9430.0
175,-145.0,-9575.0
176,-515.0,-10090.0
177,80.0,-10010.0
178,350.0,-9660.0
179,1030.0,-8630.0
180,-205.0,-8835.0
181,255.0,-8580.0
182,-105.0,-8685.0
183,-220.0,-8905.0
184,-120.0,-9025.0
185,-60.0,-9085.0
186,-1095.0,-10180.0
187,555.0,-9625.0
188,-65.0,-9690.0
189,35.0,-9655.0
190,-55.0,-9710.0
191,-85.0,-9795.0
192,25.0,-9770.0
193,-400.0,-10170.0
194,-170.0,-10340.0
195,185.0,-10155.0
196,-640.0,-10795.0
197,-620.0,-11415.0
198,-595.0,-12010.0
199,-105.0,-12115.0
200,-15.0,-12130.0
201,-140.0,-12270.0
202,95.0,-12175.0
203,-115.0,-12290.0
204,-215.0,-12505.0
205,-150.0,-12655.0
206,205.0,-12450.0
207,-20.0,-12470.0
208,50.0,-12420.0
209,235.0,-12185.0
210,40.0,-12145.0
211,-200.0,-12345.0
212,-70.0,-12415.0
213,125.0,-12290.0
214,105.0,-12185.0
215,-45.0,-12230.0
216,-5.0,-12235.0
217,860.0,-11375.0
218,195.0,-11180.0
219,-210.0,-11390.0
220,315.0,-11075.0
221,-160.0,-11235.0
222,-160.0,-11395.0
223,-355.0,-11750.0
224,-330.0,-12080.0
225,-255.0,-12335.0
226,-330.0,-12665.0
227,-255.0,-12920.0
228,480.0,-12440.0
229,210.0,-12230.0
230,-300.0,-12530.0
231,120.0,-12410.0
232,-90.0,-12500.0
233,-10.0,-12510.0
234,-255.0,-12765.0
235,165.0,-12600.0
236,-960.0,-13560.0
237,-165.0,-13725.0
238,-100.0,-13825.0
239,-445.0,-14270.0
240,20.0,-14250.0
241,85.0,-14165.0
242,-130.0,-14295.0
243,20.0,-14275.0
244,-200.0,-14475.0
245,-35.0,-14510.0
246,1070.0,-13440.0
247,25.0,-13415.0
248,320.0,-13095.0
249,-50.0,-13145.0
250,65.0,-13080.0
251,120.0,-12960.0
252,640.0,-12320.0
253,300.0,-12020.0
254,435.0,-11585.0
255,90.0,-11495.0
256,15.0,-11480.0
257,-235.0,-11715.0
258,-295.0,-12010.0
259,285.0,-11725.0
260,165.0,-11560.0
261,155.0,-11405.0
262,330.0,-11075.0
263,-545.0,-11620.0
264,-130.0,-11750.0
265,175.0,-11575.0
266,-45.0,-11620.0
267,-905.0,-12525.0
268,-215.0,-12740.0
269,-590.0,-13330.0
270,205.0,-13125.0
271,-55.0,-13180.0
272,105.0,-13075.0
273,-45.0,-13120.0
274,-175.0,-13295.0
275,260.0,-13035.0
276,-160.0,-13195.0
277,-180.0,-13375.0
278,155.0,-13220.0
279,-85.0,-13305.0
280,110.0,-13195.0
281,-155.0,-13350.0
282,-85.0,-13435.0
283,-180.0,-13615.0
284,195.0,-13420.0
285,-10.0,-13430.0
286,-820.0,-14250.0
287,40.0,-14210.0
288,1355.0,-12855.0
289,525.0,-12330.0
290,90.0,-12240.0
291,-285.0,-12525.0
292,-390.0,-12915.0
293,205.0,-12710.0
294,210.0,-12500.0
295,-160.0,-12660.0
296,1985.0,-10675.0
297,700.0,-9975.0
298,705.0,-9270.0
299,135.0,-9135.0
300,225.0,-8910.0
301,-80.0,-8990.0
302,800.0,-8190.0
303,715.0,-7475.0
304,585.0,-6890.0
305,-260.0,-7150.0
306,840.0,-6310.0
307,55.0,-6255.0
308,1870.0,-4385.0
309,1970.0,-2415.0
310,-195.0,-2610.0
311,-500.0,-3110.0
312,-305.0,-3415.0
313,-390.0,-3805.0
314,-45.0,-3850.0
315,55.0,-3795.0
316,595.0,-3200.0
317,-255.0,-3455.0
318,-105.0,-3560.0
319,1205.0,-2355.0
320,-240.0,-2595.0
321,-385.0,-2980.0
322,660.0,-2320.0
323,505.0,-1815.0
324,815.0,-1000.0
325,65.0,-935.0
326,630.0,-305.0
327,-1880.0,-2185.0
328,565.0,-1620.0
329,-40.0,-1660.0
330,-320.0,-1980.0
331,40.0,-1940.0
332,55.0,-1885.0
333,-240.0,-2125.0
334,545.0,-1580.0
335,-625.0,-2205.0
336,2525.0,320.0
337,915.0,1235.0
338,620.0,1855.0
339,-30.0,1825.0
340,660.0,2485.0
341,-1160.0,1325.0
342,-200.0,1125.0
343,15.0,1140.0
344,45.0,1185.0
345,-445.0,740.0
346,1140.0,1880.0
347,1220.0,3100.0
348,370.0,3470.0
349,-1035.0,2435.0
350,125.0,2560.0
351,-335.0,2225.0
352,-500.0,1725.0
353,245.0,1970.0
354,1360.0,3330.0
355,215.0,3545.0
356,1510.0,5055.0
357,-580.0,4475.0
358,-1935.0,2540.0
359,-2510.0,30.0
360,625.0,655.0
361,475.0,1130.0
362,-40.0,1090.0
363,30.0,1120.0
364,75.0,1195.0
365,-110.0,1085.0
366,-835.0,250.0
367,345.0,595.0
368,-5.0,590.0
369,205.0,795.0
370,-720.0,75.0
371,-1090.0,-1015.0
372,5.0,-1010.0
373,0.0,-1010.0
374,-210.0,-1220.0
375,360.0,-860.0
376,305.0,-555.0
377,625.0,70.0
378,-1180.0,-1110.0
379,190.0,-920.0
380,650.0,-270.0
381,-95.0,-365.0
382,-545.0,-910.0
383,-140.0,-1050.0
384,995.0,-55.0
385,-245.0,-300.0
386,2145.0,1845.0
387,1225.0,3070.0
388,590.0,3660.0
389,-430.0,3230.0
390,-530.0,2700.0
391,-665.0,2035.0
392,-425.0,1610.0
393,155.0,1765.0
394,550.0,2315.0
395,-205.0,2110.0
396,-1325.0,785.0
397,-500.0,285.0
398,-1185.0,-900.0
399,-305.0,-1205.0
400,-740.0,-1945.0
401,-920.0,-2865.0
402,-580.0,-3445.0
403,505.0,-2940.0
404,185.0,-2755.0
405,385.0,-2370.0
406,295.0,-2075.0
407,450.0,-1625.0
408,610.0,-1015.0
409,-405.0,-1420.0
410,195.0,-1225.0
411,95.0,-1130.0
412,-130.0,-1260.0
413,-175.0,-1435.0
414,-865.0,-2300.0
415,125.0,-2175.0
416,-250.0,-2425.0
417,-410.0,-2835.0
418,-85.0,-2920.0
419,150.0,-2770.0
420,850.0,-1920.0
421,-350.0,-2270.0
422,-510.0,-2780.0
423,100.0,-2680.0
424,765.0,-1915.0
425,-260.0,-2175.0
426,890.0,-1285.0
427,-505.0,-1790.0
428,690.0,-1100.0
429,-485.0,-1585.0
430,1060.0,-525.0
431,605.0,80.0
432,435.0,515.0
433,190.0,705.0
434,195.0,900.0
435,-65.0,835.0
436,-965.0,-130.0
437,-110.0,-240.0
438,595.0,355.0
439,510.0,865.0
440,-395.0,470.0
441,-375.0,95.0
442,-525.0,-430.0
443,375.0,-55.0
444,-35.0,-90.0
445,50.0,-40.0
446,2050.0,2010.0
447,260.0,2270.0
448,430.0,2700.0
449,220.0,2920.0
450,1305.0,4225.0
451,-185.0,4040.0
452,-850.0,3190.0
453,255.0,3445.0
454,140.0,3585.0
455,-460.0,3125.0
456,-790.0,2335.0
457,-195.0,2140.0
458,545.0,2685.0
459,-25.0,2660.0
460,-945.0,1715.0
461,-185.0,1530.0
462,-705.0,825.0
463,285.0,1110.0
464,-100.0,1010.0
465,-160.0,850.0
466,-2625.0,-1775.0
467,-250.0,-2025.0
468,-1210.0,-3235.0
469,865.0,-2370.0
470,645.0,-1725.0
471,570.0,-1155.0
472,85.0,-1070.0
473,-320.0,-1390.0
474,280.0,-1110.0
475,235.0,-875.0
476,3255.0,2380.0
477,170.0,2550.0
478,-770.0,1780.0
479,-420.0,1360.0
480,790.0,2150.0
481,230.0,2380.0
482,365.0,2745.0
483,-380.0,2365.0
484,220.0,2585.0
485,1740.0,4325.0
486,-160.0,4165.0
487,-145.0,4020.0
488,-105.0,3915.0
489,-355.0,3560.0
490,420.0,3980.0
491,75.0,4055.0
492,-1590.0,2465.0
493,-140.0,2325.0
494,760.0,3085.0
495,810.0,3895.0
496,-60.0,3835.0
497,170.0,4005.0
498,480.0,4485.0
499,865.0,5350.0
500,220.0,5570.0
501,-420.0,5150.0
502,-1225.0,3925.0
503,425.0,4350.0
504,1370.0,5720.0
505,-2005.0,3715.0
506,-160.0,3555.0
507,280.0,3835.0
508,35.0,3870.0
509,-435.0,3435.0
510,125.0,3560.0
511,-80.0,3480.0
512,990.0,4470.0
513,-40.0,4430.0
514,395.0,4825.0
515,770.0,5595.0
516,45.0,5640.0
517,70.0,5710.0
518,-50.0,5660.0
519,35.0,5695.0
520,135.0,5830.0
521,-195.0,5635.0
522,1590.0,7225.0
523,-1735.0,5490.0
524,-480.0,5010.0
525,-20.0,4990.0
526,60.0,5050.0
527,390.0,5440.0
528,-805.0,4635.0
529,-255.0,4380.0
530,360.0,4740.0
531,-225.0,4515.0
532,-55.0,4460.0
533,-95.0,4365.0
534,-930.0,3435.0
535,-15.0,3420.0
536,-85.0,3335.0
537,-70.0,3265.0
538,465.0,3730.0
539,300.0,4030.0
540,140.0,4170.0
541,-110.0,4060.0
542,-675.0,3385.0
543,-570.0,2815.0
544,-65.0,2750.0
545,375.0,3125.0
546,-720.0,2405.0
547,-380.0,2025.0
548,345.0,2370.0
549,-1055.0,1315.0
550,50.0,1365.0
551,-410.0,955.0
552,-1715.0,-760.0
553,-175.0,-935.0
554,1590.0,655.0
555,-400.0,255.0
556,310.0,565.0
557,635.0,1200.0
558,80.0,1280.0
559,700.0,1980.0
560,-775.0,1205.0
561,200.0,1405.0
562,-5175.0,-3770.0
563,-1685.0,-5455.0
564,-1850.0,-7305.0
565,570.0,-6735.0
566,1125.0,-5610.0
567,170.0,-5440.0
568,1255.0,-4185.0
569,-1200.0,-5385.0
570,-255.0,-5640.0
571,-755.0,-6395.0
572,3330.0,-3065.0
573,-310.0,-3375.0
574,-1590.0,-4965.0
575,455.0,-4510.0
576,170.0,-4340.0
577,215.0,-4125.0
578,465.0,-3660.0
579,435.0,-3225.0
580,-405.0,-3630.0
581,-480.0,-4110.0
582,-585.0,-4695.0
583,-1040.0,-5735.0
584,-985.0,-6720.0
585,-1040.0,-7760.0
586,155.0,-7605.0
587,-945.0,-8550.0
588,-310.0,-8860.0
589,-125.0,-8985.0
590,145.0,-8840.0
591,-550.0,-9390.0
592,-805.0,-10195.0
593,-320.0,-10515.0
594,-550.0,-11065.0
595,1140.0,-9925.0
596,-325.0,-10250.0
597,-395.0,-10645.0
598,650.0,-9995.0
599,-210.0,-10205.0
600,-260.0,-10465.0
601,-75.0,-10540.0
602,-1105.0,-11645.0
603,95.0,-11550.0
604,-120.0,-11670.0
605,1025.0,-10645.0
606,-270.0,-10915.0
607,-670.0,-11585.0
608,785.0,-10800.0
609,1675.0,-9125.0
610,170.0,-8955.0
611,-340.0,-9295.0
612,1045.0,-8250.0
613,-1140.0,-9390.0
614,2580.0,-6810.0
615,120.0,-6690.0
616,255.0,-6435.0
617,235.0,-6200.0
618,-735.0,-6935.0
619,-760.0,-7695.0
620,535.0,-7160.0
621,-285.0,-7445.0
622,-2060.0,-9505.0
623,3440.0,-6065.0
624,-395.0,-6460.0
625,-1500.0,-7960.0
626,180.0,-7780.0
627,-595.0,-8375.0
628,375.0,-8000.0
629,465.0,-7535.0
630,-145.0,-7680.0
631,-105.0,-7785.0
632,-2370.0,-10155.0
633,-1975.0,-12130.0
634,-460.0,-12590.0
635,185.0,-12405.0
636,240.0,-12165.0
637,-410.0,-12575.0
638,85.0,-12490.0
639,-490.0,-12980.0
640,-75.0,-13055.0
641,65.0,-12990.0
642,655.0,-12335.0
643,935.0,-11400.0
644,-1610.0,-13010.0
645,-600.0,-13610.0
646,455.0,-13155.0
647,-1090.0,-14245.0
648,220.0,-14025.0
