trade_index,pnl,cumulative_pnl
0,-100.0,-100.0
1,-170.0,-270.0
2,-30.0,-300.0
3,280.0,-20.0
4,-225.0,-245.0
5,-55.0,-300.0
6,1645.0,1345.0
7,685.0,2030.0
8,-45.0,1985.0
9,915.0,2900.0
10,-1160.0,1740.0
11,170.0,1910.0
12,-255.0,1655.0
13,-310.0,1345.0
14,215.0,1560.0
15,-395.0,1165.0
16,-595.0,570.0
17,465.0,1035.0
18,-145.0,890.0
19,-2370.0,-1480.0
20,-1975.0,-3455.0
21,185.0,-3270.0
22,240.0,-3030.0
23,-410.0,-3440.0
24,85.0,-3355.0
25,-490.0,-3845.0
26,-75.0,-3920.0
27,65.0,-3855.0
28,655.0,-3200.0
29,935.0,-2265.0
30,-1610.0,-3875.0
31,-600.0,-4475.0
32,-1090.0,-5565.0
33,220.0,-5345.0
34,-615.0,-5960.0
35,200.0,-5760.0
36,2375.0,-3385.0
37,745.0,-2640.0
38,-175.0,-2815.0
39,250.0,-2565.0
40,1635.0,-930.0
41,0.0,-930.0
42,-380.0,-1310.0
43,-855.0,-2165.0
44,305.0,-1860.0
45,1420.0,-440.0
46,160.0,-280.0
47,-95.0,-375.0
48,550.0,175.0
49,445.0,620.0
50,-250.0,370.0
51,-1140.0,-770.0
52,-2115.0,-2885.0
53,-200.0,-3085.0
54,-320.0,-3405.0
55,-350.0,-3755.0
56,350.0,-3405.0
57,840.0,-2565.0
58,2135.0,-430.0
59,2065.0,1635.0
60,1155.0,2790.0
61,-1265.0,1525.0
62,510.0,2035.0
63,-455.0,1580.0
64,-25.0,1555.0
65,-1785.0,-230.0
66,-190.0,-420.0
67,25.0,-395.0
68,-225.0,-620.0
69,-185.0,-805.0
70,385.0,-420.0
71,415.0,-5.0
72,1705.0,1700.0
73,60.0,1760.0
74,625.0,2385.0
75,-55.0,2330.0
76,945.0,3275.0
77,-485.0,2790.0
78,-40.0,2750.0
79,20.0,2770.0
80,-180.0,2590.0
81,40.0,2630.0
82,65.0,2695.0
83,-150.0,2545.0
84,-2325.0,220.0
85,1110.0,1330.0
86,-265.0,1065.0
87,-80.0,985.0
88,-860.0,125.0
89,-710.0,-585.0
90,520.0,-65.0
91,-810.0,-875.0
92,505.0,-370.0
93,0.0,-370.0
94,-1035.0,-1405.0
95,-500.0,-1905.0
96,990.0,-915.0
97,-70.0,-985.0
98,-505.0,-1490.0
99,-855.0,-2345.0
100,-125.0,-2470.0
101,-275.0,-2745.0
102,-620.0,-3365.0
103,110.0,-3255.0
104,-730.0,-3985.0
105,660.0,-3325.0
106,-205.0,-3530.0
107,230.0,-3300.0
108,-265.0,-3565.0
109,135.0,-3430.0
110,225.0,-3205.0
111,-670.0,-3875.0
112,85.0,-3790.0
113,-445.0,-4235.0
114,-90.0,-4325.0
115,-935.0,-5260.0
116,130.0,-5130.0
117,180.0,-4950.0
118,-2665.0,-7615.0
119,-180.0,-7795.0
120,-595.0,-8390.0
121,855.0,-7535.0
122,665.0,-6870.0
123,220.0,-6650.0
124,135.0,-6515.0
125,205.0,-6310.0
126,1490.0,-4820.0
127,-360.0,-5180.0
128,25.0,-5155.0
129,360.0,-4795.0
130,705.0,-4090.0
131,130.0,-3960.0
132,525.0,-3435.0
133,720.0,-2715.0
134,540.0,-2175.0
135,-10.0,-2185.0
136,-175.0,-2360.0
137,-495.0,-2855.0
138,-540.0,-3395.0
139,2080.0,-1315.0
140,-255.0,-1570.0
141,-295.0,-1865.0
142,-45.0,-1910.0
143,-360.0,-2270.0
144,155.0,-2115.0
145,200.0,-1915.0
146,-1430.0,-3345.0
147,-650.0,-3995.0
148,-280.0,-4275.0
149,180.0,-4095.0
150,-135.0,-4230.0
151,-35.0,-4265.0
152,175.0,-4090.0
153,-110.0,-4200.0
154,-475.0,-4675.0
155,-55.0,-4730.0
156,-75.0,-4805.0
157,205.0,-4600.0
158,-600.0,-5200.0
159,-730.0,-5930.0
160,725.0,-5205.0
161,695.0,-4510.0
162,30.0,-4480.0
163,280.0,-4200.0
164,-260.0,-4460.0
165,-250.0,-4710.0
166,-250.0,-4960.0
167,140.0,-4820.0
168,25.0,-4795.0
169,-445.0,-5240.0
170,475.0,-4765.0
171,-360.0,-5125.0
172,360.0,-4765.0
173,-15.0,-4780.0
174,1535.0,-3245.0
175,-255.0,-3500.0
