trade_index,pnl,cumulative_pnl
0,170.0,170.0
1,-220.0,-50.0
2,355.0,305.0
3,205.0,510.0
4,125.0,635.0
5,-60.0,575.0
6,-195.0,380.0
7,-5.0,375.0
8,235.0,610.0
9,-1860.0,-1250.0
10,-1430.0,-2680.0
11,-1400.0,-4080.0
12,-2590.0,-6670.0
13,720.0,-5950.0
14,-995.0,-6945.0
15,175.0,-6770.0
16,1055.0,-5715.0
17,45.0,-5670.0
18,-920.0,-6590.0
19,-235.0,-6825.0
20,460.0,-6365.0
21,535.0,-5830.0
22,-195.0,-6025.0
23,40.0,-5985.0
24,-745.0,-6730.0
25,255.0,-6475.0
26,-1505.0,-7980.0
27,-785.0,-8765.0
28,550.0,-8215.0
29,940.0,-7275.0
30,-340.0,-7615.0
31,255.0,-7360.0
32,-275.0,-7635.0
33,-730.0,-8365.0
34,-750.0,-9115.0
35,-260.0,-9375.0
36,640.0,-8735.0
37,20.0,-8715.0
38,95.0,-8620.0
39,-190.0,-8810.0
40,-120.0,-8930.0
41,-170.0,-9100.0
42,-125.0,-9225.0
43,125.0,-9100.0
44,465.0,-8635.0
45,-30.0,-8665.0
46,-700.0,-9365.0
47,-130.0,-9495.0
48,-765.0,-10260.0
49,280.0,-9980.0
50,-215.0,-10195.0
51,-225.0,-10420.0
52,-270.0,-10690.0
53,-55.0,-10745.0
54,400.0,-10345.0
55,-195.0,-10540.0
56,-415.0,-10955.0
57,-1725.0,-12680.0
58,405.0,-12275.0
59,-1410.0,-13685.0
60,-460.0,-14145.0
61,685.0,-13460.0
62,-210.0,-13670.0
63,160.0,-13510.0
64,-10.0,-13520.0
65,75.0,-13445.0
66,1840.0,-11605.0
67,-715.0,-12320.0
68,135.0,-12185.0
69,-235.0,-12420.0
70,-510.0,-12930.0
71,445.0,-12485.0
72,-120.0,-12605.0
73,55.0,-12550.0
74,35.0,-12515.0
75,35.0,-12480.0
76,-2240.0,-14720.0
77,115.0,-14605.0
78,-540.0,-15145.0
79,-595.0,-15740.0
80,240.0,-15500.0
81,-45.0,-15545.0
82,110.0,-15435.0
83,-540.0,-15975.0
84,-650.0,-16625.0
85,-1425.0,-18050.0
86,3540.0,-14510.0
87,1295.0,-13215.0
88,-1080.0,-14295.0
89,580.0,-13715.0
90,35.0,-13680.0
91,60.0,-13620.0
92,10.0,-13610.0
93,-155.0,-13765.0
94,80.0,-13685.0
95,-180.0,-13865.0
96,-110.0,-13975.0
97,205.0,-13770.0
98,-320.0,-14090.0
99,715.0,-13375.0
100,-40.0,-13415.0
101,35.0,-13380.0
102,-25.0,-13405.0
103,-605.0,-14010.0
104,245.0,-13765.0
105,65.0,-13700.0
106,-130.0,-13830.0
107,780.0,-13050.0
108,430.0,-12620.0
109,-380.0,-13000.0
110,25.0,-12975.0
111,-395.0,-13370.0
112,-175.0,-13545.0
113,5.0,-13540.0
114,-385.0,-13925.0
115,110.0,-13815.0
116,-150.0,-13965.0
117,-535.0,-14500.0
118,-525.0,-15025.0
119,320.0,-14705.0
120,305.0,-14400.0
121,-115.0,-14515.0
122,-35.0,-14550.0
123,-20.0,-14570.0
124,-130.0,-14700.0
125,-70.0,-14770.0
126,685.0,-14085.0
127,580.0,-13505.0
128,415.0,-13090.0
129,240.0,-12850.0
130,-160.0,-13010.0
131,130.0,-12880.0
132,-265.0,-13145.0
133,-100.0,-13245.0
134,160.0,-13085.0
135,30.0,-13055.0
136,-990.0,-14045.0
137,-295.0,-14340.0
138,540.0,-13800.0
139,325.0,-13475.0
140,-325.0,-13800.0
141,435.0,-13365.0
142,-55.0,-13420.0
143,90.0,-13330.0
144,380.0,-12950.0
145,145.0,-12805.0
146,-490.0,-13295.0
147,350.0,-12945.0
148,-30.0,-12975.0
149,-295.0,-13270.0
150,-145.0,-13415.0
151,5.0,-13410.0
152,-410.0,-13820.0
153,315.0,-13505.0
154,-30.0,-13535.0
155,50.0,-13485.0
156,1340.0,-12145.0
157,-495.0,-12640.0
158,135.0,-12505.0
159,455.0,-12050.0
160,60.0,-11990.0
161,180.0,-11810.0
162,-250.0,-12060.0
163,-25.0,-12085.0
164,215.0,-11870.0
165,-375.0,-12245.0
166,955.0,-11290.0
167,-1350.0,-12640.0
168,-85.0,-12725.0
169,-440.0,-13165.0
170,170.0,-12995.0
171,-250.0,-13245.0
172,-50.0,-13295.0
173,270.0,-13025.0
174,-215.0,-13240.0
175,-145.0,-13385.0
176,435.0,-12950.0
177,80.0,-12870.0
178,350.0,-12520.0
179,1030.0,-11490.0
180,125.0,-11365.0
181,255.0,-11110.0
182,25.0,-11085.0
183,-220.0,-11305.0
184,40.0,-11265.0
185,-20.0,-11285.0
186,1015.0,-10270.0
187,555.0,-9715.0
188,-15.0,-9730.0
189,35.0,-9695.0
190,-25.0,-9720.0
191,-85.0,-9805.0
192,25.0,-9780.0
193,-400.0,-10180.0
194,90.0,-10090.0
195,185.0,-9905.0
196,-640.0,-10545.0
197,-620.0,-11165.0
198,515.0,-10650.0
199,-105.0,-10755.0
200,-65.0,-10820.0
201,-140.0,-10960.0
202,95.0,-10865.0
203,-115.0,-10980.0
204,-215.0,-11195.0
205,-150.0,-11345.0
206,205.0,-11140.0
207,-20.0,-11160.0
208,-130.0,-11290.0
209,235.0,-11055.0
210,-120.0,-11175.0
211,-200.0,-11375.0
212,-70.0,-11445.0
213,125.0,-11320.0
214,105.0,-11215.0
215,-45.0,-11260.0
216,-5.0,-11265.0
217,860.0,-10405.0
218,195.0,-10210.0
219,-210.0,-10420.0
220,315.0,-10105.0
221,-160.0,-10265.0
222,-160.0,-10425.0
223,-355.0,-10780.0
224,-330.0,-11110.0
225,-255.0,-11365.0
226,-330.0,-11695.0
227,-255.0,-11950.0
228,480.0,-11470.0
229,210.0,-11260.0
230,-300.0,-11560.0
231,120.0,-11440.0
232,-90.0,-11530.0
233,-10.0,-11540.0
234,-255.0,-11795.0
235,165.0,-11630.0
236,-960.0,-12590.0
237,-165.0,-12755.0
238,20.0,-12735.0
239,-445.0,-13180.0
240,-100.0,-13280.0
241,-165.0,-13445.0
242,50.0,-13395.0
243,20.0,-13375.0
244,-200.0,-13575.0
245,-35.0,-13610.0
246,1070.0,-12540.0
247,25.0,-12515.0
248,-400.0,-12915.0
249,-50.0,-12965.0
250,-145.0,-13110.0
251,120.0,-12990.0
252,-720.0,-13710.0
253,300.0,-13410.0
254,-515.0,-13925.0
255,90.0,-13835.0
256,15.0,-13820.0
257,-235.0,-14055.0
258,215.0,-13840.0
259,-365.0,-14205.0
260,-245.0,-14450.0
261,-235.0,-14685.0
262,-410.0,-15095.0
263,-545.0,-15640.0
