trade_index,pnl,cumulative_pnl
0,205.0,205.0
1,125.0,330.0
2,-60.0,270.0
3,-195.0,75.0
4,-5.0,70.0
5,-1860.0,-1790.0
6,-1430.0,-3220.0
7,-1400.0,-4620.0
8,-2590.0,-7210.0
9,720.0,-6490.0
10,-995.0,-7485.0
11,175.0,-7310.0
12,1055.0,-6255.0
13,45.0,-6210.0
14,-920.0,-7130.0
15,-235.0,-7365.0
16,460.0,-6905.0
17,535.0,-6370.0
18,-195.0,-6565.0
19,-745.0,-7310.0
20,255.0,-7055.0
21,-1505.0,-8560.0
22,-785.0,-9345.0
23,550.0,-8795.0
24,940.0,-7855.0
25,-750.0,-8605.0
26,-260.0,-8865.0
27,640.0,-8225.0
28,-190.0,-8415.0
29,-30.0,-8445.0
30,-130.0,-8575.0
31,-215.0,-8790.0
32,400.0,-8390.0
33,405.0,-7985.0
34,-460.0,-8445.0
35,160.0,-8285.0
36,75.0,-8210.0
37,1840.0,-6370.0
38,35.0,-6335.0
39,35.0,-6300.0
40,-2240.0,-8540.0
41,115.0,-8425.0
42,-595.0,-9020.0
43,240.0,-8780.0
44,-45.0,-8825.0
45,-540.0,-9365.0
46,-650.0,-10015.0
47,-1425.0,-11440.0
48,3540.0,-7900.0
49,1295.0,-6605.0
50,580.0,-6025.0
51,60.0,-5965.0
52,10.0,-5955.0
53,80.0,-5875.0
54,-180.0,-6055.0
55,-110.0,-6165.0
56,205.0,-5960.0
57,-40.0,-6000.0
58,65.0,-5935.0
59,-130.0,-6065.0
60,-380.0,-6445.0
61,25.0,-6420.0
62,-395.0,-6815.0
63,-175.0,-6990.0
64,5.0,-6985.0
65,-385.0,-7370.0
66,110.0,-7260.0
67,-150.0,-7410.0
68,-35.0,-7445.0
69,-130.0,-7575.0
70,-70.0,-7645.0
71,685.0,-6960.0
72,-20.0,-6980.0
73,555.0,-6425.0
74,185.0,-6240.0
75,-150.0,-6390.0
76,-45.0,-6435.0
77,-255.0,-6690.0
78,-35.0,-6725.0
79,90.0,-6635.0
80,15.0,-6620.0
81,215.0,-6405.0
82,-245.0,-6650.0
83,175.0,-6475.0
84,-55.0,-6530.0
85,105.0,-6425.0
