trade_index,pnl,cumulative_pnl
0,-290.0,-290.0
1,-620.1579071411688,-910.1579071411688
2,-620.1579071411688,-1530.3158142823377
3,-620.1579071411688,-2150.4737214235065
4,-65.0,-2215.4737214235065
5,-175.0,-2390.4737214235065
6,540.1579071411688,-1850.3158142823377
7,-620.1579071411688,-2470.4737214235065
8,-620.1579071411688,-3090.6316285646753
9,540.1579071411688,-2550.4737214235065
10,-620.1579071411688,-3170.6316285646753
11,-620.1579071411688,-3790.789535705844
12,540.1579071411688,-3250.6316285646753
13,-620.1579071411688,-3870.789535705844
14,540.1579071411688,-3330.6316285646753
15,-620.1579071411688,-3950.789535705844
16,-620.1579071411688,-4570.947442847013
17,540.1579071411688,-4030.789535705844
18,540.1579071411688,-3490.6316285646753
19,-620.1579071411688,-4110.789535705844
20,-620.1579071411688,-4730.947442847013
21,-620.1579071411688,-5351.105349988182
22,540.1579071411688,-4810.947442847013
23,540.1579071411688,-4270.789535705844
24,540.1579071411688,-3730.6316285646753
25,540.1579071411688,-3190.4737214235065
26,540.1579071411688,-2650.3158142823377
27,540.1579071411688,-2110.157907141169
28,-620.1579071411688,-2730.3158142823377
29,-620.1579071411688,-3350.4737214235065
30,-620.1579071411688,-3970.6316285646753
31,-620.1579071411688,-4590.789535705844
32,-620.1579071411688,-5210.947442847013
33,-620.1579071411688,-5831.105349988182
34,540.1579071411688,-5290.947442847013
35,-620.1579071411688,-5911.105349988182
36,-620.1579071411688,-6531.263257129351
37,540.1579071411688,-5991.105349988182
38,-5.0,-5996.105349988182
39,-225.0,-6221.105349988182
40,-240.0,-6461.105349988182
41,540.1579071411688,-5920.947442847013
42,-620.1579071411688,-6541.105349988182
43,-620.1579071411688,-7161.263257129351
44,-620.1579071411688,-7781.4211642705195
45,540.1579071411688,-7241.263257129351
46,540.1579071411688,-6701.105349988182
47,-620.1579071411688,-7321.263257129351
48,-620.1579071411688,-7941.4211642705195
49,-620.1579071411688,-8561.579071411688
50,-245.0,-8806.579071411688
51,370.0,-8436.579071411688
52,340.0,-8096.579071411688
53,540.1579071411688,-7556.4211642705195
54,540.1579071411688,-7016.263257129351
55,-620.1579071411688,-7636.4211642705195
56,-620.1579071411688,-8256.579071411688
57,-620.1579071411688,-8876.736978552857
58,540.1579071411688,-8336.579071411688
59,540.1579071411688,-7796.4211642705195
60,-620.1579071411688,-8416.579071411688
61,-620.1579071411688,-9036.736978552857
62,-215.0,-9251.736978552857
63,-620.1579071411688,-9871.894885694026
64,-620.1579071411688,-10492.052792835195
65,-620.1579071411688,-11112.210699976364
66,-620.1579071411688,-11732.368607117533
67,540.1579071411688,-11192.210699976364
68,-620.1579071411688,-11812.368607117533
69,-620.1579071411688,-12432.526514258701
70,-620.1579071411688,-13052.68442139987
71,540.1579071411688,-12512.526514258701
72,-205.0,-12717.526514258701
73,-620.1579071411688,-13337.68442139987
74,540.1579071411688,-12797.526514258701
75,540.1579071411688,-12257.368607117533
76,540.1579071411688,-11717.210699976364
77,-620.1579071411688,-12337.368607117533
78,540.1579071411688,-11797.210699976364
79,540.1579071411688,-11257.052792835195
80,-620.1579071411688,-11877.210699976364
81,540.1579071411688,-11337.052792835195
82,540.1579071411688,-10796.894885694026
83,540.1579071411688,-10256.736978552857
84,540.1579071411688,-9716.579071411688
85,540.1579071411688,-9176.42116427052
86,-620.1579071411688,-9796.579071411688
87,540.1579071411688,-9256.42116427052
88,-620.1579071411688,-9876.579071411688
89,540.1579071411688,-9336.42116427052
90,-150.0,-9486.42116427052
91,-195.0,-9681.42116427052
92,45.0,-9636.42116427052
93,-620.1579071411688,-10256.579071411688
94,-620.1579071411688,-10876.736978552857
95,-620.1579071411688,-11496.894885694026
96,-620.1579071411688,-12117.052792835195
97,-620.1579071411688,-12737.210699976364
98,-620.1579071411688,-13357.368607117533
99,-620.1579071411688,-13977.526514258701
100,540.1579071411688,-13437.368607117533
101,540.1579071411688,-12897.210699976364
102,540.1579071411688,-12357.052792835195
103,540.1579071411688,-11816.894885694026
104,-620.1579071411688,-12437.052792835195
105,-620.1579071411688,-13057.210699976364
106,-620.1579071411688,-13677.368607117533
107,-620.1579071411688,-14297.526514258701
108,-620.1579071411688,-14917.68442139987
109,540.1579071411688,-14377.526514258701
110,340.0,-14037.526514258701
111,540.1579071411688,-13497.368607117533
112,245.0,-13252.368607117533
113,-620.1579071411688,-13872.526514258701
114,-620.1579071411688,-14492.68442139987
115,-620.1579071411688,-15112.842328541039
116,-620.1579071411688,-15733.000235682208
117,540.1579071411688,-15192.842328541039
118,540.1579071411688,-14652.68442139987
119,-620.1579071411688,-15272.842328541039
120,-335.0,-15607.842328541039
121,100.0,-15507.842328541039
122,55.0,-15452.842328541039
123,-620.1579071411688,-16073.000235682208
124,-620.1579071411688,-16693.158142823377
125,-620.1579071411688,-17313.316049964546
126,-620.1579071411688,-17933.473957105714
127,-620.1579071411688,-18553.631864246883
128,-620.1579071411688,-19173.789771388052
129,-620.1579071411688,-19793.94767852922
130,-45.0,-19838.94767852922
131,-125.0,-19963.94767852922
132,-25.0,-19988.94767852922
133,540.1579071411688,-19448.789771388052
134,540.1579071411688,-18908.631864246883
135,540.1579071411688,-18368.473957105714
136,540.1579071411688,-17828.316049964546
137,-620.1579071411688,-18448.473957105714
138,-620.1579071411688,-19068.631864246883
139,-620.1579071411688,-19688.789771388052
140,-345.0,-20033.789771388052
141,-620.1579071411688,-20653.94767852922
142,-620.1579071411688,-21274.10558567039
143,-620.1579071411688,-21894.26349281156
144,-620.1579071411688,-22514.421399952727
145,540.1579071411688,-21974.26349281156
146,540.1579071411688,-21434.10558567039
147,540.1579071411688,-20893.94767852922
148,265.0,-20628.94767852922
149,540.1579071411688,-20088.789771388052
150,540.1579071411688,-19548.631864246883
151,-80.0,-19628.631864246883
152,-125.0,-19753.631864246883
153,-620.1579071411688,-20373.789771388052
154,-620.1579071411688,-20993.94767852922
155,-620.1579071411688,-21614.10558567039
156,-620.1579071411688,-22234.26349281156
157,540.1579071411688,-21694.10558567039
158,-620.1579071411688,-22314.26349281156
159,-620.1579071411688,-22934.421399952727
160,-165.0,-23099.421399952727
161,190.0,-22909.421399952727
162,540.1579071411688,-22369.26349281156
163,540.1579071411688,-21829.10558567039
164,540.1579071411688,-21288.94767852922
165,-620.1579071411688,-21909.10558567039
166,-620.1579071411688,-22529.26349281156
167,540.1579071411688,-21989.10558567039
168,540.1579071411688,-21448.94767852922
169,540.1579071411688,-20908.789771388052
170,80.0,-20828.789771388052
171,45.0,-20783.789771388052
172,-60.0,-20843.789771388052
173,-620.1579071411688,-21463.94767852922
174,-620.1579071411688,-22084.10558567039
175,-620.1579071411688,-22704.26349281156
176,-620.1579071411688,-23324.421399952727
177,540.1579071411688,-22784.26349281156
178,-620.1579071411688,-23404.421399952727
179,-620.1579071411688,-24024.579307093896
180,-620.1579071411688,-24644.737214235065
181,-300.0,-24944.737214235065
182,-25.0,-24969.737214235065
183,-620.1579071411688,-25589.895121376234
184,-620.1579071411688,-26210.053028517403
185,-620.1579071411688,-26830.21093565857
186,-620.1579071411688,-27450.36884279974
187,-620.1579071411688,-28070.52674994091
188,-620.1579071411688,-28690.684657082078
189,-150.0,-28840.684657082078
190,285.0,-28555.684657082078
191,170.0,-28385.684657082078
192,-100.0,-28485.684657082078
193,540.1579071411688,-27945.52674994091
194,540.1579071411688,-27405.36884279974
195,540.1579071411688,-26865.21093565857
196,540.1579071411688,-26325.053028517403
197,540.1579071411688,-25784.895121376234
198,540.1579071411688,-25244.737214235065
199,-35.0,-25279.737214235065
200,-25.0,-25304.737214235065
201,175.0,-25129.737214235065
202,185.0,-24944.737214235065
203,540.1579071411688,-24404.579307093896
204,540.1579071411688,-23864.421399952727
205,-620.1579071411688,-24484.579307093896
206,-620.1579071411688,-25104.737214235065
207,-620.1579071411688,-25724.895121376234
208,-620.1579071411688,-26345.053028517403
209,-205.0,-26550.053028517403
210,-95.0,-26645.053028517403
211,-160.0,-26805.053028517403
212,-315.0,-27120.053028517403
213,-620.1579071411688,-27740.21093565857
214,-620.1579071411688,-28360.36884279974
215,-620.1579071411688,-28980.52674994091
216,-620.1579071411688,-29600.684657082078
217,-620.1579071411688,-30220.842564223247
218,-340.0,-30560.842564223247
219,15.0,-30545.842564223247
220,160.0,-30385.842564223247
221,540.1579071411688,-29845.684657082078
222,540.1579071411688,-29305.52674994091
223,540.1579071411688,-28765.36884279974
224,540.1579071411688,-28225.21093565857
225,540.1579071411688,-27685.053028517403
226,540.1579071411688,-27144.895121376234
227,540.1579071411688,-26604.737214235065
228,-620.1579071411688,-27224.895121376234
229,-140.0,-27364.895121376234
230,80.0,-27284.895121376234
231,35.0,-27249.895121376234
232,-10.0,-27259.895121376234
233,540.1579071411688,-26719.737214235065
234,540.1579071411688,-26179.579307093896
235,540.1579071411688,-25639.421399952727
236,540.1579071411688,-25099.26349281156
237,540.1579071411688,-24559.10558567039
238,-620.1579071411688,-25179.26349281156
239,540.1579071411688,-24639.10558567039
240,-195.0,-24834.10558567039
241,25.0,-24809.10558567039
242,145.0,-24664.10558567039
243,-620.1579071411688,-25284.26349281156
244,-620.1579071411688,-25904.421399952727
245,-620.1579071411688,-26524.579307093896
246,-620.1579071411688,-27144.737214235065
247,-620.1579071411688,-27764.895121376234
248,540.1579071411688,-27224.737214235065
249,-620.1579071411688,-27844.895121376234
250,-620.1579071411688,-28465.053028517403
251,-620.1579071411688,-29085.21093565857
252,-620.1579071411688,-29705.36884279974
253,-620.1579071411688,-30325.52674994091
254,-620.1579071411688,-30945.684657082078
255,-620.1579071411688,-31565.842564223247
256,540.1579071411688,-31025.684657082078
257,540.1579071411688,-30485.52674994091
258,-510.0,-30995.52674994091
259,-620.1579071411688,-31615.684657082078
260,-620.1579071411688,-32235.842564223247
261,-620.1579071411688,-32856.000471364416
