trade_index,pnl,cumulative_pnl
0,355.0,355.0
1,205.0,560.0
2,125.0,685.0
3,-60.0,625.0
4,-195.0,430.0
5,-5.0,425.0
6,235.0,660.0
7,-1860.0,-1200.0
8,-1430.0,-2630.0
9,-1400.0,-4030.0
10,-2590.0,-6620.0
11,720.0,-5900.0
12,-995.0,-6895.0
13,175.0,-6720.0
14,1055.0,-5665.0
15,45.0,-5620.0
16,-920.0,-6540.0
17,-235.0,-6775.0
18,460.0,-6315.0
19,535.0,-5780.0
20,-195.0,-5975.0
21,-120.0,-6095.0
22,-745.0,-6840.0
23,255.0,-6585.0
24,-1505.0,-8090.0
25,-785.0,-8875.0
26,550.0,-8325.0
27,940.0,-7385.0
28,-340.0,-7725.0
29,255.0,-7470.0
30,195.0,-7275.0
31,650.0,-6625.0
32,-750.0,-7375.0
33,-260.0,-7635.0
34,640.0,-6995.0
35,-100.0,-7095.0
36,-175.0,-7270.0
37,110.0,-7160.0
38,40.0,-7120.0
39,-170.0,-7290.0
40,45.0,-7245.0
41,125.0,-7120.0
42,465.0,-6655.0
43,-30.0,-6685.0
44,-700.0,-7385.0
45,-130.0,-7515.0
46,685.0,-6830.0
47,280.0,-6550.0
48,135.0,-6415.0
49,-225.0,-6640.0
50,190.0,-6450.0
51,-55.0,-6505.0
52,-480.0,-6985.0
53,-195.0,-7180.0
54,335.0,-6845.0
55,1645.0,-5200.0
56,-485.0,-5685.0
57,-1410.0,-7095.0
58,380.0,-6715.0
59,685.0,-6030.0
60,-210.0,-6240.0
61,160.0,-6080.0
62,-10.0,-6090.0
63,75.0,-6015.0
64,1840.0,-4175.0
65,-715.0,-4890.0
66,135.0,-4755.0
67,155.0,-4600.0
68,430.0,-4170.0
69,-525.0,-4695.0
70,-120.0,-4815.0
71,55.0,-4760.0
72,35.0,-4725.0
73,35.0,-4690.0
74,-2240.0,-6930.0
75,115.0,-6815.0
76,-540.0,-7355.0
77,-595.0,-7950.0
78,240.0,-7710.0
79,-45.0,-7755.0
80,110.0,-7645.0
81,-540.0,-8185.0
82,-650.0,-8835.0
83,-1425.0,-10260.0
84,3540.0,-6720.0
85,-1375.0,-8095.0
86,1000.0,-7095.0
87,-660.0,-7755.0
88,35.0,-7720.0
89,60.0,-7660.0
90,10.0,-7650.0
91,-155.0,-7805.0
92,80.0,-7725.0
93,-180.0,-7905.0
94,-110.0,-8015.0
95,205.0,-7810.0
96,240.0,-7570.0
97,715.0,-6855.0
98,-40.0,-6895.0
99,-115.0,-7010.0
100,-25.0,-7035.0
101,-605.0,-7640.0
102,245.0,-7395.0
103,65.0,-7330.0
104,-130.0,-7460.0
105,780.0,-6680.0
106,430.0,-6250.0
107,-380.0,-6630.0
108,25.0,-6605.0
109,-395.0,-7000.0
110,-175.0,-7175.0
111,5.0,-7170.0
112,-385.0,-7555.0
113,110.0,-7445.0
114,-150.0,-7595.0
115,-535.0,-8130.0
116,-525.0,-8655.0
117,320.0,-8335.0
118,305.0,-8030.0
119,-115.0,-8145.0
120,-35.0,-8180.0
121,-20.0,-8200.0
122,-130.0,-8330.0
123,-70.0,-8400.0
124,685.0,-7715.0
125,580.0,-7135.0
126,415.0,-6720.0
127,240.0,-6480.0
128,80.0,-6400.0
129,130.0,-6270.0
130,-265.0,-6535.0
131,-100.0,-6635.0
132,160.0,-6475.0
133,30.0,-6445.0
134,-990.0,-7435.0
135,-295.0,-7730.0
136,540.0,-7190.0
137,325.0,-6865.0
138,-325.0,-7190.0
139,435.0,-6755.0
140,-55.0,-6810.0
141,90.0,-6720.0
142,380.0,-6340.0
143,145.0,-6195.0
144,-490.0,-6685.0
145,-430.0,-7115.0
146,-30.0,-7145.0
147,-295.0,-7440.0
148,-145.0,-7585.0
149,5.0,-7580.0
150,-410.0,-7990.0
151,315.0,-7675.0
152,-30.0,-7705.0
153,50.0,-7655.0
154,1340.0,-6315.0
155,-495.0,-6810.0
156,-215.0,-7025.0
157,455.0,-6570.0
158,60.0,-6510.0
159,180.0,-6330.0
160,-250.0,-6580.0
161,-25.0,-6605.0
162,-295.0,-6900.0
163,-375.0,-7275.0
164,955.0,-6320.0
165,-1350.0,-7670.0
166,5.0,-7665.0
167,-440.0,-8105.0
168,-250.0,-8355.0
169,-250.0,-8605.0
170,-50.0,-8655.0
171,270.0,-8385.0
172,-215.0,-8600.0
173,-145.0,-8745.0
174,435.0,-8310.0
175,80.0,-8230.0
176,-430.0,-8660.0
177,1030.0,-7630.0
178,125.0,-7505.0
179,255.0,-7250.0
180,25.0,-7225.0
181,-220.0,-7445.0
182,40.0,-7405.0
183,-20.0,-7425.0
184,1015.0,-6410.0
185,555.0,-5855.0
186,-15.0,-5870.0
187,35.0,-5835.0
188,-25.0,-5860.0
189,-85.0,-5945.0
190,25.0,-5920.0
191,-400.0,-6320.0
192,90.0,-6230.0
193,185.0,-6045.0
194,-640.0,-6685.0
195,-620.0,-7305.0
196,-595.0,-7900.0
197,-105.0,-8005.0
198,-15.0,-8020.0
199,-140.0,-8160.0
200,95.0,-8065.0
201,-115.0,-8180.0
202,-215.0,-8395.0
203,-150.0,-8545.0
204,205.0,-8340.0
205,-20.0,-8360.0
206,50.0,-8310.0
207,235.0,-8075.0
208,40.0,-8035.0
209,-200.0,-8235.0
210,-70.0,-8305.0
211,125.0,-8180.0
212,105.0,-8075.0
213,-45.0,-8120.0
214,-5.0,-8125.0
215,860.0,-7265.0
216,195.0,-7070.0
217,-210.0,-7280.0
218,315.0,-6965.0
219,-160.0,-7125.0
220,-160.0,-7285.0
221,-355.0,-7640.0
222,-330.0,-7970.0
223,-255.0,-8225.0
224,-330.0,-8555.0
225,-255.0,-8810.0
226,480.0,-8330.0
227,210.0,-8120.0
