trade_index,pnl,cumulative_pnl
0,175.0,175.0
1,1055.0,1230.0
2,535.0,1765.0
3,-195.0,1570.0
4,-120.0,1450.0
5,-745.0,705.0
6,255.0,960.0
7,-1505.0,-545.0
8,195.0,-350.0
9,650.0,300.0
10,-750.0,-450.0
11,-260.0,-710.0
12,640.0,-70.0
13,45.0,-25.0
14,125.0,100.0
15,305.0,405.0
16,295.0,700.0
17,-865.0,-165.0
18,-250.0,-415.0
19,-255.0,-670.0
20,-755.0,-1425.0
21,3330.0,1905.0
22,-310.0,1595.0
23,215.0,1810.0
24,465.0,2275.0
25,435.0,2710.0
26,-405.0,2305.0
27,-585.0,1720.0
28,145.0,1865.0
29,-550.0,1315.0
30,-805.0,510.0
31,-395.0,115.0
32,650.0,765.0
33,-210.0,555.0
34,-260.0,295.0
35,-75.0,220.0
36,-1105.0,-885.0
37,785.0,-100.0
38,1045.0,945.0
39,-75.0,870.0
40,65.0,935.0
41,655.0,1590.0
42,-255.0,1335.0
43,200.0,1535.0
44,2375.0,3910.0
45,-2570.0,1340.0
46,-1140.0,200.0
47,2135.0,2335.0
48,380.0,2715.0
49,2015.0,4730.0
50,-395.0,4335.0
51,210.0,4545.0
52,-390.0,4155.0
53,80.0,4235.0
54,295.0,4530.0
55,-400.0,4130.0
56,1970.0,6100.0
57,-150.0,5950.0
58,-275.0,5675.0
59,2430.0,8105.0
60,195.0,8300.0
61,-1095.0,7205.0
62,-20.0,7185.0
63,280.0,7465.0
64,65.0,7530.0
65,-125.0,7405.0
66,-735.0,6670.0
67,-165.0,6505.0
68,1535.0,8040.0
69,470.0,8510.0
70,230.0,8740.0
71,295.0,9035.0
72,1080.0,10115.0
73,-45.0,10070.0
74,-240.0,9830.0
75,115.0,9945.0
76,-80.0,9865.0
77,-300.0,9565.0
78,125.0,9690.0
79,15.0,9705.0
80,-835.0,8870.0
81,-460.0,8410.0
82,220.0,8630.0
83,-200.0,8430.0
84,115.0,8545.0
85,190.0,8735.0
86,265.0,9000.0
87,3515.0,12515.0
