trade_index,pnl,cumulative_pnl
0,-2590.0,-2590.0
1,720.0,-1870.0
2,-995.0,-2865.0
3,175.0,-2690.0
4,1055.0,-1635.0
5,45.0,-1590.0
6,-920.0,-2510.0
7,-235.0,-2745.0
8,460.0,-2285.0
9,535.0,-1750.0
10,-195.0,-1945.0
11,-120.0,-2065.0
12,-745.0,-2810.0
13,255.0,-2555.0
14,550.0,-2005.0
15,940.0,-1065.0
16,-340.0,-1405.0
17,255.0,-1150.0
18,195.0,-955.0
19,650.0,-305.0
20,-750.0,-1055.0
21,-260.0,-1315.0
22,-175.0,-1490.0
23,110.0,-1380.0
24,40.0,-1340.0
25,-170.0,-1510.0
26,45.0,-1465.0
27,125.0,-1340.0
28,280.0,-1060.0
29,135.0,-925.0
30,-225.0,-1150.0
31,40.0,-1110.0
32,625.0,-485.0
33,475.0,-10.0
34,-40.0,-50.0
35,30.0,-20.0
36,75.0,55.0
37,5.0,60.0
38,0.0,60.0
39,-210.0,-150.0
40,360.0,210.0
41,650.0,860.0
42,-740.0,120.0
43,-920.0,-800.0
44,-580.0,-1380.0
45,505.0,-875.0
46,185.0,-690.0
47,385.0,-305.0
48,195.0,-110.0
49,95.0,-15.0
50,-130.0,-145.0
51,-175.0,-320.0
52,285.0,-35.0
53,-100.0,-135.0
54,865.0,730.0
55,645.0,1375.0
56,570.0,1945.0
57,570.0,2515.0
58,1125.0,3640.0
59,170.0,3810.0
60,1255.0,5065.0
61,-1200.0,3865.0
62,-255.0,3610.0
63,-755.0,2855.0
64,3330.0,6185.0
65,-310.0,5875.0
66,-1590.0,4285.0
67,455.0,4740.0
68,170.0,4910.0
69,215.0,5125.0
70,465.0,5590.0
71,435.0,6025.0
72,-1040.0,4985.0
73,155.0,5140.0
74,-945.0,4195.0
75,-310.0,3885.0
76,-125.0,3760.0
77,145.0,3905.0
78,-550.0,3355.0
79,-805.0,2550.0
80,-320.0,2230.0
81,-550.0,1680.0
82,1140.0,2820.0
83,-325.0,2495.0
84,-395.0,2100.0
85,650.0,2750.0
86,-210.0,2540.0
87,-260.0,2280.0
88,-75.0,2205.0
89,-120.0,2085.0
90,1025.0,3110.0
91,-270.0,2840.0
92,-670.0,2170.0
93,785.0,2955.0
94,1675.0,4630.0
95,170.0,4800.0
96,-340.0,4460.0
97,255.0,4715.0
98,235.0,4950.0
99,-735.0,4215.0
100,-760.0,3455.0
101,535.0,3990.0
102,-285.0,3705.0
103,-1500.0,2205.0
104,180.0,2385.0
105,-595.0,1790.0
106,375.0,2165.0
107,465.0,2630.0
108,-145.0,2485.0
109,185.0,2670.0
110,240.0,2910.0
111,-410.0,2500.0
112,85.0,2585.0
113,-490.0,2095.0
114,-75.0,2020.0
115,65.0,2085.0
116,455.0,2540.0
117,-1090.0,1450.0
118,220.0,1670.0
119,-615.0,1055.0
120,-255.0,800.0
121,200.0,1000.0
122,1060.0,2060.0
123,-855.0,1205.0
124,430.0,1635.0
125,160.0,1795.0
126,-360.0,1435.0
127,-95.0,1340.0
128,915.0,2255.0
129,550.0,2805.0
130,-200.0,2605.0
131,-320.0,2285.0
132,-350.0,1935.0
133,-940.0,995.0
134,350.0,1345.0
135,840.0,2185.0
136,2135.0,4320.0
137,195.0,4515.0
138,510.0,5025.0
139,600.0,5625.0
140,-455.0,5170.0
141,390.0,5560.0
142,25.0,5585.0
143,-225.0,5360.0
144,-185.0,5175.0
145,385.0,5560.0
146,415.0,5975.0
147,1705.0,7680.0
148,-485.0,7195.0
149,-40.0,7155.0
150,20.0,7175.0
151,-180.0,6995.0
152,40.0,7035.0
153,65.0,7100.0
154,-80.0,7020.0
155,-860.0,6160.0
156,-710.0,5450.0
157,520.0,5970.0
158,-810.0,5160.0
159,505.0,5665.0
160,-640.0,5025.0
161,-205.0,4820.0
162,275.0,5095.0
163,-280.0,4815.0
164,-145.0,4670.0
165,-120.0,4550.0
166,-500.0,4050.0
167,-150.0,3900.0
168,645.0,4545.0
169,-540.0,4005.0
170,-600.0,3405.0
171,-255.0,3150.0
172,-485.0,2665.0
173,-295.0,2370.0
174,90.0,2460.0
175,-75.0,2385.0
