trade_index,pnl,cumulative_pnl
0,125.0,125.0
1,-60.0,65.0
2,-195.0,-130.0
3,-5.0,-135.0
4,720.0,585.0
5,-995.0,-410.0
6,175.0,-235.0
7,1055.0,820.0
8,45.0,865.0
9,-920.0,-55.0
10,-235.0,-290.0
11,460.0,170.0
12,535.0,705.0
13,-195.0,510.0
14,-120.0,390.0
15,-745.0,-355.0
16,255.0,-100.0
17,-1505.0,-1605.0
18,-785.0,-2390.0
19,550.0,-1840.0
20,255.0,-1585.0
21,195.0,-1390.0
22,650.0,-740.0
23,-750.0,-1490.0
24,-260.0,-1750.0
25,640.0,-1110.0
26,-100.0,-1210.0
27,-175.0,-1385.0
28,110.0,-1275.0
29,40.0,-1235.0
30,-170.0,-1405.0
31,45.0,-1360.0
32,125.0,-1235.0
33,465.0,-770.0
34,-30.0,-800.0
35,-700.0,-1500.0
36,-130.0,-1630.0
37,685.0,-945.0
38,280.0,-665.0
39,135.0,-530.0
40,-225.0,-755.0
41,190.0,-565.0
42,-55.0,-620.0
43,-480.0,-1100.0
44,-195.0,-1295.0
45,335.0,-960.0
46,1645.0,685.0
47,160.0,845.0
48,-10.0,835.0
49,75.0,910.0
50,1840.0,2750.0
51,-715.0,2035.0
52,55.0,2090.0
53,35.0,2125.0
54,35.0,2160.0
55,-2240.0,-80.0
56,115.0,35.0
57,-45.0,-10.0
58,110.0,100.0
59,-540.0,-440.0
60,-650.0,-1090.0
61,-1425.0,-2515.0
62,3540.0,1025.0
63,-1375.0,-350.0
64,10.0,-340.0
65,-155.0,-495.0
66,80.0,-415.0
67,-180.0,-595.0
68,-110.0,-705.0
69,205.0,-500.0
70,245.0,-255.0
71,65.0,-190.0
72,-130.0,-320.0
73,780.0,460.0
74,5.0,465.0
75,-385.0,80.0
76,110.0,190.0
77,-150.0,40.0
78,685.0,725.0
79,-20.0,705.0
80,1015.0,1720.0
81,-400.0,1320.0
82,90.0,1410.0
83,185.0,1595.0
84,-640.0,955.0
85,-620.0,335.0
86,95.0,430.0
87,-115.0,315.0
88,-215.0,100.0
89,-150.0,-50.0
90,205.0,155.0
91,105.0,260.0
92,-45.0,215.0
93,-5.0,210.0
94,-330.0,-120.0
95,-255.0,-375.0
96,-330.0,-705.0
97,-255.0,-960.0
98,165.0,-795.0
99,-960.0,-1755.0
100,20.0,-1735.0
101,-200.0,-1935.0
102,-35.0,-1970.0
103,1070.0,-900.0
104,300.0,-600.0
105,435.0,-165.0
106,90.0,-75.0
107,15.0,-60.0
108,-235.0,-295.0
109,330.0,35.0
110,-545.0,-510.0
111,-130.0,-640.0
112,175.0,-465.0
113,-45.0,-510.0
114,-905.0,-1415.0
115,210.0,-1205.0
116,-160.0,-1365.0
117,1985.0,620.0
118,-260.0,360.0
119,840.0,1200.0
120,55.0,1255.0
121,-390.0,865.0
122,-45.0,820.0
123,55.0,875.0
124,595.0,1470.0
125,-255.0,1215.0
126,-105.0,1110.0
127,1205.0,2315.0
128,-385.0,1930.0
129,660.0,2590.0
130,505.0,3095.0
131,815.0,3910.0
132,65.0,3975.0
133,630.0,4605.0
134,40.0,4645.0
135,55.0,4700.0
136,-240.0,4460.0
137,545.0,5005.0
138,-625.0,4380.0
139,2525.0,6905.0
140,915.0,7820.0
141,15.0,7835.0
142,45.0,7880.0
143,-445.0,7435.0
144,1140.0,8575.0
145,1220.0,9795.0
146,-500.0,9295.0
147,245.0,9540.0
148,1360.0,10900.0
149,215.0,11115.0
150,1510.0,12625.0
151,-580.0,12045.0
152,-40.0,12005.0
153,30.0,12035.0
154,75.0,12110.0
155,-110.0,12000.0
156,-835.0,11165.0
157,345.0,11510.0
158,-5.0,11505.0
159,205.0,11710.0
160,-1090.0,10620.0
161,5.0,10625.0
162,0.0,10625.0
163,-210.0,10415.0
164,360.0,10775.0
165,305.0,11080.0
166,625.0,11705.0
167,-1180.0,10525.0
168,190.0,10715.0
169,650.0,11365.0
170,-95.0,11270.0
171,-545.0,10725.0
172,-140.0,10585.0
173,995.0,11580.0
174,-245.0,11335.0
175,2145.0,13480.0
176,1225.0,14705.0
177,155.0,14860.0
178,550.0,15410.0
179,-205.0,15205.0
180,-1325.0,13880.0
181,-500.0,13380.0
182,-1185.0,12195.0
183,-305.0,11890.0
184,-740.0,11150.0
185,-920.0,10230.0
186,-580.0,9650.0
187,505.0,10155.0
188,185.0,10340.0
189,385.0,10725.0
190,295.0,11020.0
191,450.0,11470.0
192,610.0,12080.0
193,-130.0,11950.0
194,-175.0,11775.0
195,-865.0,10910.0
196,125.0,11035.0
197,-250.0,10785.0
198,-410.0,10375.0
199,-85.0,10290.0
200,150.0,10440.0
201,850.0,11290.0
202,-350.0,10940.0
203,-510.0,10430.0
204,100.0,10530.0
205,765.0,11295.0
206,-260.0,11035.0
207,890.0,11925.0
208,-505.0,11420.0
209,195.0,11615.0
210,-65.0,11550.0
211,-965.0,10585.0
212,-110.0,10475.0
213,-525.0,9950.0
214,375.0,10325.0
215,-35.0,10290.0
216,50.0,10340.0
217,2050.0,12390.0
218,260.0,12650.0
219,140.0,12790.0
220,-460.0,12330.0
221,-790.0,11540.0
222,-195.0,11345.0
223,545.0,11890.0
224,-705.0,11185.0
225,285.0,11470.0
226,-100.0,11370.0
227,-160.0,11210.0
228,-2625.0,8585.0
229,-250.0,8335.0
230,-1210.0,7125.0
231,865.0,7990.0
232,645.0,8635.0
233,570.0,9205.0
234,85.0,9290.0
235,-320.0,8970.0
236,280.0,9250.0
237,235.0,9485.0
238,3255.0,12740.0
239,170.0,12910.0
240,75.0,12985.0
241,-1590.0,11395.0
242,-1225.0,10170.0
243,425.0,10595.0
244,-435.0,10160.0
245,125.0,10285.0
246,-80.0,10205.0
247,990.0,11195.0
248,-40.0,11155.0
249,135.0,11290.0
250,-195.0,11095.0
251,1590.0,12685.0
252,360.0,13045.0
253,-225.0,12820.0
254,-55.0,12765.0
255,300.0,13065.0
256,140.0,13205.0
257,-110.0,13095.0
258,-675.0,12420.0
259,-570.0,11850.0
260,-1055.0,10795.0
261,50.0,10845.0
262,-410.0,10435.0
263,-1715.0,8720.0
264,-175.0,8545.0
265,700.0,9245.0
266,-775.0,8470.0
267,200.0,8670.0
268,-5175.0,3495.0
269,-1685.0,1810.0
270,-1850.0,-40.0
271,1125.0,1085.0
272,170.0,1255.0
273,1255.0,2510.0
274,-1200.0,1310.0
275,-255.0,1055.0
276,-755.0,300.0
277,3330.0,3630.0
278,-310.0,3320.0
279,-1590.0,1730.0
280,455.0,2185.0
281,170.0,2355.0
282,215.0,2570.0
283,465.0,3035.0
284,435.0,3470.0
285,-405.0,3065.0
286,-480.0,2585.0
287,-585.0,2000.0
288,-1040.0,960.0
289,-985.0,-25.0
290,-945.0,-970.0
291,-310.0,-1280.0
292,-125.0,-1405.0
293,145.0,-1260.0
294,-550.0,-1810.0
295,-805.0,-2615.0
296,-320.0,-2935.0
297,-550.0,-3485.0
298,1140.0,-2345.0
299,-325.0,-2670.0
300,-395.0,-3065.0
301,650.0,-2415.0
302,-210.0,-2625.0
303,-260.0,-2885.0
304,-75.0,-2960.0
305,-1105.0,-4065.0
306,95.0,-3970.0
307,-120.0,-4090.0
308,1025.0,-3065.0
309,-270.0,-3335.0
310,-670.0,-4005.0
311,785.0,-3220.0
312,1675.0,-1545.0
313,170.0,-1375.0
314,-340.0,-1715.0
315,1045.0,-670.0
316,-1140.0,-1810.0
317,2580.0,770.0
318,235.0,1005.0
319,-735.0,270.0
320,-760.0,-490.0
321,535.0,45.0
322,-285.0,-240.0
323,-2060.0,-2300.0
324,3440.0,1140.0
325,-395.0,745.0
326,-1500.0,-755.0
327,180.0,-575.0
328,-595.0,-1170.0
329,375.0,-795.0
330,465.0,-330.0
331,-145.0,-475.0
332,-105.0,-580.0
333,-2370.0,-2950.0
334,-1975.0,-4925.0
335,-460.0,-5385.0
336,-410.0,-5795.0
337,85.0,-5710.0
338,-490.0,-6200.0
339,-75.0,-6275.0
340,65.0,-6210.0
341,655.0,-5555.0
342,935.0,-4620.0
343,-1610.0,-6230.0
344,-600.0,-6830.0
345,-1090.0,-7920.0
346,220.0,-7700.0
347,-615.0,-8315.0
348,-255.0,-8570.0
349,200.0,-8370.0
350,2375.0,-5995.0
351,745.0,-5250.0
352,-955.0,-6205.0
353,625.0,-5580.0
354,385.0,-5195.0
355,-600.0,-5795.0
356,-170.0,-5965.0
357,40.0,-5925.0
358,-180.0,-6105.0
359,2425.0,-3680.0
360,-1180.0,-4860.0
361,-440.0,-5300.0
362,290.0,-5010.0
363,-95.0,-5105.0
364,-1330.0,-6435.0
365,1635.0,-4800.0
366,-655.0,-5455.0
367,0.0,-5455.0
368,-1320.0,-6775.0
369,-380.0,-7155.0
370,-855.0,-8010.0
371,305.0,-7705.0
372,-2570.0,-10275.0
373,1420.0,-8855.0
374,430.0,-8425.0
375,160.0,-8265.0
376,-360.0,-8625.0
377,-95.0,-8720.0
378,915.0,-7805.0
379,550.0,-7255.0
380,445.0,-6810.0
381,-250.0,-7060.0
382,-1140.0,-8200.0
383,-2115.0,-10315.0
384,-405.0,-10720.0
385,-200.0,-10920.0
386,-320.0,-11240.0
387,-350.0,-11590.0
388,-940.0,-12530.0
389,350.0,-12180.0
390,840.0,-11340.0
391,2135.0,-9205.0
392,380.0,-8825.0
393,2065.0,-6760.0
394,600.0,-6160.0
395,-455.0,-6615.0
396,390.0,-6225.0
397,-25.0,-6250.0
398,-1785.0,-8035.0
399,-190.0,-8225.0
400,860.0,-7365.0
401,25.0,-7340.0
402,-225.0,-7565.0
403,-185.0,-7750.0
404,385.0,-7365.0
405,415.0,-6950.0
406,1705.0,-5245.0
407,60.0,-5185.0
408,625.0,-4560.0
409,-55.0,-4615.0
410,945.0,-3670.0
411,-40.0,-3710.0
412,20.0,-3690.0
413,-180.0,-3870.0
414,40.0,-3830.0
415,65.0,-3765.0
416,-150.0,-3915.0
417,-2325.0,-6240.0
418,1110.0,-5130.0
419,-265.0,-5395.0
420,-80.0,-5475.0
421,-860.0,-6335.0
422,-710.0,-7045.0
423,520.0,-6525.0
424,-810.0,-7335.0
425,505.0,-6830.0
426,0.0,-6830.0
427,-1035.0,-7865.0
428,-500.0,-8365.0
429,990.0,-7375.0
430,-855.0,-8230.0
431,-125.0,-8355.0
432,-135.0,-8490.0
433,-110.0,-8600.0
434,-275.0,-8875.0
435,2015.0,-6860.0
436,-620.0,-7480.0
437,305.0,-7175.0
438,-35.0,-7210.0
439,-375.0,-7585.0
440,3100.0,-4485.0
441,660.0,-3825.0
442,355.0,-3470.0
443,-45.0,-3515.0
444,235.0,-3280.0
445,260.0,-3020.0
446,-165.0,-3185.0
447,-840.0,-4025.0
448,110.0,-3915.0
449,-135.0,-4050.0
450,50.0,-4000.0
451,-3060.0,-7060.0
